Contig Name,Log2 Fold Change,p- value,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#27406,-2.53,2.11E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#18310,-2.51,2.32E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#34937,-2.51,2.32E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#20334,-2.51,4.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#1375,-2.51,2.45E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#46377,-2.51,6.81E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#23208,-2.50,1.90E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#17187,-2.48,2.90E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#42921,-2.47,2.92E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#15362,-2.47,2.90E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#3070,-2.46,1.52E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#17528,-2.46,1.91E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#45273,-2.46,2.66E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#25898,-2.46,2.97E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#40599,-2.45,2.82E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#39520,-2.45,2.81E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#6116,-2.44,3.21E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#20448,-2.44,3.58E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#6437,-2.44,2.81E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#26045,-2.44,3.42E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#33487,-2.44,3.11E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#33833,-2.43,2.53E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#31593,-2.43,1.99E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#34817,-2.43,2.31E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#15075,-2.42,1.65E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#33318,-2.42,3.92E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#12602,-2.42,3.01E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#46981,-2.42,3.89E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#39249,-2.42,4.01E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#23006,-2.42,2.03E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#24428,-2.42,4.05E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#45283,-2.41,1.84E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#48033,-2.41,2.74E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#12886,-2.40,3.88E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#15493,-2.40,4.63E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#43397,-2.39,1.85E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#40830,-2.38,1.36E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#17917,-2.38,3.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#13971,-2.38,1.77E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#18830,-2.38,4.75E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#50835,-2.37,4.40E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#38755,-2.36,2.64E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#931,-2.36,1.26E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#25931,-2.36,3.48E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#20164,-2.35,1.75E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#20237,-2.34,3.90E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#22124,-2.33,4.55E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#12239,-2.32,2.70E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#5850,-2.32,3.94E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#31064,-2.32,9.42E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#23327,-2.30,1.81E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#34114,-2.29,4.27E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#20574,-2.28,4.70E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#16976,-2.28,3.05E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#38782,-2.27,4.60E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
