Contig	SRR5004093_1_trimmed_bowtie_bt2-counts.txt	SRR5004090_1_trimmed_bowtie_bt2-counts.txt	SRR5004097_1_trimmed_bowtie_bt2-counts.txt	SRR5004082_1_trimmed_bowtie_bt2-counts.txt	SRR5004083_1_trimmed_bowtie_bt2-counts.txt	SRR5004094_1_trimmed_bowtie_bt2-counts.txt	SRR5004078_1_trimmed_bowtie_bt2-counts.txt	SRR5004096_1_trimmed_bowtie_bt2-counts.txt	SRR5004080_1_trimmed_bowtie_bt2-counts.txt	SRR5004095_1_trimmed_bowtie_bt2-counts.txt	SRR5004091_1_trimmed_bowtie_bt2-counts.txt	SRR5004085_1_trimmed_bowtie_bt2-counts.txt
contig#39687	31	0	12	0	0	25	0	1	20	0	22	2
contig#39688	5	2	6	4	2	7	1	4	6	1	12	0
contig#39689	236	3	108	4	7	162	24	8	29	40	144	7
contig#3969	1534	202	680	398	71	899	409	296	605	573	1102	365
contig#39690	3	1	7	8	3	11	9	15	5	4	10	11
contig#39691	142	1	42	6	0	177	3	1	21	7	42	8
contig#39692	10	4	6	24	16	6	9	33	7	6	14	37
contig#39693	15	9	8	5	0	5	8	7	8	5	19	10
contig#39694	8	0	1	0	0	3	0	0	3	1	0	0
contig#39695	7	1	5	0	0	4	1	0	5	1	4	1
contig#39696	33	3	9	3	1	23	5	7	10	6	35	8
contig#39697	16	7	16	7	1	17	3	9	11	16	19	6
contig#39698	49	4	24	10	3	31	6	11	30	8	40	9
contig#39699	20	4	21	3	0	35	2	2	13	2	17	1
contig#397	1240	69	973	120	47	950	167	139	591	162	1300	157
contig#3970	743	141	584	179	129	578	272	343	322	242	957	218
contig#39700	7	2	4	0	0	5	2	0	5	2	3	2
contig#39701	8	0	5	2	5	6	7	4	6	4	16	5
contig#39702	23	4	10	8	5	8	5	5	9	4	19	4
contig#39703	4	1	5	2	2	3	0	1	1	0	1	0
contig#39704	53	16	52	2	1	44	0	1	19	3	11	0
contig#39705	75	14	27	2	4	56	2	4	2	5	48	3
contig#39706	11	4	7	3	3	8	2	0	21	1	4	3
contig#39707	11	0	7	2	2	10	0	0	5	2	9	1
contig#39708	8	0	6	1	0	10	3	4	13	1	7	2
contig#39709	24	0	24	3	0	25	1	4	12	4	18	1
contig#3971	1623	131	1531	188	93	1638	136	288	925	177	1763	263
contig#39710	46	19	57	42	14	38	29	42	43	38	80	48
contig#39711	5	0	4	0	0	2	2	3	3	2	11	2
contig#39712	12	2	16	3	2	11	4	3	5	4	13	4
contig#39713	20	0	11	0	0	11	0	0	8	0	14	0
contig#39714	5	0	2	2	0	1	4	0	6	1	7	0
contig#39715	44	9	29	23	5	31	26	11	21	19	53	30
contig#39716	6	0	1	0	0	4	1	0	8	2	1	0
contig#39717	8	2	4	0	0	9	0	0	4	1	5	0
contig#39718	14	2	7	6	1	5	2	7	3	7	12	0
contig#39719	195	5	50	4	1	112	8	7	27	9	92	5
contig#3972	234	48	86	105	27	159	102	93	126	55	148	122
contig#39720	37	5	42	4	3	37	8	9	20	5	42	7
contig#39721	7	3	6	10	1	5	13	2	5	9	14	14
contig#39722	111	7	44	11	2	64	12	7	30	21	92	19
contig#39723	11	6	12	16	6	11	12	16	10	10	12	16
contig#39724	19	1	31	2	1	39	5	6	16	1	33	5
contig#39725	2	2	5	6	1	1	5	9	7	3	4	4
contig#39726	558	292	626	330	154	426	177	433	391	216	911	330
contig#39727	18	0	21	1	0	22	0	1	12	0	12	0
contig#39728	10	11	12	9	1	12	3	9	13	5	15	17
contig#39729	7	4	4	1	1	4	2	4	5	2	4	0
contig#3973	1244	217	623	504	4	1196	156	26	1785	151	390	74
contig#39730	8	1	3	4	0	5	2	5	1	2	5	4
contig#39731	14	5	4	3	0	8	2	3	8	3	11	2
contig#39732	11	4	12	3	1	12	3	6	10	3	7	10
contig#39733	10	0	10	0	0	14	1	0	8	0	6	0
contig#39734	44	5	22	13	4	31	38	33	20	29	39	31
contig#39735	21	1	1	1	0	8	8	0	21	3	20	4
contig#39736	29	11	18	6	0	22	1	0	22	1	21	0
contig#39737	21	6	12	0	4	19	4	2	17	5	17	5
contig#39738	45	17	62	19	14	53	9	38	26	28	106	27
contig#39739	2	3	1	1	1	5	4	4	6	1	2	3
contig#3974	982	131	640	180	81	836	169	171	473	205	777	224
contig#39740	3	0	7	0	0	0	0	2	1	0	9	0
contig#39741	148	11	96	11	6	88	21	2	26	34	85	4
contig#39742	1	2	5	0	3	0	1	5	1	1	10	2
contig#39743	18	12	13	21	8	8	7	26	15	11	21	20
contig#39744	44	6	22	5	3	54	5	5	22	7	35	6
contig#39745	55	6	35	4	1	65	1	8	26	2	30	4
contig#39746	41	55	39	88	42	19	18	65	22	32	56	63
contig#39747	61	2	50	4	1	56	3	3	16	7	33	1
contig#39748	34	4	11	0	0	21	12	2	12	1	24	1
contig#39749	18	2	4	5	5	4	12	8	12	14	7	12
contig#3975	1178	179	780	302	33	899	230	400	794	205	1435	345
contig#39750	12	1	5	2	0	9	1	13	10	0	9	28
contig#39751	61	6	15	16	3	40	36	13	14	39	18	16
contig#39752	12	0	11	1	2	10	0	2	2	1	8	4
contig#39753	16	1	15	3	4	13	2	9	8	5	24	3
contig#39754	8	0	10	0	0	14	2	2	4	2	5	1
contig#39755	23	4	15	12	9	18	9	27	17	11	17	28
contig#39756	2	4	0	1	0	7	0	2	1	1	3	2
contig#39757	24	3	10	10	2	14	4	4	10	11	20	8
contig#39758	20	4	4	5	2	16	32	7	15	14	21	8
contig#39759	32	7	14	3	0	39	9	10	14	11	23	5
contig#3976	953	171	496	268	69	659	216	327	485	191	886	337
contig#39760	3	5	5	8	1	6	11	8	3	12	5	7
contig#39761	4	14	5	21	1	3	7	4	4	5	8	3
contig#39762	3	3	2	4	0	1	4	4	7	0	5	1
contig#39763	42	6	32	12	11	44	7	10	24	27	75	13
contig#39764	108	0	47	1	1	46	9	3	7	8	77	4
contig#39765	47	2	13	2	3	33	4	0	16	5	37	2
contig#39766	4	4	4	11	4	2	7	2	6	6	4	7
contig#39767	48	12	28	10	6	35	20	20	17	13	70	25
contig#39768	3	9	3	3	3	0	0	2	2	1	2	4
contig#39769	5	8	25	13	7	10	9	21	5	17	33	10
contig#3977	2067	68	1199	73	57	1941	457	143	1288	324	1969	81
contig#39770	6	1	3	0	0	8	0	1	5	0	1	1
contig#39771	5	1	8	0	0	4	1	1	6	3	12	0
contig#39772	77	13	63	42	14	54	13	69	64	24	87	67
contig#39773	19	2	6	6	0	15	7	6	8	7	15	17
contig#39774	32	3	17	0	2	25	6	5	11	12	17	3
contig#39775	11	1	13	1	5	10	4	5	7	4	20	2
contig#39776	84	1	43	0	1	41	19	3	16	5	72	2
contig#39777	8	11	19	6	0	17	3	3	9	3	21	3
contig#39778	51	1	18	5	3	27	5	9	20	7	28	10
contig#39779	13	5	7	4	1	8	2	2	14	2	12	2
contig#3978	1881	199	856	700	149	922	276	939	1676	108	1507	852
contig#39780	12	2	6	0	0	8	2	0	7	1	12	0
contig#39781	7	0	2	3	0	5	1	2	3	0	7	0
contig#39782	4	0	3	2	0	6	1	0	3	2	10	0
contig#39783	42	0	16	1	2	29	6	1	18	3	20	0
contig#39784	10	0	8	1	0	17	0	0	11	0	7	0
contig#39785	41	1	50	5	1	75	3	5	8	2	54	4
contig#39786	21	7	20	3	3	12	1	10	11	6	29	6
contig#39787	8	0	5	0	2	7	0	0	3	2	2	0
contig#39788	10	0	3	0	0	5	0	0	3	0	1	1
contig#39789	9	8	6	21	12	11	17	20	13	19	5	35
contig#3979	21	9	11	9	2	25	3	18	17	12	38	36
contig#39790	14	2	4	19	5	5	6	8	9	4	4	29
contig#39791	3	6	17	7	6	3	15	12	20	14	4	4
contig#39792	5	1	9	1	0	6	2	2	6	3	11	6
contig#39793	41	2	8	1	0	19	3	0	10	1	28	1
contig#39794	20	3	2	4	4	26	23	5	9	6	2	7
contig#39795	54	21	49	49	12	45	21	78	74	26	41	64
contig#39796	37	3	17	3	3	61	13	17	9	5	53	12
contig#39797	43	8	29	9	3	38	14	9	18	5	37	20
contig#39798	12	2	18	5	1	4	5	6	3	6	14	3
contig#39799	13	0	4	2	0	11	2	1	7	4	16	3
contig#398	149	15	68	9	5	119	15	6	110	12	117	15
contig#3980	887	8	462	43	6	559	83	34	201	38	733	60
contig#39800	7	14	30	35	1	40	1	14	5	6	26	7
contig#39801	8	10	15	5	3	5	3	13	7	12	19	17
contig#39802	4	61	5	444	89	2	19	44	24	41	9	329
contig#39803	79	14	84	4	3	58	13	7	21	16	68	18
contig#39804	13	3	18	1	0	9	3	4	9	1	18	5
contig#39805	5	1	6	1	1	15	1	0	4	2	13	2
contig#39806	33	2	25	5	2	29	4	5	16	3	28	2
contig#39807	45	1	19	8	2	34	4	2	18	11	30	7
contig#39808	5013	10605	5966	25159	9238	5397	4647	10852	20387	6518	8402	15059
contig#39809	3	1	3	2	3	2	1	8	2	0	6	1
contig#3981	697	122	415	164	67	522	151	215	314	199	630	187
contig#39810	4	0	2	1	0	9	0	3	5	0	5	0
contig#39811	7	1	2	8	1	3	2	6	1	12	1	5
contig#39812	4	3	3	2	0	7	0	1	8	0	12	3
contig#39813	1	0	0	0	0	3	3	0	1	4	0	3
contig#39814	2	1	1	0	0	5	1	0	2	2	12	0
contig#39815	11821	51040	10056	56103	65112	9956	27110	48884	21671	79037	14814	27687
contig#39817	10	5	12	5	2	19	11	11	8	15	11	10
contig#39818	7	4	5	3	0	4	2	5	6	5	10	8
contig#39819	21	8	17	19	5	14	8	27	14	9	36	19
contig#3982	901	55	377	110	42	484	159	108	304	150	639	114
contig#39821	36	1	7	16	5	29	24	43	14	29	10	5
contig#39822	25	27	36	49	9	32	14	45	26	31	45	60
contig#39823	8	6	10	16	3	7	13	13	5	6	12	20
contig#39824	141	25	132	26	12	112	9	39	60	29	165	35
contig#39825	17	5	21	3	1	14	2	2	14	4	16	9
contig#39827	4	1	5	0	0	2	0	0	3	0	6	1
contig#39828	13	10	11	28	4	9	9	14	7	17	20	7
contig#39829	68	0	32	4	0	68	0	0	11	0	4	0
contig#3983	2487	448	1833	380	416	1680	896	1019	1032	793	3053	526
contig#39830	5	0	0	3	0	5	34	0	7	6	2	1
contig#39831	7	0	0	0	0	11	0	3	3	0	7	0
contig#39832	5	11	8	11	3	6	9	22	8	8	16	14
contig#39833	22	6	9	10	1	13	6	4	4	7	19	8
contig#39834	50	3	23	1	1	33	17	0	33	47	77	2
contig#39835	10	5	7	3	3	4	9	9	5	2	7	3
contig#39836	6	0	2	1	0	3	1	1	8	1	14	3
contig#39837	50	9	45	10	0	42	4	8	18	5	47	9
contig#39838	5	2	16	0	0	12	3	2	1	0	26	0
contig#39839	62	21	45	14	9	50	13	12	23	20	55	20
contig#3984	375	63	201	94	10	272	49	67	175	66	296	75
contig#39840	9	22	19	11	3	10	2	4	12	12	56	19
contig#39841	19	0	8	0	0	11	0	0	8	1	13	0
contig#39842	6	1	4	0	0	2	1	0	3	1	7	5
contig#39843	44	20	59	21	5	32	23	19	22	29	70	26
contig#39844	148	7	6	19	4	51	5	11	24	9	98	31
contig#39846	6	1	5	1	0	6	1	0	1	3	15	2
contig#39847	4	2	2	15	3	2	9	18	17	6	15	9
contig#39848	2	1	2	3	0	2	0	1	1	0	5	0
contig#39849	14	6	15	4	0	6	1	1	3	3	24	1
contig#3985	694	2302	577	4990	2973	701	1836	3841	930	3634	903	2469
contig#39850	14	6	3	2	0	5	0	3	4	6	7	1
contig#39851	11	1	12	1	3	15	3	7	6	1	10	6
contig#39852	38	1	18	4	0	27	2	2	11	5	28	4
contig#39853	9	1	6	1	0	5	3	5	4	0	4	5
contig#39854	20	18	34	14	8	21	10	18	14	13	39	20
contig#39855	5	0	6	0	0	2	1	0	4	0	2	0
contig#39856	11	1	10	3	0	16	1	0	9	1	19	3
contig#39857	21	2	24	1	0	30	1	7	17	0	27	5
contig#39858	24	6	8	2	0	7	1	1	12	4	4	0
contig#39859	11	3	14	0	1	15	2	0	11	0	19	1
contig#3986	134	22	92	24	3	126	22	37	92	39	119	33
contig#39860	9	0	0	0	0	7	1	0	3	4	1	0
contig#39861	11	2	2	14	2	3	3	10	8	4	8	7
contig#39862	13	10	9	6	3	4	11	9	6	7	9	8
contig#39863	24	42	8	34	174	14	83	74	50	63	27	44
contig#39864	14	0	17	3	0	34	1	1	16	0	16	3
contig#39866	4	2	7	2	0	3	1	3	4	9	8	1
contig#39867	18	8	12	13	4	9	4	3	8	6	16	6
contig#39868	29	1	13	3	1	20	10	14	6	6	29	5
contig#39869	15	1	4	0	0	7	2	1	6	0	8	0
contig#3987	51	14	23	4	0	45	4	3	84	10	45	2
contig#39870	165	3	5	2	2	48	24	5	19	57	28	9
contig#39871	36	0	2	1	1	9	3	1	4	2	14	2
contig#39872	5	4	15	7	2	4	6	9	3	6	12	6
contig#39873	5	0	1	2	0	5	0	0	2	1	4	0
contig#39874	7	1	9	1	0	10	5	1	9	3	12	1
contig#39875	19	0	3	9	3	6	4	14	3	2	8	2
contig#39876	38	5	22	21	14	24	33	49	16	33	48	24
contig#39878	2	0	2	0	0	1	2	2	4	1	6	6
contig#39879	9	0	5	0	0	6	0	16	5	5	0	1
contig#3988	26	0	11	2	0	37	6	7	19	3	14	3
contig#39880	27	0	4	0	1	16	1	0	3	4	3	0
contig#39881	32	0	23	0	0	35	4	0	8	3	14	1
contig#39882	53	0	44	3	0	35	1	4	21	9	32	4
contig#39883	95	1	7	3	0	65	9	3	13	13	15	19
contig#39884	51	0	54	6	4	39	9	7	25	11	40	7
contig#39885	11	9	6	19	3	11	11	8	14	9	8	23
contig#39886	9	1	2	0	0	6	2	1	5	0	6	1
contig#39887	18	0	8	5	0	10	1	4	6	1	10	0
contig#39888	83	0	48	6	2	42	9	4	14	13	55	0
contig#39889	18	0	13	2	2	3	6	6	4	4	14	6
contig#3989	144	113	124	216	44	97	116	196	110	103	207	212
contig#39890	28	2	7	1	3	13	1	4	14	0	18	1
contig#39891	180	1	36	19	6	145	29	8	43	20	51	42
contig#39892	12	0	8	0	1	11	0	0	11	4	12	0
contig#39893	17	2	39	3	0	28	0	1	14	1	23	1
contig#39894	9	0	9	1	0	8	3	0	5	3	8	2
contig#39895	19	11	15	23	4	10	9	18	8	16	17	26
contig#39896	40	9	22	8	6	39	8	12	22	7	30	21
contig#39897	11	6	11	6	1	3	3	8	1	5	18	4
contig#39898	1	0	2	0	0	5	0	0	4	0	2	0
contig#39899	21	1	14	11	0	16	4	6	3	3	16	11
contig#399	1	28	2	517	299	9	11	40	453	108	12	64
contig#3990	707	284	402	568	133	404	309	431	277	305	802	514
contig#39900	17	0	1	1	1	7	11	0	4	9	7	4
contig#39901	20	3	16	2	0	10	3	2	8	3	10	0
contig#39902	53	11	29	8	4	20	3	9	15	10	32	15
contig#39903	34	1	1	0	0	10	2	1	8	1	9	2
contig#39904	7	2	8	3	0	0	4	1	4	2	12	3
contig#39905	17	1	15	6	0	13	6	7	15	1	21	6
contig#39906	3	2	0	8	3	1	3	2	4	5	1	5
contig#39907	8	15	27	2	1	3	0	9	4	4	47	4
contig#39908	3	1	3	1	0	2	2	5	4	0	0	1
