Contig	SRR5004093_1_trimmed_bowtie_bt2-counts.txt	SRR5004090_1_trimmed_bowtie_bt2-counts.txt	SRR5004097_1_trimmed_bowtie_bt2-counts.txt	SRR5004082_1_trimmed_bowtie_bt2-counts.txt	SRR5004083_1_trimmed_bowtie_bt2-counts.txt	SRR5004094_1_trimmed_bowtie_bt2-counts.txt	SRR5004078_1_trimmed_bowtie_bt2-counts.txt	SRR5004096_1_trimmed_bowtie_bt2-counts.txt	SRR5004080_1_trimmed_bowtie_bt2-counts.txt	SRR5004095_1_trimmed_bowtie_bt2-counts.txt	SRR5004091_1_trimmed_bowtie_bt2-counts.txt	SRR5004085_1_trimmed_bowtie_bt2-counts.txt
contig#1	605	39	287	60	30	450	83	53	257	73	496	75
contig#10	465	86	452	96	33	456	98	127	285	93	493	102
contig#100	924	205	649	254	83	819	210	319	455	209	934	320
contig#1000	2319	733	1351	879	231	1702	677	969	1508	576	2302	1053
contig#10000	413	11	319	13	8	484	31	26	223	22	327	16
contig#10001	152	62	100	58	32	114	77	145	72	59	179	104
contig#10002	225	71	181	41	41	152	52	61	94	49	190	66
contig#10003	26	1	17	4	0	22	2	2	8	0	30	1
contig#10004	270	26	253	64	12	260	39	53	196	57	324	72
contig#10005	169	20	144	32	12	166	17	27	99	33	157	36
contig#10006	710	81	445	155	42	534	151	330	291	271	583	186
contig#10007	256	42	62	16	0	160	4	1	292	19	34	0
contig#10008	132	3	141	8	1	149	5	11	97	1	163	9
contig#10009	123	13	190	28	7	106	49	62	69	24	243	23
contig#1001	1272	88	819	98	47	1135	125	181	539	143	1154	171
contig#10010	407	94	295	117	47	310	80	158	241	104	457	170
contig#10011	106	49	119	69	33	87	39	92	78	36	140	94
contig#10012	4323	306	2245	378	237	2510	794	802	1716	668	3314	545
contig#10013	1370	217	330	628	295	577	542	689	663	301	923	1025
contig#10014	1496	85	777	107	30	1189	313	216	445	83	1379	207
contig#10015	5325	607	1701	1039	558	3054	2406	1630	1361	2142	3641	1242
contig#10016	59	16	39	16	3	56	10	11	55	13	66	25
contig#10017	48	35	38	35	6	38	21	48	52	18	87	57
contig#10018	6	1	2	2	0	2	2	9	10	2	2	4
contig#1002	24	2	5	1	0	25	0	0	40	4	13	2
contig#10020	19	2	4	2	0	14	1	5	13	5	14	4
contig#10021	210	8	191	19	11	229	17	15	122	15	234	31
contig#10022	2286	179	1544	249	104	2045	275	407	1243	255	2216	422
contig#10023	1532	81	1129	89	52	1517	112	110	874	128	1405	175
contig#10024	250	15	127	10	72	161	271	154	183	238	218	17
contig#10025	18	12	20	13	4	9	2	13	17	17	16	13
contig#10026	15	0	1	2	2	14	7	2	8	2	5	0
contig#10027	281	22	160	50	17	203	56	86	130	85	232	77
contig#10028	298	23	266	39	11	252	36	55	136	42	279	66
contig#10029	319	14	297	28	0	320	8	33	523	12	225	20
contig#1003	1774	53	1001	66	29	1752	136	93	518	138	1465	97
contig#10030	413	21	397	36	5	517	21	37	235	25	378	31
contig#10031	143	155	143	188	52	97	123	198	76	181	204	163
contig#10032	287	50	236	61	30	258	25	84	167	27	341	75
contig#10033	25	13	16	17	9	22	8	11	13	11	24	20
contig#10034	614	25	74	68	27	344	153	87	249	91	284	106
contig#10035	299	358	241	405	104	180	228	380	175	283	395	460
contig#10036	41	5	21	8	4	63	3	5	36	5	33	7
contig#10037	485	163	423	306	106	454	119	257	253	130	641	273
contig#10038	633	38	272	85	18	379	66	87	308	79	482	131
contig#10039	211	9	154	9	12	158	29	25	51	22	202	8
contig#1004	198	70	176	48	47	176	48	117	139	49	266	102
contig#10040	102	114	89	162	59	73	97	238	122	95	137	200
contig#10041	320	22	172	31	18	360	27	22	147	30	214	30
contig#10042	74	24	18	20	7	16	7	15	38	9	31	22
contig#10043	767	123	598	245	39	553	207	233	401	229	787	221
contig#10044	353	94	373	100	64	330	94	159	250	94	429	130
contig#10045	1144	191	694	382	67	886	235	378	653	257	1023	448
contig#10046	2157	39	879	560	178	927	329	345	937	263	1880	694
contig#10047	15	1	12	7	1	10	6	8	4	2	10	3
contig#10048	66	9	53	20	12	20	13	35	18	13	65	50
contig#10049	17	7	8	11	6	14	13	6	17	12	30	9
contig#1005	501	90	406	132	77	397	96	196	281	126	511	170
contig#10050	923	113	519	258	22	569	159	160	482	278	672	210
contig#10051	208	28	65	9	0	133	21	5	105	25	90	14
contig#10052	81	11	22	9	1	45	8	12	61	7	30	13
contig#10053	604	163	604	187	177	507	225	379	309	250	771	239
contig#10054	326	42	228	60	18	236	63	92	98	64	329	121
contig#10055	180	12	53	22	4	112	28	22	68	23	108	31
contig#10056	386	236	426	179	81	422	115	298	343	89	742	297
contig#10057	410	128	371	276	118	347	100	208	333	134	531	215
contig#10058	1144	52	613	68	8	863	65	55	484	58	809	52
contig#10059	262	40	177	48	22	229	50	101	141	52	238	50
contig#1006	706	95	466	108	179	495	359	345	529	312	818	237
contig#10060	42	1	1	11	7	16	124	11	43	14	41	66
contig#10061	170	21	47	28	12	133	50	30	62	47	105	35
contig#10062	485	25	453	67	28	427	68	127	230	70	559	117
contig#10063	613	28	278	43	7	426	64	42	222	46	478	62
contig#10064	134	5	39	9	2	54	15	10	30	17	76	15
contig#10065	145	1	40	8	2	56	19	24	68	8	80	23
contig#10066	32	1	9	0	1	10	0	4	11	4	7	0
contig#10067	88	27	87	28	29	59	29	41	55	39	130	35
contig#10068	708	41	405	60	15	510	64	79	282	51	615	94
contig#10069	353	27	242	34	4	301	18	10	166	27	261	28
contig#1007	2405	117	279	372	110	1367	1121	324	732	514	1001	564
contig#10070	990	18	312	38	9	368	78	42	423	27	603	92
contig#10071	190	59	161	85	36	235	49	82	197	58	208	45
contig#10072	253	5	149	11	3	194	38	34	81	28	217	31
contig#10073	423	41	333	77	28	351	55	71	171	71	400	88
contig#10074	93	4	97	11	1	58	2	7	161	1	84	11
contig#10075	683	202	555	208	92	485	188	333	345	161	783	265
contig#10076	365	42	309	57	27	362	32	44	131	71	309	49
contig#10077	565	49	340	98	42	453	81	158	329	81	470	133
contig#10078	1225	103	794	143	22	988	118	137	795	137	1196	235
contig#10079	206	24	83	60	9	139	17	19	91	45	80	63
contig#1008	11869	1609	7252	2202	1284	8677	2802	3538	5741	2412	11914	3215
contig#10080	388	462	212	787	214	121	407	691	301	291	683	805
contig#10081	674	60	706	50	5	982	22	37	426	46	564	34
contig#10082	1056	186	870	286	76	1068	171	278	611	258	1244	368
contig#10083	874	34	202	86	29	465	120	105	372	142	534	94
contig#10084	17	6	6	0	0	4	2	1	15	2	1	1
contig#10085	258	47	224	70	27	223	50	78	134	68	241	66
contig#10086	137	2	50	6	6	49	22	12	56	10	84	30
contig#10087	182	22	107	49	22	139	39	47	70	22	170	42
contig#10088	42	1	29	2	1	35	10	12	21	5	29	6
contig#10089	1069	108	310	231	52	732	253	284	472	182	656	343
contig#1009	107	2	52	3	1	166	7	3	48	1	66	7
contig#10090	795	71	606	120	40	768	104	123	391	122	741	209
contig#10091	63	6	18	26	20	20	25	33	49	24	74	44
contig#10092	61	11	37	10	3	44	5	10	27	7	78	20
contig#10093	2248	178	1528	302	131	1790	315	429	708	430	2101	401
contig#10094	1574	24	1378	30	76	1044	224	101	173	372	1892	6
contig#10095	261	68	232	95	30	180	94	182	163	108	302	129
contig#10096	321	23	384	62	9	389	31	82	269	43	286	32
contig#10097	35	3	17	4	2	29	16	9	31	14	45	9
contig#10098	95	22	93	9	30	96	56	41	102	52	128	28
contig#10099	495	18	282	62	7	377	45	34	217	56	379	46
contig#101	64	9	43	17	6	53	31	23	23	22	59	21
contig#1010	4699	807	2757	1136	340	3484	956	1458	2258	880	4565	1631
contig#10100	61	10	63	17	10	55	18	17	28	19	58	28
contig#10101	2765	9480	2511	10382	10602	2227	4925	10161	2434	9399	3472	7416
contig#10102	2553	204	1429	259	104	1660	333	305	1205	323	2203	387
contig#10103	45	2	13	17	16	13	18	44	28	27	16	21
contig#10104	113	17	90	21	42	85	95	85	110	117	155	14
contig#10105	10	3	4	15	1	4	2	33	30	2	2	7
contig#10106	235	8	133	28	2	138	25	17	85	17	190	18
contig#10107	14	22	13	40	25	7	15	27	17	14	20	28
contig#10108	401	67	370	85	40	344	73	127	187	84	454	117
contig#10109	1240	33	102	178	61	1332	501	164	248	365	223	191
contig#1011	652	33	376	34	13	524	51	66	385	53	506	71
contig#10110	41	4	38	3	1	35	3	1	15	1	32	4
contig#10111	28	6	22	6	2	21	6	9	12	5	46	3
contig#10112	129	10	49	11	1	85	16	7	42	9	49	11
contig#10113	135	56	63	26	0	104	16	4	115	9	73	12
contig#10114	93	1	67	6	1	56	12	12	43	8	40	12
contig#10115	223	17	29	65	7	121	258	46	81	71	104	68
contig#10116	53	62	257	10	3	206	10	37	152	12	224	25
contig#10117	116	6	65	29	7	70	38	33	37	22	81	18
contig#10118	2426	85	230	182	43	1745	408	209	416	520	455	227
contig#10119	112	13	81	29	1	79	18	23	68	27	108	37
contig#1012	71	18	72	29	8	69	13	60	74	16	118	49
contig#10120	520	91	1437	33	9	937	28	145	484	112	1285	75
contig#10121	90	12	56	9	6	60	16	15	54	26	81	11
contig#10122	136	36	142	73	18	111	25	72	75	53	159	58
contig#10123	502	34	113	61	13	293	86	40	180	72	266	66
contig#10124	1495	309	1173	621	186	1244	347	563	676	529	1685	518
contig#10125	972	24	187	32	9	418	81	26	359	26	581	104
contig#10126	175	10	159	5	2	252	15	17	246	16	330	12
contig#10127	65	36	41	49	20	64	37	41	46	47	44	31
contig#10128	769	147	804	278	80	696	142	299	449	198	928	318
contig#10129	35273	184068	34399	189790	214073	26968	101968	194295	54620	172745	53264	145915
contig#1013	3786	137	1094	1616	247	1742	542	717	1786	340	2907	1191
contig#10130	568	22	582	20	13	762	103	64	410	94	775	30
contig#10131	910	46	589	61	40	664	81	91	343	97	772	105
contig#10132	369	24	412	38	10	489	27	39	199	40	351	46
contig#10133	371	66	121	91	26	207	125	85	127	132	219	69
contig#10134	99	7	56	7	5	87	18	18	55	15	91	13
contig#10135	19	0	14	5	0	22	0	2	14	0	13	6
contig#10136	935	71	706	209	24	694	79	77	423	89	807	96
contig#10137	310	6	182	22	3	240	18	18	110	17	232	43
contig#10138	267	53	219	182	16	133	65	228	365	39	174	149
contig#10139	26	13	28	1	0	22	12	8	16	2	31	5
contig#1014	74	5	50	13	2	82	9	4	40	26	60	20
contig#10140	977	132	671	183	84	712	160	221	389	186	824	235
contig#10141	344	100	151	182	50	224	162	171	156	234	275	177
contig#10142	345	61	203	111	33	262	64	116	147	79	288	102
contig#10143	6	2	11	2	0	4	2	1	1	5	7	2
contig#10144	23	0	28	5	0	28	0	1	7	2	15	0
contig#10145	121	51	123	95	23	90	49	86	72	29	221	106
contig#10146	332	34	246	64	13	327	32	47	186	47	287	37
contig#10147	445	15	187	39	8	283	32	23	229	30	244	43
contig#10148	1474	40	975	68	16	1178	59	82	803	70	1386	186
contig#10149	983	188	563	501	111	728	199	383	544	215	876	546
contig#1015	647	60	385	112	34	410	113	124	253	104	551	152
contig#10150	12	6	0	0	0	33	0	0	27	0	0	0
contig#10151	512	57	293	80	18	366	66	80	394	60	479	96
contig#10152	536	77	176	82	0	345	11	3	358	53	100	15
contig#10153	698	125	529	228	93	509	159	252	284	189	751	232
contig#10154	146	24	98	42	17	116	23	34	78	29	168	42
contig#10155	1189	153	504	200	626	663	597	357	147	851	475	113
contig#10156	297	25	69	72	35	117	75	85	297	45	288	88
contig#10157	137	50	56	117	31	76	137	163	116	80	162	244
contig#10158	787	72	615	121	28	580	90	110	333	122	741	132
contig#10159	281	36	205	63	6	271	21	17	141	26	237	44
contig#1016	19729	4650	11831	4924	4759	15476	7867	11125	9621	7511	21788	6493
contig#10160	122	38	101	44	9	65	44	62	54	35	156	76
contig#10161	861	75	365	146	34	596	106	165	398	63	902	248
contig#10162	316	10	92	45	20	136	103	66	52	105	261	82
contig#10163	140	47	140	60	30	121	54	70	75	64	166	75
contig#10164	522	8	490	24	0	47	60	75	234	16	618	26
contig#10165	294	51	267	11	272	250	354	263	236	384	361	18
contig#10166	440	28	194	113	5	291	64	66	200	76	296	48
contig#10167	8	0	8	0	0	9	2	0	4	3	8	0
contig#10168	10	6	14	3	1	3	5	2	7	11	12	10
contig#10169	222	38	208	31	26	218	33	62	130	36	238	48
contig#1017	438	58	265	84	1	661	28	53	447	28	436	82
contig#10170	319	16	280	25	2	276	26	26	155	19	230	19
contig#10171	94	8	58	19	5	63	17	16	35	13	84	22
contig#10172	89	46	70	56	30	122	95	86	71	59	70	56
contig#10173	36	27	18	26	21	25	17	22	25	19	43	25
contig#10174	23	5	11	4	3	16	9	6	34	12	28	17
contig#10175	71	11	35	11	1	36	6	9	39	4	41	16
contig#10176	66	23	44	46	16	47	40	85	39	20	63	68
contig#10177	25	17	21	39	13	34	22	39	13	25	43	42
contig#10178	100	11	52	26	5	85	32	6	93	59	139	10
contig#10179	14	2	12	1	0	11	3	2	7	1	21	1
contig#1018	4188	183	1553	388	238	2286	861	673	860	895	3177	543
contig#10180	333	24	213	45	26	217	50	50	102	59	229	52
contig#10181	25	0	44	10	1	19	31	37	18	11	71	62
contig#10182	21	9	13	8	0	27	2	0	24	1	15	3
contig#10183	901	74	419	110	25	560	95	100	380	65	448	66
contig#10184	105	23	66	27	6	171	15	31	63	14	102	35
contig#10185	157	30	135	47	12	95	46	39	59	45	145	55
contig#10186	215	4	132	5	9	118	32	14	42	28	214	3
contig#10187	348	48	266	49	9	291	33	73	181	38	344	62
contig#10188	35	22	30	39	16	21	17	52	24	31	32	31
contig#10189	1179	233	907	328	45	1005	177	307	746	268	1163	305
contig#1019	448	26	260	68	17	371	42	68	241	33	381	105
contig#10190	96	130	61	280	90	62	141	265	79	189	88	224
contig#10191	368	81	284	135	39	262	60	111	182	78	327	125
contig#10192	24	4	13	2	1	33	15	0	30	20	67	5
contig#10193	719	115	564	171	49	677	136	220	501	151	781	180
contig#10194	112	60	86	55	28	72	43	144	73	61	147	95
contig#10195	124	9	157	1	0	168	15	2	109	11	55	18
contig#10196	1331	267	862	675	140	943	541	817	822	539	1383	631
contig#10197	738	104	435	125	14	500	121	109	351	93	701	166
contig#10198	738	81	502	112	23	628	94	137	348	104	634	128
contig#10199	12	1	14	1	0	6	0	0	5	3	8	1
contig#102	18	4	27	19	2	26	9	11	44	18	51	16
contig#1020	28	9	68	2	0	109	6	8	190	12	86	4
contig#10200	127	14	105	45	16	95	26	56	96	24	117	49
contig#10201	189	73	59	142	62	70	71	170	96	44	159	189
contig#10202	103	11	25	30	5	76	45	34	36	71	28	30
contig#10203	391	148	378	192	93	320	124	264	219	126	472	250
contig#10204	12	5	12	2	7	10	15	3	14	11	14	1
contig#10205	229	206	248	264	96	271	143	621	260	137	243	483
contig#10206	202	58	167	67	23	176	41	92	164	39	197	106
contig#10207	109	18	55	12	1	76	13	17	88	10	106	24
contig#10208	17	5	8	3	2	15	2	3	7	0	19	2
contig#10209	281	95	313	130	63	270	80	158	179	71	346	142
contig#1021	3177	252	2155	379	374	1969	1071	640	795	949	3656	487
contig#10210	801	124	822	157	56	805	172	307	566	194	989	293
contig#10211	458	99	372	158	44	384	131	155	216	151	517	179
contig#10212	13	5	9	22	9	10	10	9	28	10	17	17
contig#10213	888	53	437	114	29	686	102	66	406	79	694	109
contig#10214	46	29	32	44	12	46	31	30	51	19	40	36
contig#10215	696	12	245	28	6	299	23	40	345	11	446	80
contig#10216	572	143	462	190	77	473	180	248	306	159	698	251
contig#10217	2076	317	2051	320	222	2108	367	569	1255	360	2422	513
contig#10218	78	11	42	28	5	70	19	33	35	15	85	21
contig#10219	613	142	479	226	73	480	174	270	292	163	686	218
contig#1022	1612	210	1366	346	70	1467	229	468	1480	333	1653	411
contig#10220	17	2	14	2	0	16	3	3	13	1	4	1
contig#10221	216	8	201	28	4	264	14	28	150	25	196	23
contig#10222	337	32	98	41	5	280	41	46	111	64	141	60
contig#10223	416	42	147	26	14	267	38	50	189	30	295	48
contig#10224	108	10	51	8	12	73	16	12	65	15	83	7
contig#10225	213	37	188	55	21	195	34	71	163	37	299	79
contig#10226	168	14	124	10	27	146	69	45	114	72	199	27
contig#10227	495	79	283	98	33	381	63	111	210	69	461	96
contig#10228	187	80	124	73	33	170	73	105	80	66	201	82
contig#10229	1032	13	313	40	52	506	176	59	159	306	675	68
contig#1023	18428	2538	12661	3685	1656	16783	3862	5036	11034	3682	17925	5217
contig#10230	1401	100	752	177	31	954	95	146	623	127	1009	192
contig#10231	98	6	64	18	0	75	12	15	47	16	89	15
contig#10232	219	26	66	33	13	93	94	64	74	36	214	59
contig#10233	130	16	83	35	4	106	12	22	66	21	146	34
contig#10234	15	0	5	1	0	14	1	1	11	1	8	1
contig#10235	94	17	65	44	6	67	20	25	61	51	83	32
contig#10236	492	113	313	159	25	581	135	157	281	213	484	183
contig#10238	173	39	62	59	0	145	4	0	155	18	50	14
contig#10239	31	5	21	4	1	15	4	4	14	4	25	4
contig#1024	825	64	567	73	26	624	73	105	338	107	705	112
contig#10240	99	3	89	4	3	79	0	4	85	6	93	7
contig#10241	423	123	176	243	62	225	223	248	221	275	325	311
contig#10242	285	13	221	14	14	190	153	84	91	114	232	7
contig#10243	823	192	572	233	132	645	187	311	416	195	856	278
contig#10244	95	42	148	47	11	85	18	81	92	30	163	65
contig#10245	980	35	541	41	12	735	28	50	548	26	669	80
contig#10246	244	34	215	51	22	185	37	64	91	51	268	75
contig#10247	224	78	171	110	33	171	84	142	161	78	219	179
contig#10248	146	1	82	0	5	0	18	0	38	14	205	88
contig#10249	68	41	50	41	7	40	24	56	39	28	84	41
contig#1025	3501	297	1807	534	185	2589	430	465	1799	619	2252	435
contig#10250	903	9	381	22	2	538	43	14	124	30	553	20
contig#10251	340	74	383	83	30	309	86	95	160	93	422	112
contig#10252	303	120	294	108	70	283	99	182	238	91	440	198
contig#10253	707	68	629	124	29	488	121	203	294	222	773	162
contig#10254	302	39	124	18	9	243	28	14	157	86	230	7
contig#10255	49	0	23	0	0	56	7	4	48	40	79	0
contig#10256	63	3	36	4	0	39	11	14	47	6	86	8
contig#10257	329	77	173	107	31	252	114	211	193	83	345	201
contig#10258	8	9	20	15	4	14	9	14	10	7	33	17
contig#10259	24	11	17	5	0	20	3	6	15	8	20	5
contig#1026	3821	741	2732	710	191	3399	907	944	3485	627	4021	871
contig#10260	18	15	29	28	4	11	7	23	12	11	22	21
contig#10261	596	66	453	28	10	548	96	47	403	53	587	63
contig#10262	230	42	168	5	1	208	103	15	267	239	266	41
contig#10263	13	7	22	11	3	16	7	13	8	6	27	7
contig#10264	153	51	127	108	29	136	78	97	67	69	186	110
contig#10265	179	50	78	66	18	111	49	91	104	81	137	84
contig#10266	677	39	600	39	25	786	40	61	450	62	677	51
contig#10267	521	236	385	285	112	504	274	381	452	229	694	385
contig#10268	358	148	218	246	57	255	118	261	218	156	405	370
contig#10269	35	24	23	29	29	24	25	41	21	23	37	40
contig#1027	738	92	478	93	55	530	163	187	306	143	814	156
contig#10270	411	68	332	125	32	356	98	144	207	99	470	129
contig#10271	594	3	481	0	2	1001	7	9	172	7	559	5
contig#10272	578	167	525	259	86	406	201	321	323	238	750	378
contig#10273	1742	217	762	434	96	1634	396	409	736	512	1181	434
contig#10274	1417	208	1011	311	146	1239	215	518	626	304	1345	401
contig#10275	258	9	153	13	7	213	20	12	167	31	220	45
contig#10276	133	16	134	25	1	91	72	24	41	25	128	37
contig#10277	333	162	180	253	101	241	128	259	261	243	348	198
contig#10278	13	5	22	9	3	13	2	7	18	3	28	8
contig#10279	566	5	288	29	14	378	75	31	74	122	421	29
contig#1028	6083	484	6342	531	164	5341	586	754	3725	601	7817	961
contig#10280	516	77	366	72	65	295	273	190	295	275	355	84
contig#10281	1729	224	1505	316	163	1534	317	580	940	317	2054	539
contig#10282	415	34	295	41	26	353	30	24	180	38	350	57
contig#10283	18	0	13	0	0	12	1	5	18	4	18	1
contig#10284	93	9	29	10	1	60	5	8	92	4	68	8
contig#10285	1452	21	405	31	13	940	152	69	270	328	376	30
contig#10286	4928	18585	4015	17153	17984	3092	11144	18436	5440	20129	5845	10568
contig#10287	420	20	248	32	5	250	39	38	62	27	310	56
contig#10288	411	20	365	49	14	367	39	31	234	58	485	78
contig#10289	488	46	435	44	12	530	24	80	283	48	482	97
contig#1029	272	27	137	63	27	170	40	66	191	37	319	88
contig#10290	35	8	41	14	4	23	1	16	25	5	52	14
contig#10291	21	2	20	7	1	20	1	1	21	2	21	0
contig#10292	505	60	422	94	21	424	65	85	202	84	539	90
contig#10293	1965	88	1206	125	13	1534	57	64	674	84	1275	92
contig#10294	537	206	383	401	92	370	202	477	340	272	539	386
contig#10295	135	120	962	44	11	469	12	83	280	55	714	33
contig#10296	320	148	347	92	512	255	501	655	157	467	457	141
contig#10297	53	2	34	4	1	62	4	8	28	0	52	14
contig#10298	87	10	63	18	4	48	15	19	52	11	77	25
contig#10299	41	9	6	9	2	5	10	8	8	10	16	14
contig#103	8676	35921	8149	45693	51982	5758	24577	46770	12870	43243	13635	29359
contig#1030	21352	970	6275	2710	813	8851	3543	3438	8568	1133	13922	4357
contig#10300	50	11	38	22	3	54	10	16	24	23	62	12
contig#10301	1726	205	1142	191	104	1703	245	356	736	218	1636	310
contig#10302	8149	18	52	146	15	6338	834	61	228	1094	219	107
contig#10303	454	62	230	47	160	375	335	311	293	317	462	57
contig#10304	110	50	58	89	16	75	67	87	40	49	104	98
contig#10305	72	7	53	32	12	65	18	43	46	28	86	32
contig#10306	295	95	277	112	55	265	85	164	187	83	353	230
contig#10307	147	44	24	16	0	57	5	5	138	7	12	3
contig#10308	69	2	45	17	2	43	10	13	37	20	48	18
contig#10309	222	32	175	62	63	172	123	98	84	75	275	41
contig#1031	619	34	347	67	12	447	47	53	271	51	411	103
contig#10310	405	24	309	31	21	340	49	74	184	47	317	62
contig#10311	41	30	43	38	10	34	8	24	31	19	70	43
contig#10312	103	7	100	12	5	119	7	14	56	8	100	9
contig#10313	145	21	104	13	12	108	23	31	58	30	123	25
contig#10314	442	113	399	210	73	342	134	292	278	217	549	247
contig#10315	868	40	475	59	29	493	71	141	258	105	794	106
contig#10316	19	15	26	10	6	16	7	23	15	15	34	14
contig#10317	60	79	78	81	68	91	79	160	66	36	104	82
contig#10318	223	55	147	91	31	174	55	133	119	58	221	112
contig#10319	641	22	420	27	30	453	85	62	229	139	594	12
contig#1032	2071	656	1672	674	98	1678	593	739	1422	529	1832	850
contig#10320	443	24	314	51	4	488	23	40	177	29	420	52
contig#10321	169	5	74	11	7	129	43	25	68	29	80	9
contig#10322	58	23	36	8	1	43	1	19	21	9	46	24
contig#10323	1851	300	1594	475	138	1563	334	676	985	336	2074	618
contig#10324	432	16	326	47	7	409	48	74	188	47	426	47
contig#10325	171	17	107	9	1	152	38	16	72	18	129	22
contig#10326	22	18	16	18	1	22	4	18	11	5	18	16
contig#10327	22	17	25	17	1	19	7	19	8	8	31	15
contig#10328	545	82	369	202	45	320	207	256	255	206	460	347
contig#10329	114	76	171	446	35	96	83	549	273	125	598	338
contig#1033	102	4	48	10	0	31	11	3	20	6	62	10
contig#10330	1030	85	703	158	30	778	111	171	647	109	954	252
contig#10331	729	126	368	132	67	415	111	144	267	133	623	179
contig#10332	89	20	64	26	22	68	58	24	59	37	75	18
contig#10333	135	32	136	42	16	118	32	65	77	49	140	50
contig#10334	191	24	82	13	0	114	10	3	113	19	71	2
contig#10335	23	12	31	30	3	8	16	39	14	13	34	28
contig#10336	202	14	188	20	3	190	17	13	96	23	206	31
contig#10337	127	17	86	24	7	64	28	38	42	20	97	36
contig#10338	11	1	11	5	1	5	3	2	7	3	11	2
contig#10339	40	10	20	16	5	27	15	26	32	21	46	36
contig#1034	538	81	572	137	49	489	98	116	378	146	636	138
contig#10340	99	21	141	78	21	99	48	69	78	38	161	66
contig#10341	115	24	52	30	2	102	13	15	66	12	69	14
contig#10342	18	5	11	3	0	25	4	6	41	13	13	5
contig#10343	293	76	269	195	68	232	125	207	184	141	467	165
contig#10344	448	20	388	8	8	171	36	31	232	89	675	54
contig#10345	34	15	16	4	0	17	3	1	11	4	9	5
contig#10346	398	44	318	38	23	390	49	98	196	54	389	68
contig#10347	1077	105	816	156	62	947	149	190	610	150	955	203
contig#10348	199	61	159	78	28	186	69	90	136	77	212	115
contig#10349	170	34	98	68	15	101	50	96	117	40	147	97
contig#1035	10	1	6	0	0	20	1	0	70	0	7	0
contig#10351	96	13	72	27	6	73	22	16	60	32	88	27
contig#10352	1268	37	62	50	18	1009	113	171	138	141	176	66
contig#10353	14	7	28	18	7	18	8	10	17	17	23	23
contig#10354	125	4	30	6	1	76	16	12	61	15	80	22
contig#10355	73	10	82	22	10	91	23	23	43	25	111	37
contig#10356	4004	108	2236	240	191	2892	457	727	1072	997	1169	203
contig#10357	403	9	208	40	11	252	18	32	159	29	295	35
contig#10358	789	86	504	135	63	731	150	170	384	143	749	156
contig#10359	6	3	7	4	0	5	0	12	11	2	10	7
contig#1036	72	2	71	7	2	78	11	6	40	2	75	5
contig#10360	307	73	237	99	29	273	82	129	229	79	348	123
contig#10361	112	24	65	5	0	136	45	5	250	121	219	51
contig#10362	1099	32	432	55	52	680	233	136	180	279	753	111
contig#10363	554	279	439	445	152	297	420	598	213	547	577	719
contig#10364	263	29	160	49	25	196	52	81	83	41	232	59
contig#10365	9	13	15	18	1	15	16	36	24	22	22	36
contig#10366	229	133	147	314	34	149	189	305	158	141	282	229
contig#10367	1768	68	788	99	25	1094	170	130	574	132	1049	155
contig#10368	996	57	652	103	36	887	96	121	341	109	1035	122
contig#10369	1596	303	740	366	148	1186	336	565	697	437	1224	523
contig#1037	9	3	3	15	3	5	7	4	2	7	6	11
contig#10370	1192	106	804	124	70	991	196	252	364	181	1130	171
contig#10371	2037	124	1147	189	56	1637	225	254	927	211	1525	255
contig#10372	561	124	604	169	153	413	247	590	297	500	432	197
contig#10373	1789	269	1132	335	160	1082	484	507	550	443	1896	538
contig#10374	220	16	181	16	7	215	31	24	111	20	189	26
contig#10375	418	12	141	177	34	253	81	125	247	59	366	204
contig#10376	128	11	105	28	14	97	13	27	70	24	144	34
contig#10377	59	56	61	73	25	41	42	83	42	51	74	124
contig#10378	113	6	77	15	1	97	9	11	67	11	88	7
contig#10379	377	32	166	30	13	248	39	43	179	41	254	57
contig#1038	1488	256	888	608	132	1047	409	662	953	411	1375	785
contig#10380	580	87	541	111	33	690	93	172	370	132	680	132
contig#10381	454	42	330	73	49	406	89	82	256	83	420	93
contig#10382	206	72	303	55	26	209	39	105	177	45	278	88
contig#10383	538	54	614	62	43	561	71	74	308	93	612	83
contig#10384	491	42	374	47	72	382	167	96	294	138	526	81
contig#10385	610	99	568	127	29	574	87	185	388	118	680	135
contig#10386	331	45	226	48	14	280	39	90	167	48	364	83
contig#10387	266	30	138	56	18	172	40	54	150	58	213	36
contig#10388	303	178	283	474	158	217	124	273	241	181	335	369
contig#10389	725	68	393	65	53	483	117	143	334	109	556	95
contig#1039	319	15	167	43	13	192	47	43	145	46	322	56
contig#10390	34	1	13	3	1	25	1	0	11	8	15	0
contig#10391	132	19	79	38	13	88	22	21	78	29	167	45
contig#10392	467	128	334	154	36	344	151	167	333	149	562	207
contig#10393	51	2	35	4	0	45	2	4	27	3	35	4
contig#10394	58	13	58	10	1	55	7	10	47	7	85	11
contig#10395	976	245	475	399	83	707	327	513	623	220	1135	673
contig#10396	226	69	126	47	5	170	39	26	142	30	138	75
contig#10397	129	33	72	97	12	92	31	82	116	80	113	103
contig#10398	1204	98	626	123	29	898	168	148	428	184	917	154
contig#10399	3	3	5	17	1	8	3	2	9	2	8	0
contig#104	23810	618	4898	2742	589	8779	3548	1845	10287	1195	14337	4138
