Contig	SRR5004095_bt2-counts.txt	SRR5004096_bt2-counts.txt	SRR5004097_bt2-counts.txt	SRR5004091_bt2-counts.txt	SRR5004078_bt2-counts.txt	SRR5004080_bt2-counts.txt	SRR5004093_bt2-counts.txt	SRR5004090_bt2-counts.txt	SRR5004082_bt2-counts.txt	SRR5004083_bt2-counts.txt	SRR5004085_bt2-counts.txt
contig#26882	6	5	13	18	2	23	19	3	7	1	0
contig#26884	9	7	7	20	9	19	20	12	12	3	9
contig#26885	51	40	193	246	35	81	364	10	31	17	48
contig#26886	15	41	15	27	19	9	15	34	60	11	62
contig#26887	195	83	114	142	98	57	68	12	41	33	12
contig#26888	19	59	70	86	18	25	35	39	32	31	108
contig#26889	22	43	25	52	29	46	60	22	118	19	69
contig#2689	86	68	131	169	73	115	180	37	63	13	76
contig#26890	12	11	31	37	7	29	28	11	10	4	14
contig#26891	9	3	20	30	5	16	14	0	3	1	3
contig#26893	11	8	26	42	5	11	53	7	2	2	5
contig#26894	61	50	118	141	73	64	262	33	53	20	70
contig#26895	2	13	16	30	5	51	27	6	4	4	9
contig#26896	28	9	4	14	40	4	57	5	5	7	8
contig#26897	1	1	7	6	3	2	3	1	3	0	2
contig#26898	1	0	18	21	2	15	22	0	5	3	6
contig#26899	19	18	68	100	15	57	113	13	21	8	34
contig#269	122	173	636	869	130	437	860	94	161	52	142
contig#2690	56	38	92	142	56	173	180	45	51	9	64
contig#26900	6	19	17	39	13	8	14	1	15	4	20
contig#26901	8	31	21	33	21	31	34	14	23	7	36
contig#26902	15	41	43	102	20	46	55	10	17	1	41
contig#26903	44	7	21	35	19	28	640	6	3	2	7
contig#26904	300	117	59	81	230	53	914	18	56	10	69
contig#26905	2	3	23	25	0	27	35	2	4	1	3
contig#26906	57	90	46	92	11	27	50	71	116	19	72
contig#26907	5	5	21	13	3	9	13	1	2	0	4
contig#26908	9	16	40	34	8	26	36	7	16	1	19
contig#26909	4	8	4	12	12	9	11	1	3	1	9
contig#2691	184	332	722	989	183	624	915	149	241	65	326
contig#26910	14	58	21	24	20	39	35	9	14	10	21
contig#26911	18	6	10	31	214	85	47	3	7	0	22
contig#26912	7	0	10	4	3	1	1	0	2	1	6
contig#26913	41	104	88	140	49	40	75	61	66	20	71
contig#26914	8	16	17	20	7	6	15	15	33	11	26
contig#26915	152	113	224	247	43	102	285	23	43	25	65
contig#26916	15	2	5	12	1	14	12	2	1	0	3
contig#26917	3	0	7	7	0	6	10	2	0	0	3
contig#26918	42	17	145	147	14	64	256	10	15	6	9
contig#26919	4	1	9	3	2	2	2	9	9	0	2
contig#2692	93	115	282	376	64	241	358	91	88	45	163
contig#26920	3	14	19	42	7	21	52	3	10	3	17
contig#26921	18	49	45	78	34	43	58	27	30	10	45
contig#26922	7	4	7	6	2	18	25	2	10	0	2
contig#26923	4	17	33	43	15	7	39	7	24	9	25
contig#26924	10	21	32	30	7	15	14	5	8	0	14
contig#26925	14	17	76	85	10	52	86	6	6	6	18
contig#26926	3	1	22	22	1	5	8	7	0	3	2
contig#26928	1	1	10	8	0	13	9	3	1	1	0
contig#26929	19	13	13	13	9	13	31	5	15	1	17
contig#2693	130	170	667	900	133	445	857	73	143	33	153
contig#26930	4	1	17	19	3	18	22	2	3	0	3
contig#26931	4	5	14	13	5	8	9	2	0	1	4
contig#26932	8	19	57	104	17	59	176	3	4	5	35
contig#26933	3	4	11	4	2	3	4	1	1	0	4
contig#26934	8	14	17	19	16	17	41	3	2	6	9
contig#26935	15	12	107	112	14	49	135	8	16	1	17
contig#26936	6	9	136	128	3	71	255	11	2	0	6
contig#26937	29	38	48	107	37	48	109	7	16	2	22
contig#26938	12	15	8	6	6	5	10	12	20	2	13
contig#26939	2	0	29	19	0	20	25	1	7	1	2
contig#2694	2	2	28	29	4	17	23	2	6	0	8
contig#26941	26	41	58	106	21	61	86	10	14	14	24
contig#26942	3	10	2	10	4	9	15	1	6	2	6
contig#26943	64	47	262	349	39	158	323	26	33	6	83
contig#26944	2	0	36	31	3	19	70	1	2	0	4
contig#26945	4	5	13	12	8	6	24	2	2	1	2
contig#26946	1	0	2	4	1	3	7	0	5	1	0
contig#26947	31	26	99	123	20	41	105	32	31	12	33
contig#26948	18	17	27	31	20	24	33	13	15	4	23
contig#26949	42	35	17	47	37	25	65	18	56	11	61
contig#2695	60	70	392	353	40	269	342	74	82	10	74
contig#26950	14	64	60	118	16	92	76	33	37	8	72
contig#26951	45	49	104	111	32	48	86	28	28	10	32
contig#26952	53	46	128	178	42	71	269	34	51	7	31
contig#26953	8	26	22	18	21	12	26	19	26	15	26
contig#26954	1	0	27	22	1	21	38	1	2	1	2
contig#26955	7	2	16	19	8	41	26	19	4	2	0
contig#26956	147	179	453	517	112	255	523	88	121	40	149
contig#26957	9	10	11	7	5	12	13	2	19	3	15
contig#26958	29	8	225	209	26	89	319	4	10	3	9
contig#26959	7	6	7	17	5	14	15	3	6	1	20
contig#2696	194	185	1152	1434	129	685	1701	162	204	45	242
contig#26960	16	8	3	4	0	9	54	0	0	0	1
contig#26961	28	46	42	78	13	45	94	21	52	12	49
contig#26962	6	5	9	15	2	10	6	1	2	2	9
contig#26963	15	24	9	32	35	25	24	16	18	12	33
contig#26964	107	173	193	276	70	117	177	59	112	35	143
contig#26965	59	33	56	81	59	58	73	18	15	6	56
contig#26966	1	0	11	13	0	7	26	1	0	1	0
contig#26967	14	29	110	144	2	75	90	16	33	10	28
contig#26968	5	4	8	27	2	9	15	2	7	2	2
contig#2697	392	620	451	701	556	434	489	147	221	218	272
contig#26970	1	0	8	5	1	7	17	3	3	0	0
contig#26971	4	7	10	15	5	10	8	5	6	6	6
contig#26972	12	10	19	31	7	33	52	9	12	5	8
contig#26973	26	85	66	120	50	108	75	51	78	44	110
contig#26975	5	4	103	117	6	87	102	9	6	1	18
contig#26976	6	2	12	17	6	11	43	1	4	1	10
contig#26977	20	2	57	71	7	22	78	10	10	4	17
contig#26978	8	21	37	59	11	37	66	9	8	9	33
contig#26979	78	132	100	179	62	62	155	69	155	53	157
