Contig	SRR5004082_1_trimmed.fq.gz.sam_counts.txt	SRR5004093_1_trimmed.fq.gz.sam_counts.txt	SRR5004080_1_trimmed.fq.gz.sam_counts.txt	SRR5004085_1_trimmed.fq.gz.sam_counts.txt	SRR5004091_1_trimmed.fq.gz.sam_counts.txt	SRR5004078_1_trimmed.fq.gz.sam_counts.txt	SRR5004096_1_trimmed.fq.gz.sam_counts.txt	SRR5004097_1_trimmed.fq.gz.sam_counts.txt	SRR5004095_1_trimmed.fq.gz.sam_counts.txt	SRR5004083_1_trimmed.fq.gz.sam_counts.txt	SRR5004090_1_trimmed.fq.gz.sam_counts.txt	SRR5004094_1_trimmed.fq.gz.sam_counts.txt
contig#1	58	591	252	74	494	82	52	284	72	30	39	439
contig#10	95	455	281	98	488	94	124	453	87	33	78	452
contig#100	252	919	455	318	917	210	315	647	204	80	202	824
contig#1000	871	2304	1495	1046	2279	679	963	1337	558	230	730	1694
contig#10000	11	397	220	13	320	30	26	302	21	7	11	468
contig#10001	61	155	75	104	186	77	147	106	62	32	62	113
contig#10002	41	227	95	69	193	52	60	183	48	40	71	150
contig#10003	4	26	8	1	33	2	2	17	0	0	1	22
contig#10004	59	259	182	71	306	39	49	239	54	10	26	244
contig#10005	30	163	93	36	150	17	26	138	28	13	22	164
contig#10006	117	341	223	157	487	77	171	331	107	34	72	296
contig#10007	19	257	286	0	35	4	1	62	20	0	42	155
contig#10008	8	128	87	9	156	4	10	125	1	1	3	140
contig#10009	26	82	53	23	192	50	58	150	23	7	12	80
contig#1001	97	1270	539	171	1147	125	174	817	142	47	90	1139
contig#10010	117	406	240	171	460	79	160	294	104	47	95	309
contig#10011	68	105	78	94	143	37	92	120	36	34	49	85
contig#10012	376	4237	1701	541	3257	784	798	2183	663	237	304	2488
contig#10013	609	1331	653	999	909	530	676	323	294	290	212	569
contig#10014	103	1463	438	201	1356	305	205	768	82	30	84	1182
contig#10015	953	4314	1150	1130	2876	2075	1400	1379	1850	466	549	2477
contig#10016	16	62	50	23	59	10	11	41	14	3	15	54
contig#10017	32	48	53	57	84	21	47	37	18	6	35	39
contig#10018	1	5	10	3	1	2	8	2	2	0	0	2
contig#1002	2	25	39	2	13	0	0	6	4	0	2	21
contig#10020	2	20	13	4	14	1	3	4	3	0	2	13
contig#10021	19	214	120	33	242	17	16	190	16	11	8	229
contig#10022	251	2285	1249	422	2223	276	411	1555	264	101	182	2048
contig#10023	87	1511	857	174	1379	110	109	1109	124	48	76	1498
contig#10024	10	251	181	18	215	267	151	125	238	72	15	162
contig#10025	16	18	16	11	15	2	10	16	13	2	13	9
contig#10026	2	15	9	0	5	7	2	1	2	2	0	14
contig#10027	47	264	127	77	216	53	78	156	85	16	27	191
contig#10028	13	255	110	40	232	21	28	209	21	4	9	231
contig#10029	28	321	524	20	233	8	32	300	12	0	14	324
contig#1003	64	1808	537	102	1462	136	95	1022	137	29	51	1736
contig#10030	34	417	234	31	376	22	37	395	25	5	21	516
contig#10031	194	141	75	165	206	121	197	142	182	51	156	97
contig#10032	63	281	167	75	338	29	85	237	30	29	49	249
contig#10033	1	14	8	0	14	1	0	6	7	0	0	17
contig#10034	65	590	221	101	253	145	80	63	89	27	22	326
contig#10035	380	285	168	434	383	219	356	230	267	102	348	171
contig#10036	8	41	36	7	32	3	5	21	5	4	5	61
contig#10037	303	465	249	263	621	116	252	408	128	104	162	439
contig#10038	87	639	311	131	481	67	89	273	81	18	38	384
contig#10039	7	137	36	7	133	21	21	103	15	10	8	110
contig#1004	48	202	140	102	266	48	117	179	47	47	70	176
contig#10040	155	98	119	193	133	91	237	87	94	56	113	71
contig#10041	31	316	146	29	208	27	22	170	30	18	22	354
contig#10042	18	69	36	22	30	7	12	14	9	4	20	15
contig#10043	242	755	393	215	761	199	228	583	219	39	118	535
contig#10044	83	324	208	118	371	69	125	332	73	51	85	302
contig#10045	385	1147	653	451	1030	235	378	695	260	68	195	893
contig#10046	540	2139	925	684	1856	327	337	866	259	178	41	917
contig#10047	5	7	2	0	6	5	6	5	1	1	0	8
contig#10048	21	67	14	49	63	14	35	49	14	13	7	19
contig#10049	9	14	17	9	28	12	3	8	11	6	6	14
contig#1005	130	490	272	169	502	93	188	398	122	75	84	395
contig#10050	256	913	478	213	660	155	154	516	276	21	110	557
contig#10051	9	207	105	15	93	21	5	66	26	0	29	136
contig#10052	5	74	53	0	26	1	4	22	10	0	9	43
contig#10053	183	573	294	232	704	207	359	566	228	165	150	485
contig#10054	57	307	90	115	318	63	90	221	61	17	42	224
contig#10055	23	178	69	36	110	26	22	52	23	5	12	110
contig#10056	101	272	233	169	546	61	219	277	61	44	125	353
contig#10057	245	389	298	202	505	90	185	346	127	98	112	331
contig#10058	68	1136	478	53	802	64	55	615	57	8	52	856
contig#10059	46	262	135	50	237	47	98	174	52	20	39	224
contig#1006	104	690	521	230	802	346	336	457	316	177	92	506
contig#10060	9	42	48	60	34	127	11	1	14	8	2	16
contig#10061	27	172	66	37	107	49	32	48	45	12	21	135
contig#10062	49	220	99	95	237	46	94	162	47	25	18	161
contig#10063	43	606	218	62	470	63	36	277	43	6	24	427
contig#10064	9	135	25	16	77	14	10	37	17	2	6	52
contig#10065	8	147	63	25	84	21	24	36	8	1	0	55
contig#10067	24	89	54	32	128	29	36	85	36	28	21	60
contig#10068	61	711	281	94	614	64	79	407	51	15	41	511
contig#10069	33	344	163	27	255	18	10	228	27	4	27	300
contig#1007	365	2409	733	562	1001	1118	323	281	510	110	117	1370
contig#10070	37	959	410	91	590	75	41	306	26	9	17	357
contig#10071	83	186	196	48	203	48	81	156	59	35	55	234
contig#10072	11	207	58	27	178	35	28	122	26	2	4	157
contig#10073	75	404	167	86	392	52	71	316	69	25	38	340
contig#10074	11	97	160	11	81	2	7	86	1	1	4	56
contig#10075	209	678	348	262	782	190	335	556	163	89	201	484
contig#10076	61	363	131	51	304	32	42	304	69	26	43	367
contig#10077	98	569	329	133	474	81	156	339	82	43	49	454
contig#10078	146	1235	802	236	1209	118	140	797	137	21	105	991
contig#10079	39	91	50	58	62	15	19	46	32	9	15	78
contig#1008	2141	11504	5525	3163	11765	2766	3470	7047	2361	1258	1576	8408
contig#10080	772	368	283	789	663	388	680	212	278	207	450	117
contig#10081	53	669	418	32	552	22	35	704	46	4	56	967
contig#10082	277	1051	606	366	1239	165	276	859	255	77	184	1084
contig#10083	83	852	356	90	509	122	98	195	132	29	35	452
contig#10085	69	260	133	71	235	49	78	219	67	27	45	218
contig#10086	6	134	56	31	79	24	12	48	10	6	2	46
contig#10087	51	183	65	41	162	38	42	109	21	21	23	137
contig#10089	229	1047	465	338	643	251	281	310	181	50	107	719
contig#1009	3	102	40	7	62	7	3	52	1	1	2	157
contig#10090	117	781	390	209	718	101	119	599	122	39	69	756
contig#10091	26	62	49	42	73	25	33	18	24	20	6	20
contig#10092	7	50	25	15	64	5	8	31	7	4	10	38
contig#10093	286	2216	697	388	2082	309	424	1507	425	130	170	1764
contig#10094	25	1447	157	5	1819	203	97	1303	353	74	20	954
contig#10095	98	269	166	130	304	94	178	231	108	30	69	174
contig#10096	63	318	277	33	291	33	82	386	44	9	23	400
contig#10098	9	98	106	26	132	57	43	93	55	29	22	97
contig#10099	58	473	215	45	370	45	31	273	56	7	16	364
contig#101	17	65	25	20	56	32	25	47	26	5	10	56
contig#1010	1102	4676	2230	1597	4541	929	1424	2726	859	335	787	3463
contig#10100	13	58	26	27	55	17	17	57	14	7	9	55
contig#10101	208	1016	534	247	913	208	248	676	257	127	128	980
contig#10102	263	2539	1189	387	2198	328	303	1417	321	104	202	1668
contig#10103	16	45	26	16	13	13	42	11	24	13	2	12
contig#10104	18	95	105	13	144	91	81	86	109	41	17	72
contig#10105	12	15	44	9	4	2	34	9	2	1	3	4
contig#10106	21	206	74	12	156	14	14	112	11	2	9	116
contig#10107	31	11	13	27	14	14	24	13	10	20	16	6
contig#10108	87	400	185	116	454	72	127	366	84	37	66	345
contig#10109	175	1218	244	188	217	496	160	103	355	57	32	1308
contig#1011	32	640	378	69	507	52	63	376	54	12	33	543
contig#10110	3	35	14	2	30	3	0	36	1	1	2	26
contig#10111	3	21	11	6	37	6	9	21	3	2	5	17
contig#10112	11	119	41	12	40	15	6	47	9	1	9	80
contig#10113	26	137	115	13	74	17	4	63	9	0	56	105
contig#10114	7	88	39	11	38	11	11	64	8	1	1	51
contig#10115	60	219	84	68	103	257	46	29	72	7	17	118
contig#10116	10	53	147	24	223	10	36	250	11	3	62	206
contig#10117	27	117	31	15	76	37	29	59	22	8	6	67
contig#10118	182	2383	402	225	450	404	208	229	516	42	85	1696
contig#10119	27	107	64	37	104	18	23	74	25	1	13	77
contig#1012	32	76	69	56	119	13	67	69	16	10	17	68
contig#10120	31	405	428	63	1075	21	133	1155	104	7	79	854
contig#10121	9	93	54	11	80	16	16	54	26	6	12	59
contig#10122	65	126	71	45	145	25	58	126	51	17	37	100
contig#10123	57	494	178	62	263	85	40	111	72	13	33	287
contig#10124	612	1486	677	510	1677	345	554	1170	523	186	306	1245
contig#10125	34	998	375	106	606	79	28	195	26	11	24	427
contig#10126	4	175	254	12	335	14	18	155	16	2	10	253
contig#10127	48	58	47	31	42	36	41	37	49	20	36	60
contig#10128	272	753	439	314	905	142	293	784	196	79	142	681
contig#10129	447	174	142	375	209	159	244	169	246	158	520	174
contig#1013	1613	3792	1767	1202	2904	536	719	1090	339	247	136	1750
contig#10130	20	577	425	30	793	102	62	603	100	15	23	774
contig#10131	60	883	331	101	747	77	83	564	95	35	45	639
contig#10132	38	360	199	45	347	27	37	403	40	10	25	483
contig#10133	55	78	59	17	23	9	4	29	13	0	38	35
contig#10134	6	96	52	13	90	19	18	53	15	5	7	82
contig#10135	5	13	13	5	12	0	2	12	0	0	0	20
contig#10136	200	930	426	88	792	77	75	698	85	24	69	688
contig#10137	21	298	107	43	227	16	17	173	17	2	6	234
contig#10138	182	272	349	148	166	62	228	200	38	16	50	132
contig#10139	1	26	15	4	29	12	6	27	0	0	13	19
contig#1014	11	74	39	19	62	9	5	52	23	2	5	86
contig#10140	181	970	388	235	820	159	221	667	185	84	130	702
contig#10141	179	341	154	180	279	170	169	155	235	46	100	226
contig#10142	110	343	143	96	286	62	108	203	76	32	57	257
contig#10143	2	6	1	2	6	2	1	9	4	0	2	4
contig#10144	1	18	5	0	12	0	1	24	2	0	0	25
contig#10145	88	115	70	106	209	49	84	118	27	20	51	79
contig#10146	62	318	176	37	281	31	46	241	43	13	33	314
contig#10147	38	431	219	41	239	32	26	183	26	8	15	283
contig#10148	66	1468	821	176	1404	62	82	982	73	15	42	1179
contig#10149	499	979	540	544	871	197	379	559	215	110	189	724
contig#1015	114	633	250	150	538	109	123	374	104	33	57	396
contig#10151	78	511	390	96	480	65	78	292	61	18	53	368
contig#10152	83	508	344	15	93	11	2	171	54	0	77	333
contig#10153	220	680	272	225	714	147	247	495	178	85	115	489
contig#10154	42	140	78	44	164	22	37	91	28	17	24	117
contig#10155	202	1187	147	113	480	598	356	500	859	631	154	663
contig#10156	53	221	232	67	227	65	55	63	38	21	14	95
contig#10157	118	136	118	248	165	141	162	56	83	31	49	78
contig#10158	117	762	318	125	732	84	102	599	116	27	61	581
contig#10159	62	275	142	37	233	21	19	197	26	6	36	263
contig#1016	4830	19574	9563	6260	21549	7771	10894	11798	7467	4733	4562	15521
contig#10160	40	117	52	73	149	43	61	94	34	9	35	66
contig#10161	137	832	385	241	881	103	167	363	63	33	72	590
contig#10162	49	323	57	88	271	102	69	95	109	21	11	149
contig#10163	59	139	70	73	159	52	62	136	66	29	47	112
contig#10164	23	509	224	25	588	56	71	468	14	0	8	47
contig#10165	12	292	236	18	359	358	258	267	385	268	53	248
contig#10166	119	436	205	50	292	67	65	190	76	6	30	292
contig#10168	3	10	7	10	12	5	2	13	10	1	6	3
contig#10169	32	223	130	48	244	32	63	209	37	25	38	222
contig#1017	87	446	454	85	444	27	53	273	31	1	59	665
contig#10170	24	309	152	19	219	24	26	272	18	1	16	264
contig#10171	19	93	34	23	80	17	16	59	15	6	8	68
contig#10172	54	88	70	54	71	92	81	72	57	28	47	121
contig#10173	19	25	16	10	32	8	15	11	10	16	19	20
contig#10174	4	18	32	17	25	8	6	10	11	2	5	15
contig#10175	11	68	38	16	41	6	9	35	4	1	11	36
contig#10176	46	66	39	68	64	40	86	43	20	16	23	46
contig#10177	39	25	13	40	44	21	39	20	25	13	15	34
contig#10178	26	101	96	10	143	32	6	54	61	4	12	88
contig#1018	391	4197	866	541	3186	863	675	1555	899	237	185	2298
contig#10180	45	289	95	50	220	33	35	198	41	23	23	210
contig#10181	9	24	18	62	69	30	37	45	8	1	0	19
contig#10182	8	24	24	3	14	2	0	12	1	0	9	24
contig#10183	108	909	381	69	447	96	99	420	65	25	74	563
contig#10184	26	95	58	28	91	13	30	61	12	6	22	163
contig#10185	47	154	58	60	143	45	36	134	45	12	30	93
contig#10186	5	217	46	3	220	31	18	132	28	10	4	119
contig#10187	45	334	174	61	335	31	68	256	35	9	44	279
contig#10188	39	35	25	32	31	18	52	30	31	19	22	22
contig#10189	304	1151	715	298	1133	172	289	888	256	45	228	980
contig#1019	62	462	246	110	394	45	71	268	33	16	25	367
contig#10190	211	69	63	179	73	108	215	43	154	66	96	44
contig#10191	133	370	185	127	329	60	110	290	77	38	83	277
contig#10192	2	17	27	3	52	10	0	8	13	0	5	21
contig#10193	170	719	495	178	792	135	217	565	151	49	117	678
contig#10194	54	110	72	92	145	42	141	85	59	26	59	71
contig#10195	1	125	109	18	56	15	2	156	10	0	9	166
contig#10196	662	1293	816	602	1353	532	811	834	530	141	259	919
contig#10197	126	735	348	168	698	121	109	435	93	14	104	498
contig#10198	103	729	339	127	616	90	130	487	99	21	80	617
contig#10199	1	11	7	2	5	0	1	11	1	0	2	4
contig#102	20	17	41	17	45	8	11	26	18	1	2	24
contig#1020	1	29	192	3	88	6	9	68	10	0	9	111
contig#10200	42	121	94	49	116	25	51	98	23	16	14	96
contig#10201	140	186	92	183	158	71	169	59	43	62	71	69
contig#10202	28	97	34	26	27	45	32	23	69	5	9	72
contig#10203	191	388	220	248	467	122	262	377	125	92	148	319
contig#10204	1	12	12	0	13	10	3	13	9	4	5	8
contig#10205	260	228	256	479	238	143	605	245	137	91	204	266
contig#10206	65	200	164	106	200	41	91	166	39	23	58	177
contig#10207	11	97	84	23	107	13	17	53	9	1	19	74
contig#10208	3	17	7	2	19	2	3	9	0	2	4	16
contig#10209	130	288	179	134	349	86	158	321	73	62	103	273
contig#1021	377	3194	796	498	3709	1097	648	2197	964	378	262	2025
contig#10210	153	782	556	284	972	168	302	809	193	56	118	781
contig#10211	157	452	212	178	507	129	158	370	148	44	102	376
contig#10212	18	9	27	15	19	11	6	11	11	10	7	7
contig#10213	113	878	404	104	685	100	65	430	79	28	52	678
contig#10214	33	40	35	18	21	23	21	26	12	7	24	37
contig#10215	27	728	353	82	455	24	43	248	12	6	12	300
contig#10216	198	590	307	261	702	183	255	467	158	78	146	482
contig#10217	319	2067	1259	512	2418	363	565	2047	356	220	317	2107
contig#10218	22	67	20	21	61	17	29	30	14	4	11	48
contig#10219	228	612	295	220	697	175	270	484	164	75	140	493
contig#1022	343	1600	1488	411	1654	231	465	1356	337	71	214	1471
contig#10221	23	183	129	21	166	14	28	166	23	4	7	225
contig#10222	41	328	110	59	134	41	45	92	60	5	30	272
contig#10223	30	416	188	48	294	38	50	149	30	14	39	269
contig#10224	8	108	64	7	86	15	12	56	15	11	11	70
contig#10225	49	201	156	73	291	31	63	183	34	22	29	191
contig#10226	8	146	116	25	167	69	40	111	71	23	9	137
contig#10227	97	497	210	94	469	64	109	284	67	31	78	385
contig#10228	68	184	76	78	196	71	102	120	63	32	75	168
contig#10229	39	1033	158	64	675	174	57	315	306	49	13	503
contig#1023	3678	18414	11025	5198	17987	3859	5033	12671	3669	1658	2535	16723
contig#10230	176	1390	611	191	1004	95	146	742	123	31	101	938
contig#10231	19	100	50	15	86	12	15	63	16	0	6	74
contig#10232	30	209	62	51	193	82	50	60	33	9	22	88
contig#10233	32	110	61	34	128	11	22	79	21	2	15	92
contig#10234	3	21	9	1	8	2	1	6	1	0	0	13
contig#10235	39	87	58	27	75	18	24	62	48	6	15	65
contig#10236	161	482	274	179	471	135	156	301	209	25	111	567
contig#10237	1	0	1	0	1	0	2	6	1	0	0	2
contig#10238	64	174	152	13	48	4	0	62	19	0	36	147
contig#10239	3	32	20	5	25	2	4	20	4	0	6	14
contig#1024	73	819	338	111	701	73	107	562	107	26	63	622
contig#10240	3	79	64	3	78	0	3	79	5	3	2	61
contig#10241	238	426	227	310	326	219	246	178	273	61	122	227
contig#10242	13	280	96	10	225	155	86	222	115	16	13	192
contig#10243	230	802	408	273	830	178	302	548	196	131	187	618
contig#10244	50	94	94	65	170	16	79	150	28	10	48	84
contig#10245	38	965	523	72	662	28	49	525	25	12	34	720
contig#10246	50	240	86	74	274	34	62	211	48	19	31	188
contig#10247	110	222	160	174	216	82	140	171	75	35	75	166
contig#10248	1	117	34	79	173	15	0	66	13	4	0	0
contig#10249	37	63	37	38	78	20	54	47	28	7	40	39
contig#1025	531	3493	1800	439	2244	429	466	1817	620	188	297	2607
contig#10250	22	863	108	15	536	41	12	370	28	2	9	523
contig#10251	71	271	136	100	368	73	83	320	74	27	64	267
contig#10252	113	304	240	201	442	99	178	292	87	68	118	278
contig#10253	130	707	287	159	757	121	200	628	218	28	67	479
contig#10254	18	309	163	7	231	27	12	126	83	10	37	246
contig#10256	4	65	44	8	84	10	15	38	6	0	3	39
contig#10257	103	318	190	184	329	103	197	167	78	28	68	245
contig#10258	14	9	15	15	35	11	18	22	10	4	15	16
contig#10259	5	22	12	3	19	4	6	16	5	0	8	19
contig#1026	703	3807	3497	871	4050	908	943	2729	628	188	742	3396
contig#10260	22	17	10	14	18	6	15	24	8	3	11	6
contig#10261	28	586	402	62	581	96	47	455	52	10	64	548
contig#10262	5	229	264	43	262	103	13	168	240	1	44	207
contig#10263	9	14	8	6	28	8	13	21	8	3	8	14
contig#10264	106	153	63	111	187	79	95	127	69	27	51	138
contig#10265	69	172	102	81	139	47	88	75	78	16	49	104
contig#10266	40	675	447	52	677	40	61	590	62	25	40	779
contig#10267	281	510	440	378	689	267	382	383	226	110	233	499
contig#10268	244	361	219	375	408	118	261	217	157	57	150	258
contig#10269	19	28	17	34	27	20	34	19	19	26	20	20
contig#1027	92	723	294	160	807	162	180	469	142	55	88	522
contig#10270	124	399	206	127	456	95	142	325	99	31	66	343
contig#10272	259	579	323	376	755	197	314	521	237	80	165	406
contig#10273	429	1734	734	431	1167	392	393	760	507	90	209	1621
contig#10274	313	1420	629	407	1366	214	517	1020	309	147	213	1245
contig#10275	10	235	156	43	192	17	10	135	27	6	9	205
contig#10276	22	62	21	28	56	19	18	57	16	1	15	43
contig#10277	246	330	257	193	338	125	254	176	234	99	159	233
contig#10278	9	13	18	6	27	2	7	22	3	3	5	12
contig#10279	21	315	40	24	258	51	20	165	76	7	2	253
contig#1028	511	5876	3595	933	7461	566	727	6081	579	159	451	5210
contig#10280	70	502	299	78	335	275	189	356	265	63	70	282
contig#10281	315	1737	941	534	2047	317	574	1513	316	162	226	1536
contig#10282	33	362	159	29	316	22	13	278	32	20	24	337
contig#10283	1	19	18	4	17	1	6	13	4	0	0	11
contig#10284	12	93	91	10	67	5	8	30	3	1	10	60
contig#10285	31	1436	270	30	368	152	70	401	327	12	21	930
contig#10286	5855	2195	1931	3625	2195	4072	6817	1317	7884	6837	6101	1417
contig#10287	31	408	59	55	297	39	38	241	25	5	20	240
contig#10288	47	421	244	75	487	41	32	357	58	12	24	374
contig#10289	35	344	194	76	346	21	66	337	39	11	35	359
contig#1029	63	274	194	84	327	38	66	142	40	28	27	169
contig#10290	16	32	23	13	46	1	17	37	4	5	8	17
contig#10291	7	21	18	0	19	1	1	18	1	1	2	19
contig#10292	84	483	189	88	524	65	81	404	81	17	57	413
contig#10293	121	1932	663	92	1253	55	64	1191	83	13	87	1515
contig#10294	389	536	335	375	533	202	460	377	267	89	206	368
contig#10295	43	135	277	33	705	12	82	951	54	10	117	465
contig#10296	91	317	155	136	454	498	648	339	455	503	146	256
contig#10297	4	59	28	15	49	4	7	34	0	0	2	56
contig#10298	16	84	53	23	76	16	20	65	10	4	10	47
contig#10299	9	41	8	15	16	10	8	6	10	2	9	6
contig#103	45304	8588	12772	29122	13522	24337	46276	8078	42728	51540	35592	5703
contig#1030	2721	21815	8585	4302	13983	3558	3512	6255	1131	829	987	8836
contig#10300	22	50	24	12	62	11	14	38	23	3	11	56
contig#10301	192	1717	736	309	1626	246	357	1142	219	105	207	1690
contig#10302	145	8084	227	107	217	832	62	50	1098	15	18	6240
contig#10303	47	451	294	57	466	334	310	231	313	160	61	374
contig#10304	83	108	36	96	99	62	84	58	45	15	45	76
contig#10305	29	57	42	28	71	19	37	46	27	11	7	56
contig#10306	106	276	181	220	338	78	161	266	75	55	100	243
contig#10307	16	146	136	3	10	4	4	24	6	0	43	58
contig#10308	17	66	37	18	48	10	13	44	20	2	2	42
contig#10309	60	225	81	41	274	123	99	175	74	62	32	175
contig#1031	68	620	271	101	409	47	53	344	51	12	35	443
contig#10310	30	409	185	61	319	48	72	308	48	21	23	350
contig#10311	32	43	33	38	63	7	25	40	15	10	30	31
contig#10312	12	104	60	9	99	7	13	100	8	5	7	121
contig#10313	15	144	58	26	122	23	31	104	30	11	21	108
contig#10314	208	441	281	246	545	132	292	397	217	73	111	342
contig#10315	56	805	231	97	756	65	126	456	97	26	34	466
contig#10316	4	14	8	10	20	4	10	14	9	3	9	14
contig#10317	82	59	66	82	97	76	153	78	37	69	70	86
contig#10318	88	213	117	115	216	52	126	139	55	30	54	172
contig#10319	20	535	180	17	446	67	41	315	118	18	22	346
contig#1032	661	2048	1411	834	1810	585	720	1669	528	98	629	1672
contig#10320	51	446	179	52	420	23	41	316	30	4	24	500
contig#10321	10	158	66	9	75	42	23	67	24	7	5	118
contig#10322	4	29	19	0	22	0	1	36	4	0	2	30
contig#10323	472	1838	980	611	2059	332	669	1577	333	137	298	1539
contig#10324	46	429	187	47	427	48	73	320	47	7	16	408
contig#10325	9	169	72	22	126	37	16	107	18	1	17	149
contig#10326	16	22	11	16	18	4	19	15	5	1	18	22
contig#10327	17	22	8	15	31	7	18	21	8	1	17	19
contig#10328	204	543	264	364	478	208	256	373	205	45	82	314
contig#10329	445	108	268	333	578	86	545	171	121	33	75	93
contig#1033	9	94	19	14	64	9	2	47	6	0	4	28
contig#10330	157	1029	639	250	941	109	170	702	108	30	85	780
contig#10331	122	708	258	170	614	103	140	372	132	66	124	410
contig#10332	18	76	53	14	65	56	15	52	31	17	9	57
contig#10333	24	101	63	35	103	20	28	101	28	7	20	96
contig#10334	13	200	116	2	73	11	3	83	19	0	25	116
contig#10335	30	21	12	26	33	15	39	30	13	3	11	8
contig#10336	17	200	94	34	197	18	12	183	24	3	14	185
contig#10337	23	125	39	34	92	26	36	84	20	7	17	60
contig#10338	5	11	8	2	11	4	2	12	3	1	1	5
contig#10339	16	36	21	36	43	14	24	17	18	2	11	25
contig#1034	132	521	369	136	628	95	111	557	138	45	75	478
contig#10340	78	99	76	64	162	47	69	143	38	24	22	101
contig#10341	29	108	73	13	69	12	15	52	12	2	26	103
contig#10342	3	16	40	6	13	4	6	12	12	0	4	25
contig#10343	187	282	172	167	454	123	198	259	136	64	69	229
contig#10344	8	443	229	54	670	36	31	391	89	8	20	170
contig#10345	1	17	7	1	8	3	1	6	2	0	10	9
contig#10346	38	392	195	67	388	48	97	318	53	23	44	391
contig#10347	151	1067	600	203	947	147	190	813	146	62	105	943
contig#10348	71	185	126	99	193	53	77	146	71	25	58	174
contig#10349	59	149	103	88	128	39	85	82	36	9	21	78
contig#10350	16	0	0	5	115	0	15	1	2	4	1	0
contig#10351	27	98	60	27	85	24	17	73	30	6	13	74
contig#10352	60	1318	140	69	184	117	178	64	145	18	39	1100
contig#10353	17	11	16	21	21	7	10	26	16	7	5	18
contig#10354	6	130	53	21	78	16	9	28	14	1	4	75
contig#10355	24	81	45	35	116	22	23	81	28	9	10	92
contig#10356	170	3187	885	142	882	305	623	2082	771	164	73	2249
contig#10357	40	400	157	35	296	18	32	208	30	11	10	255
contig#10358	132	757	380	151	737	150	165	486	137	59	88	711
contig#10359	4	7	10	7	9	0	11	7	2	0	3	5
contig#1036	7	70	37	4	74	11	6	70	2	2	2	74
contig#10360	95	306	222	122	342	81	125	229	80	30	68	265
contig#10361	6	104	227	45	215	47	6	65	116	0	23	127
contig#10362	50	921	146	86	607	173	95	354	238	43	31	609
contig#10363	435	545	211	717	568	413	602	436	550	153	282	294
contig#10364	48	270	83	62	236	53	82	160	40	25	29	198
contig#10365	19	11	25	36	23	16	37	14	23	1	14	13
contig#10366	302	212	153	220	272	179	295	138	135	31	124	147
contig#10367	98	1750	565	155	1049	173	129	769	131	25	68	1066
contig#10368	104	989	344	125	1028	94	121	651	110	37	55	877
contig#10369	368	1595	696	522	1230	335	569	740	439	147	304	1193
contig#1037	13	5	1	8	1	6	4	2	5	3	4	6
contig#10370	121	1020	352	148	995	157	234	705	162	65	101	880
contig#10371	182	1976	913	252	1491	216	253	1103	207	56	120	1584
contig#10372	169	574	301	205	441	251	594	614	512	156	123	423
contig#10373	305	1513	494	458	1616	411	452	938	411	146	243	878
contig#10374	16	218	110	26	187	30	24	176	20	7	16	214
contig#10375	174	403	239	194	351	79	125	133	59	34	12	241
contig#10376	25	128	70	36	137	13	29	104	23	15	11	93
contig#10377	69	56	41	115	70	38	79	56	47	23	56	41
contig#10378	16	114	67	7	89	9	11	75	11	1	6	95
contig#10379	28	360	183	57	253	45	41	157	38	13	31	243
contig#1038	607	1489	954	774	1363	403	664	887	403	133	256	1037
contig#10380	106	563	357	121	661	93	162	510	123	32	84	662
contig#10381	66	435	245	93	401	87	79	317	79	48	40	396
contig#10382	56	207	176	90	280	39	106	302	46	26	71	214
contig#10383	61	506	297	77	588	62	60	577	85	34	50	535
contig#10384	42	415	266	72	461	136	82	330	117	54	33	343
contig#10385	105	525	353	116	612	77	161	508	98	26	80	495
contig#10386	47	326	168	82	366	36	90	228	47	14	46	276
contig#10387	54	259	144	36	205	40	54	131	55	17	30	165
contig#10388	288	286	193	246	285	111	188	240	119	97	134	198
contig#10389	62	643	331	95	551	102	137	382	92	54	67	466
contig#1039	40	304	144	52	313	47	41	159	45	13	14	185
contig#10390	3	21	9	0	12	0	0	8	6	0	1	17
contig#10391	38	126	77	40	162	21	20	75	27	12	19	84
contig#10392	139	427	314	193	517	143	156	307	140	34	110	326
contig#10393	4	48	22	4	33	2	3	32	3	0	2	39
contig#10394	10	55	46	11	86	7	12	57	5	1	9	57
contig#10395	402	1005	654	668	1169	318	508	497	224	84	247	707
contig#10396	46	229	148	71	139	39	27	128	29	5	71	173
contig#10397	93	126	113	100	110	31	81	71	77	12	35	88
contig#10398	122	1205	422	154	915	169	148	626	184	30	98	899
contig#10399	17	2	8	0	8	2	1	5	2	1	3	9
contig#104	2719	23738	10238	4118	14292	3482	1837	4883	1201	575	614	8729
contig#1040	598	3069	1724	857	2834	415	744	1918	391	171	422	2295
contig#10400	13	13	8	4	9	1	10	4	3	2	5	1
contig#10401	2	19	9	4	10	1	4	11	3	0	0	11
contig#10402	137	262	125	184	380	149	206	228	104	105	101	209
contig#10403	2	38	20	1	37	2	0	26	3	0	0	34
contig#10404	2	9	4	2	5	0	1	3	0	0	0	6
contig#10405	54	185	78	53	179	51	65	135	40	32	44	127
contig#10406	52	341	118	58	295	54	66	200	42	14	35	232
contig#10407	20	96	31	38	67	33	16	37	18	0	4	65
contig#10408	16	38	29	10	58	2	10	10	2	2	3	27
