Contig	SRR5004082_1_trimmed.fq.gz.sam_counts.txt	SRR5004093_1_trimmed.fq.gz.sam_counts.txt	SRR5004080_1_trimmed.fq.gz.sam_counts.txt	SRR5004085_1_trimmed.fq.gz.sam_counts.txt	SRR5004091_1_trimmed.fq.gz.sam_counts.txt	SRR5004078_1_trimmed.fq.gz.sam_counts.txt	SRR5004096_1_trimmed.fq.gz.sam_counts.txt	SRR5004097_1_trimmed.fq.gz.sam_counts.txt	SRR5004095_1_trimmed.fq.gz.sam_counts.txt	SRR5004083_1_trimmed.fq.gz.sam_counts.txt	SRR5004090_1_trimmed.fq.gz.sam_counts.txt	SRR5004094_1_trimmed.fq.gz.sam_counts.txt
contig#14961	342	1529	898	470	1762	548	570	1124	491	182	273	1310
contig#14962	4	42	23	5	21	3	1	10	10	0	4	36
contig#14963	28	28	17	19	24	10	23	29	17	6	20	22
contig#14964	66	588	177	25	262	140	40	239	310	31	11	365
contig#14965	9	95	53	6	102	9	12	80	9	2	7	93
contig#14966	7	106	84	22	70	6	16	45	13	3	9	101
contig#14967	78	247	315	68	415	363	301	261	143	197	84	272
contig#14968	63	545	175	75	534	205	166	390	194	96	49	291
contig#14969	148	203	164	132	307	51	163	223	62	33	77	156
contig#1497	334	1379	882	478	1748	189	506	1369	269	84	235	1345
contig#14970	17	127	57	15	74	11	7	48	10	3	14	91
contig#14971	7	18	11	7	23	5	5	31	0	0	2	19
contig#14972	214	312	217	188	342	143	207	258	156	34	125	221
contig#14973	34	83	29	17	99	19	13	66	12	5	26	116
contig#14974	62	2901	485	139	1997	308	155	1086	524	53	23	1892
contig#14975	37	91	47	48	122	35	53	83	58	7	23	62
contig#14977	70	242	120	89	210	59	66	164	76	10	33	167
contig#14978	30	29	23	50	52	32	46	54	48	30	44	35
contig#14979	46	136	230	16	140	50	41	109	23	4	27	126
contig#1498	2	6	12	4	4	0	1	6	0	1	1	0
contig#14981	11	102	99	19	111	3	16	100	22	8	15	169
contig#14982	53	89	53	74	163	36	81	137	43	2	23	64
contig#14983	4	63	42	9	36	25	13	29	4	2	4	37
contig#14984	15	116	66	11	132	8	17	114	14	4	8	126
contig#14985	3	43	42	6	28	7	3	35	3	0	7	50
contig#14986	7	3	10	1	3	1	0	1	0	1	0	0
contig#14987	40	74	50	50	66	24	30	44	30	6	24	58
contig#14988	4	71	20	6	43	6	5	25	13	8	3	20
contig#14989	66	129	50	15	63	47	72	72	59	41	6	51
contig#1499	11	28	27	4	49	2	10	45	4	2	11	47
contig#14990	7	58	29	13	34	4	0	24	12	0	16	32
contig#14991	26	61	26	15	77	13	10	37	16	6	10	63
contig#14992	1	4	3	3	4	1	1	12	1	1	0	5
contig#14993	49	49	31	64	96	30	64	58	27	15	24	32
contig#14994	62	306	135	97	359	56	85	279	80	24	42	251
contig#14996	215	420	213	292	505	164	217	345	189	68	90	317
contig#14997	35	60	32	45	72	20	36	46	28	11	31	27
contig#14998	247	439	288	299	639	136	389	563	234	91	109	374
contig#14999	9	17	14	0	18	1	10	9	3	1	1	12
contig#15	199	846	282	189	687	139	175	371	269	46	130	563
contig#150	106	1644	907	113	2672	157	192	1606	108	46	117	2293
contig#1500	1370	10332	3130	2315	11734	3450	3689	6252	3069	1319	1282	6483
contig#15000	7	91	54	22	113	14	13	111	11	1	7	61
