Contig	./SAMs/SRR5004095_trimmed_counts.txt	./SAMs/SRR5004082_trimmed_counts.txt	./SAMs/SRR5004080_trimmed_counts.txt	./SAMs/SRR5004093_trimmed_counts.txt	./SAMs/SRR5004085_trimmed_counts.txt	./SAMs/SRR5004091_trimmed_counts.txt	./SAMs/SRR5004083_trimmed_counts.txt	./SAMs/SRR5004097_trimmed_counts.txt	./SAMs/SRR5004090_trimmed_counts.txt	./SAMs/SRR5004096_trimmed_counts.txt	./SAMs/SRR5004094_trimmed_counts.txt	./SAMs/SRR5004078_trimmed_counts.txt
contig#10073	70	76	168	409	86	395	25	318	39	71	344	53
contig#10074	1	11	162	102	11	82	1	88	4	7	56	2
contig#10075	163	210	349	679	263	784	89	557	201	335	486	190
contig#10076	71	62	131	367	51	308	27	309	43	42	375	32
contig#10077	82	99	330	571	133	477	44	339	49	156	456	81
contig#10078	138	146	814	1241	236	1218	21	805	105	140	1006	119
contig#10079	32	40	52	94	58	62	9	46	15	19	78	15
contig#1008	2368	2145	5566	11556	3170	11776	1259	7094	1581	3492	8440	2769
contig#10080	279	774	286	367	789	664	208	212	450	685	117	388
contig#10081	46	54	422	673	32	555	4	708	57	35	973	22
contig#10082	257	279	608	1054	370	1243	80	867	184	278	1090	168
contig#10083	132	83	358	855	90	514	29	199	36	98	453	124
contig#10084	2	0	16	16	1	1	0	6	6	1	4	2
contig#10085	67	69	135	263	71	235	27	223	46	79	222	50
contig#10086	10	6	56	135	31	81	6	50	2	12	48	24
contig#10087	21	52	67	188	41	170	21	109	23	43	138	41
contig#10088	3	1	13	20	6	14	1	16	0	10	19	5
contig#10089	186	232	467	1061	340	647	51	311	108	283	722	254
contig#1009	1	3	46	106	7	64	1	54	2	3	164	7
contig#10090	124	119	392	787	211	730	39	603	70	120	767	101
contig#10091	24	26	49	63	44	73	20	18	6	33	20	25
contig#10092	7	9	26	53	17	70	4	33	10	9	39	5
contig#10093	429	286	700	2232	391	2100	131	1526	170	426	1775	311
contig#10094	353	26	157	1458	5	1822	74	1319	20	97	954	203
contig#10095	109	98	168	269	130	306	30	231	69	179	178	94
contig#10096	46	63	281	323	34	297	9	389	23	84	406	33
contig#10098	55	9	107	99	26	133	31	96	22	43	98	57
contig#10099	56	58	217	483	45	376	7	278	18	31	371	45
contig#101	26	17	25	66	21	57	6	48	10	25	56	32
contig#1010	866	1115	2245	4695	1621	4559	337	2740	797	1433	3480	941
contig#10100	16	13	28	62	27	58	7	60	11	17	55	19
contig#10101	262	212	541	1032	251	927	128	681	128	248	994	209
contig#10102	323	265	1192	2542	387	2200	104	1420	202	305	1680	328
contig#10103	24	16	26	46	16	13	14	11	2	42	12	13
contig#10104	111	18	109	100	14	155	42	90	17	83	73	93
contig#10105	2	15	45	15	9	4	1	9	3	34	4	2
contig#10106	13	22	82	227	13	173	2	123	9	16	126	20
contig#10107	10	33	13	11	28	14	21	13	17	24	6	14
contig#10108	84	87	188	400	116	459	39	367	67	127	346	74
contig#10109	359	177	245	1220	189	219	59	103	32	161	1313	500
contig#1011	54	32	380	645	71	510	13	378	33	68	544	52
contig#10110	1	3	14	35	2	30	1	36	4	0	26	3
contig#10111	5	3	11	25	6	43	2	22	5	10	18	7
contig#10112	9	11	42	121	12	44	2	47	9	7	82	17
contig#10113	9	26	115	138	13	74	0	63	56	4	105	17
