Contig	./SAMs/SRR5004095_trimmed_counts.txt	./SAMs/SRR5004082_trimmed_counts.txt	./SAMs/SRR5004080_trimmed_counts.txt	./SAMs/SRR5004093_trimmed_counts.txt	./SAMs/SRR5004085_trimmed_counts.txt	./SAMs/SRR5004091_trimmed_counts.txt	./SAMs/SRR5004083_trimmed_counts.txt	./SAMs/SRR5004097_trimmed_counts.txt	./SAMs/SRR5004090_trimmed_counts.txt	./SAMs/SRR5004096_trimmed_counts.txt	./SAMs/SRR5004094_trimmed_counts.txt	./SAMs/SRR5004078_trimmed_counts.txt
contig#1970	148	290	608	920	463	882	78	442	236	419	660	189
contig#19700	25	43	138	335	23	58	1	100	41	6	173	16
contig#19701	75	78	278	631	112	521	12	292	26	104	411	91
contig#19702	33	35	106	204	64	163	5	113	22	31	139	33
contig#19703	102	65	118	276	111	316	45	211	58	95	245	73
contig#19704	288	323	98	218	310	241	85	153	160	268	152	250
contig#19705	54	147	69	173	230	202	48	145	108	151	134	71
contig#19706	1	14	40	34	4	17	0	34	6	1	37	0
contig#19707	1	5	25	32	1	16	3	17	1	6	22	0
contig#19708	3	6	15	34	7	30	0	19	0	4	27	4
contig#19709	5	10	35	88	4	56	1	34	10	7	47	14
contig#1971	164	131	375	653	162	729	65	718	94	184	644	94
contig#19710	3	2	21	40	3	17	0	21	17	3	43	1
contig#19711	79	158	60	74	146	107	25	98	86	81	62	50
contig#19712	19	30	13	35	15	39	8	19	8	38	23	14
contig#19713	130	181	177	454	224	451	94	362	136	234	327	111
contig#19714	15	4	78	92	15	109	3	109	2	9	135	8
contig#19715	20	25	84	163	28	205	19	256	49	66	194	46
contig#19716	12	13	31	53	26	53	4	31	6	23	39	14
contig#19717	4	2	9	18	3	11	0	26	1	0	34	1
contig#19718	4	7	31	51	20	54	3	36	9	5	47	4
contig#19719	7	6	52	115	16	115	3	49	5	2	85	4
contig#1972	452	446	1183	2181	553	2187	133	1815	312	628	1839	381
contig#19720	8	39	93	134	6	15	0	14	27	6	46	7
contig#19721	30	49	38	29	29	40	11	38	23	28	34	25
contig#19722	41	84	161	252	104	317	22	151	62	103	221	68
contig#19723	77	20	97	518	34	328	5	236	6	19	408	66
contig#19724	14	20	46	62	24	72	8	58	16	24	54	13
contig#19725	58	58	134	212	70	226	17	182	40	69	186	25
contig#19726	21	45	48	83	38	70	21	63	42	95	79	54
contig#19727	19	3	46	113	15	58	0	56	6	15	80	11
contig#19728	1	3	32	65	18	52	4	15	0	0	37	7
contig#19729	1	5	21	57	8	27	2	10	1	4	22	3
contig#1973	410	427	1570	3193	550	3180	176	2366	269	571	2830	455
contig#19730	48	12	72	543	38	79	5	5	0	7	258	45
contig#19731	29	33	88	194	62	154	12	115	29	47	144	31
contig#19732	3	2	17	39	10	51	1	49	12	5	34	3
contig#19733	57	36	40	38	46	70	4	55	19	59	33	17
contig#19734	5	0	5	16	4	9	1	8	0	2	13	1
contig#19735	3	1	13	10	2	6	0	3	3	1	14	0
contig#19736	2	4	32	37	1	29	0	25	9	3	48	5
contig#19738	65	12	82	170	9	125	16	113	13	27	151	41
contig#19739	7	17	9	11	33	23	7	6	17	21	6	14
contig#1974	353	719	997	1803	900	1920	181	1114	612	868	1380	523
contig#19740	34	36	174	178	16	114	18	128	38	80	130	26
contig#19741	16	3	5	36	11	9	0	2	12	16	47	9
contig#19742	4	0	0	14	0	4	0	0	0	0	0	86
contig#19743	53	28	176	408	43	302	17	235	23	49	301	64
contig#19744	6	13	14	26	7	30	2	22	5	2	25	4
contig#19745	5	0	13	46	6	20	0	17	3	8	26	4
contig#19746	39	59	55	145	54	145	11	77	21	62	84	41
contig#19747	1	0	2	12	0	6	0	3	0	1	12	0
contig#19748	5	6	11	34	5	18	2	16	2	5	25	5
contig#19749	26	17	137	176	12	101	5	102	21	22	236	22
contig#1975	180	266	438	900	314	988	101	515	146	279	664	190
contig#19750	8	6	13	74	27	44	0	27	7	10	33	20
contig#19751	56	65	25	41	77	50	31	29	30	44	33	30
contig#19752	6	1	22	64	5	19	0	4	1	3	31	14
contig#19754	6	0	3	28	0	19	0	7	0	1	23	4
contig#19755	2	0	3	7	0	0	0	1	4	0	6	0
contig#19756	15	5	22	145	19	133	0	81	0	10	59	5
contig#19757	14	9	38	44	15	50	1	60	10	33	40	12
contig#19758	8	16	58	43	49	49	0	27	11	25	52	4
contig#19759	127	36	83	195	80	121	40	106	57	123	143	85
contig#1976	91	172	123	193	151	246	60	125	127	213	160	113
contig#19760	2	2	29	53	7	33	2	29	3	4	41	3
contig#19761	10	6	50	147	18	103	1	77	5	4	91	8
contig#19762	6	3	19	22	6	11	0	9	4	3	17	1
contig#19763	176	203	184	373	356	391	89	219	157	300	231	201
contig#19764	1	0	9	6	0	1	0	0	2	0	3	0
contig#19765	5	0	32	70	1	87	3	124	5	5	129	4
contig#19766	101	92	191	354	112	335	38	225	43	128	246	84
contig#19767	12	18	17	24	16	23	4	18	9	3	10	6
contig#19768	36	57	78	128	55	132	25	94	30	93	87	46
contig#19769	31	14	63	151	24	71	6	57	8	18	93	22
contig#1977	157	216	687	1429	226	1205	31	987	102	231	1274	110
contig#19770	14	240	46	17	152	29	62	23	67	48	12	17
contig#19771	160	206	153	254	304	281	84	135	112	279	151	176
contig#19772	6	3	23	21	3	11	0	17	2	5	28	2
contig#19773	23	30	37	64	42	32	5	27	16	33	42	21
contig#19774	3	3	5	11	18	14	6	9	3	9	10	2
contig#19775	47	18	36	117	34	51	8	14	7	41	72	89
contig#19776	22	70	234	564	77	484	19	197	11	26	341	47
contig#19777	110	133	132	315	162	240	25	164	57	113	196	84
contig#19778	2	1	6	10	3	6	0	2	0	0	8	0
contig#19779	22	20	22	58	19	49	7	28	18	28	30	13
contig#1978	59	63	214	412	74	380	21	301	40	69	355	46
contig#19780	3	3	6	2	6	3	1	3	2	4	1	2
contig#19781	63	71	97	143	79	151	29	97	46	75	103	78
contig#19782	11	29	12	25	11	36	7	16	15	47	27	13
contig#19783	64	34	84	191	57	205	24	155	29	58	184	25
contig#19784	16	15	78	206	16	150	3	122	9	14	178	8
contig#19785	1	0	15	24	2	11	0	5	0	0	26	0
contig#19786	24	26	60	90	20	87	10	87	10	33	74	9
contig#19787	89	85	54	56	158	121	23	35	67	71	19	64
contig#19788	13	20	45	57	11	57	6	44	10	23	46	22
contig#19789	123	233	120	241	286	257	77	176	104	224	163	137
contig#1979	162	248	285	675	248	731	100	451	196	303	563	165
contig#19790	12	6	21	51	5	38	0	25	2	1	56	5
contig#19791	25	86	171	302	96	258	13	103	46	101	175	48
contig#19793	7	0	3	12	6	9	1	12	5	9	11	10
contig#19794	4	5	6	17	11	15	2	14	1	15	13	5
contig#19795	12	0	9	25	0	16	0	18	0	2	37	3
contig#19796	1	19	53	61	9	50	0	41	0	7	29	4
contig#19797	28	101	63	97	147	105	41	30	31	117	46	88
contig#19798	7	2	12	11	2	18	1	7	5	4	8	6
contig#198	1872	253	1065	5822	191	4337	430	2724	84	418	3513	1039
contig#1980	290	232	471	1011	342	938	46	827	119	259	700	180
contig#19800	38	10	14	61	10	32	10	23	4	28	31	27
contig#19802	6	10	3	10	11	5	2	0	2	6	2	6
contig#19803	63	48	180	408	75	410	18	282	16	67	471	48
contig#19804	14	4	17	42	4	45	2	24	0	7	33	17
contig#19805	19	38	88	161	36	147	24	120	12	40	146	22
contig#19806	6	6	39	87	6	84	9	59	3	6	89	8
contig#19807	8	21	44	39	34	49	4	24	11	23	22	10
contig#19808	61	66	87	131	64	186	23	153	34	129	129	69
contig#19809	13	19	84	507	24	259	7	47	4	16	164	28
contig#1981	158	231	1426	2040	242	2115	39	2090	157	204	2447	113
contig#19810	32	24	43	124	26	115	12	93	9	13	67	22
contig#19812	49	22	65	197	28	147	13	77	17	19	141	30
contig#19813	27	22	74	162	32	171	5	134	14	32	126	22
contig#19814	17	18	29	33	34	42	3	28	22	18	24	14
contig#19815	44	29	142	342	40	295	11	170	28	42	257	59
contig#19816	49	41	107	202	60	234	31	188	27	66	147	42
contig#19818	1	0	7	14	1	7	0	7	0	0	9	5
contig#19819	43	36	70	129	43	163	25	114	26	69	114	45
contig#1982	41	39	158	351	30	227	23	152	24	27	402	36
contig#19820	69	47	86	143	12	100	19	80	27	26	111	28
contig#19821	9	7	33	40	15	17	1	32	7	9	45	11
contig#19822	128	44	93	315	33	235	20	189	20	42	286	65
contig#19823	18	24	55	36	17	56	14	45	14	29	38	7
contig#19824	28	40	39	37	17	50	8	24	13	24	54	16
contig#19825	3	14	18	16	3	32	1	11	10	18	19	4
contig#19826	48	42	188	370	66	361	21	233	39	64	307	48
contig#19827	70	109	79	109	136	147	29	88	56	168	67	79
contig#19828	10	11	25	54	4	42	2	26	5	3	33	1
contig#19829	4	2	48	16	0	9	0	0	14	0	7	3
contig#1983	121	139	307	1510	217	330	26	137	29	77	1076	231
contig#19830	57	65	86	331	104	345	24	164	29	91	159	77
contig#19831	28	20	75	179	40	148	13	114	14	35	155	21
contig#19832	2	1	23	69	7	41	0	40	8	4	32	17
contig#19833	1	1	12	17	1	14	1	9	0	2	17	0
contig#19834	1	0	16	49	2	27	0	29	2	2	127	0
contig#19835	28	24	88	102	38	106	9	68	28	42	71	25
contig#19836	5	3	3	8	2	18	1	9	4	4	7	4
contig#19837	51	39	124	238	48	254	11	229	15	37	190	31
contig#19838	22	4	11	79	6	20	3	2	1	8	46	13
contig#19839	7	9	13	19	3	10	3	9	1	7	11	10
contig#1984	401	438	1414	2974	579	2796	118	1949	291	635	2274	378
contig#19840	16	12	48	75	13	67	2	58	7	24	35	10
contig#19841	62	90	98	204	68	214	24	180	33	76	171	45
contig#19842	14	8	29	149	34	38	6	1	0	14	16	45
contig#19843	14	8	37	31	1	35	10	24	6	19	28	30
contig#19844	11	31	23	18	19	33	21	18	18	44	10	17
contig#19845	16	20	15	36	27	50	7	34	18	18	24	17
contig#19846	36	5	7	62	3	0	0	0	3	5	86	65
contig#19847	4	10	9	26	8	33	8	27	3	4	31	2
contig#19848	2	3	14	34	5	25	0	11	3	1	30	1
contig#19849	21	68	38	60	62	53	11	25	39	53	29	43
contig#1985	815	388	1285	4042	552	1676	106	1213	186	495	2115	499
contig#19850	72	32	78	73	44	29	6	0	6	5	31	110
contig#19851	15	16	11	24	18	43	4	32	10	11	17	6
contig#19852	27	5	42	82	27	36	6	3	1	6	35	52
contig#19853	30	28	85	232	55	181	14	110	17	42	117	40
contig#19854	5	11	5	11	11	11	0	11	9	6	8	5
contig#19855	9	5	31	16	7	49	11	31	1	16	24	8
contig#19856	7	12	57	57	5	52	4	73	6	4	94	3
contig#19857	13	22	17	18	16	28	4	21	8	15	33	8
contig#19858	29	31	49	30	26	33	5	35	17	42	24	15
contig#19859	32	29	188	397	51	338	13	273	22	29	333	50
contig#1986	382	33	272	309	48	429	357	294	40	521	197	483
contig#19860	31	34	139	345	44	348	4	261	36	32	194	38
contig#19861	28	28	52	83	31	96	5	59	9	33	58	19
contig#19862	104	134	107	250	180	254	41	163	89	133	183	62
contig#19863	2	4	8	8	5	14	2	4	0	1	8	0
contig#19864	55	57	60	47	95	50	16	41	68	85	48	72
contig#19865	14	15	22	44	16	38	9	30	13	28	22	12
contig#19866	44	55	188	315	82	308	16	158	16	50	206	43
contig#19867	61	59	163	216	98	310	23	173	73	85	202	44
contig#19868	2	0	4	7	4	6	0	7	1	0	4	1
contig#19869	10	3	24	47	6	70	6	54	3	4	69	6
contig#1987	177	133	247	400	233	448	25	379	80	184	314	116
contig#19870	23	21	80	148	17	119	8	69	18	23	79	34
contig#19871	117	75	158	370	62	411	23	295	44	61	290	88
contig#19872	38	43	201	291	22	330	19	283	30	46	387	28
contig#19873	13	22	25	86	11	84	4	67	8	18	71	11
contig#19874	1	6	40	97	16	78	3	19	0	4	79	2
contig#19875	47	47	53	159	74	127	18	81	35	71	98	41
contig#19876	58	51	86	214	91	227	24	177	58	78	167	56
contig#19877	25	56	69	85	53	87	15	44	30	66	69	37
contig#19878	43	83	70	141	93	222	21	140	40	94	133	34
contig#19879	20	27	65	148	31	78	0	46	36	17	74	18
contig#1988	145	131	206	248	151	320	57	318	94	186	378	112
contig#19880	8	12	36	68	11	53	2	55	12	23	44	11
contig#19881	2	0	5	26	0	15	0	11	1	1	14	2
contig#19882	6	2	16	20	3	11	0	19	1	1	19	1
contig#19883	41	94	50	44	78	81	27	63	43	73	28	20
contig#19884	84	101	129	202	122	203	30	107	49	107	128	80
contig#19885	9	9	10	21	13	30	8	16	8	16	18	5
contig#19886	4	5	19	72	5	53	3	40	4	4	58	8
contig#19887	21	13	2	16	9	3	6	0	0	17	41	18
contig#19888	17	28	46	108	35	109	9	91	9	14	99	6
contig#19889	5	13	88	86	15	69	4	22	5	48	28	5
contig#1989	627	182	1031	3180	376	973	47	408	54	291	1311	1412
contig#19890	6	3	31	35	0	43	8	12	2	4	51	13
contig#19891	139	195	448	717	263	719	49	499	136	200	625	132
contig#19892	15	17	67	227	23	264	4	141	14	17	120	30
contig#19893	233	71	91	83	8	196	56	103	20	112	231	151
contig#19894	39	47	63	102	60	101	12	89	36	69	60	22
contig#19895	28	28	55	209	21	119	4	87	6	18	118	23
contig#19896	7	17	66	53	49	21	7	27	8	56	20	5
contig#19897	78	25	87	99	29	231	291	304	19	600	83	32
contig#19898	2	3	19	28	13	26	1	19	3	2	14	6
contig#19899	22	15	56	104	14	82	1	57	11	12	114	8
contig#199	19	11	81	207	17	159	9	140	7	13	126	13
contig#1990	166	174	502	796	256	688	43	528	103	152	578	151
contig#19900	10	8	31	77	8	56	2	43	4	3	52	9
contig#19901	12	11	32	72	4	45	3	51	3	16	66	8
contig#19902	77	165	170	235	183	366	36	251	134	219	238	69
contig#19903	27	7	63	98	35	121	6	103	13	43	92	20
contig#19904	26	30	130	240	44	170	10	149	26	23	188	22
contig#19905	9	13	35	77	9	45	1	48	3	6	59	7
contig#19906	1	0	4	9	0	5	1	3	0	2	3	0
contig#19907	11	21	31	83	76	83	5	56	32	30	50	10
contig#19908	34	34	31	31	37	35	9	42	16	52	28	15
contig#19909	1	0	18	40	1	23	0	33	1	0	35	0
contig#1991	234	216	714	1422	256	1336	59	1021	143	287	1374	193
contig#19910	113	22	83	717	26	436	26	240	8	46	317	78
contig#19911	39	35	71	90	68	121	2	49	19	41	112	36
contig#19912	20	19	4	6	18	11	19	5	14	18	0	3
contig#19913	4	2	3	2	2	1	1	3	3	5	2	2
contig#19914	31	44	32	43	41	62	5	44	25	40	28	14
contig#19915	76	38	201	653	55	494	15	378	34	49	373	98
contig#19916	6	4	28	40	7	33	0	20	3	7	29	14
contig#19917	13	15	39	48	31	37	6	40	13	36	32	20
contig#19918	70	66	93	173	104	99	34	38	43	67	125	204
contig#1992	48	52	177	541	36	324	5	229	37	31	342	27
contig#19920	45	117	185	334	124	268	25	131	52	95	149	91
contig#19921	4	14	44	7	7	2	0	7	5	3	8	0
contig#19922	41	53	36	32	62	68	10	58	24	50	26	28
contig#19923	5	5	15	32	5	33	4	42	0	1	32	0
contig#19924	71	92	118	238	115	181	26	120	45	122	151	45
contig#19925	2	1	3	7	0	1	1	1	0	2	2	0
contig#19926	42	4	59	46	0	46	1	37	5	3	44	32
contig#19927	53	86	86	192	72	246	12	208	44	56	155	41
contig#19928	1	0	16	12	1	20	0	8	3	0	29	0
contig#19929	26	23	27	71	16	47	6	19	11	34	31	32
contig#1993	51	77	157	194	95	270	14	152	45	74	181	22
contig#19931	31	2	25	128	3	121	6	77	3	15	76	11
contig#19932	10	12	23	340	38	193	3	11	4	3	84	21
contig#19933	78	133	187	281	157	360	54	289	88	148	219	96
contig#19934	38	31	71	109	43	124	24	119	34	90	86	34
contig#19935	3	2	5	8	8	8	2	9	1	6	2	6
contig#19936	109	90	228	740	105	528	45	347	66	151	344	128
contig#19937	27	12	94	678	5	550	9	333	3	9	471	15
contig#19938	42	28	137	247	55	266	16	196	23	53	189	53
contig#19939	62	84	196	204	107	240	20	124	50	103	133	58
contig#1994	118	121	665	1057	180	920	27	590	100	136	839	96
contig#19940	29	26	31	57	39	59	10	53	15	58	32	43
contig#19941	9	12	24	77	19	65	6	54	18	21	73	15
contig#19942	8	11	41	64	5	38	1	78	5	4	60	6
contig#19943	41	20	62	267	21	230	8	91	8	28	321	46
contig#19944	37	57	121	361	83	259	7	190	21	44	223	49
contig#19945	30	25	21	64	31	19	3	18	11	45	29	48
contig#19946	30	44	63	99	71	128	24	93	44	84	118	41
contig#19947	14	62	122	83	54	119	12	71	9	69	164	17
contig#19948	259	88	144	393	117	315	41	209	45	142	261	211
contig#19949	21	15	86	178	23	156	9	106	35	20	142	17
contig#1995	197	239	1086	2375	286	1793	44	1152	170	193	1727	203
contig#19950	6	0	53	180	13	78	0	65	4	5	119	2
contig#19952	15	21	120	136	15	85	0	61	10	12	127	8
contig#19953	18	15	37	58	33	95	11	71	17	18	31	30
contig#19954	36	20	27	100	41	95	26	74	13	58	58	40
contig#19955	67	60	81	252	71	239	13	159	27	64	126	50
contig#19956	4	8	49	95	15	106	2	89	7	8	107	9
contig#19957	19	4	63	142	6	134	7	96	10	13	107	11
contig#19958	6	7	20	28	3	24	5	37	8	5	21	5
contig#19959	19	35	89	87	41	101	7	91	25	23	76	13
contig#1996	226	79	69	823	22	23	2	23	13	22	812	539
contig#19960	9	8	17	26	25	29	4	10	13	16	19	10
contig#19961	90	140	122	86	191	176	34	75	100	120	49	53
contig#19962	12	11	53	81	28	64	4	49	15	24	52	9
contig#19963	3	1	23	0	4	0	0	1	0	1	0	0
contig#19965	16	5	25	5	12	4	0	0	0	1	9	19
contig#19966	3	1	9	17	1	10	1	6	4	1	14	2
contig#19967	26	69	32	69	97	58	19	33	36	49	20	29
contig#19968	43	60	42	87	93	92	13	51	39	70	45	39
contig#19969	15	22	54	128	17	78	2	105	17	22	99	27
contig#1997	51	42	144	158	119	255	21	127	37	110	75	32
contig#19970	2	8	20	18	10	21	2	11	2	8	15	5
contig#19971	5	14	14	37	16	31	6	15	2	7	18	5
contig#19972	43	27	40	567	27	8	1	2	0	5	356	44
contig#19973	4	4	22	20	2	21	0	20	3	3	15	0
contig#19974	4	1	11	9	3	9	0	13	0	3	10	0
contig#19975	23	62	19	11	46	25	19	17	17	32	17	10
contig#19976	70	6	120	71	32	181	3	55	28	0	88	25
contig#19977	5	8	45	91	8	41	2	46	9	15	70	10
contig#19978	1	2	9	6	1	4	0	5	1	0	4	1
contig#19979	1	14	10	5	2	4	4	2	2	1	2	9
contig#1998	44	43	85	179	32	84	7	84	22	32	121	27
contig#19980	22	13	52	39	3	88	1	93	22	22	42	5
contig#19981	23	49	39	52	47	38	6	23	12	48	39	27
contig#19982	7	8	19	57	22	44	7	17	8	14	37	7
contig#19984	51	89	39	71	103	49	23	28	23	49	40	70
contig#19986	42	41	115	164	104	252	30	183	52	101	148	43
contig#19987	30	22	114	212	67	221	9	134	27	56	140	30
contig#19988	8	1	65	192	9	131	0	137	3	1	111	10
contig#19989	9	18	35	82	12	77	3	52	11	15	89	11
contig#1999	48	28	243	476	357	190	48	2	4	8	119	498
contig#19990	22	30	44	65	21	113	11	89	20	52	60	15
contig#19991	154	33	177	270	38	381	99	216	30	200	201	239
contig#19992	40	108	78	149	64	177	14	134	44	47	81	46
contig#19993	16	21	34	283	77	167	9	402	2	49	56	29
contig#19994	47	29	43	83	24	68	18	70	19	25	73	18
contig#19995	25	40	70	91	27	136	23	63	39	47	100	23
contig#19996	2	7	10	6	12	5	0	5	3	11	10	1
contig#19997	3	0	12	15	0	5	0	7	0	0	12	0
contig#19998	52	67	138	322	65	200	8	143	26	43	211	44
contig#19999	3	9	6	17	5	9	0	8	1	0	8	3
contig#2	56	38	101	325	87	225	35	31	7	54	180	96
contig#20	127806	126365	36417	30029	84328	39406	156850	26075	115573	156026	20205	79306
contig#200	468	713	8845	15508	1663	12672	163	6934	400	786	11579	681
contig#2000	8	16	25	49	24	28	9	47	5	24	21	9
contig#20000	28	14	90	247	16	137	3	150	12	24	187	19
contig#20001	46	73	95	272	91	209	41	185	34	68	170	49
contig#20002	48	76	62	32	55	66	20	39	42	39	39	17
contig#20003	1	0	13	15	0	14	0	4	0	0	7	4
contig#20004	20	27	63	134	24	111	13	69	8	24	124	39
contig#20006	31	2	62	83	6	127	44	88	5	42	50	36
contig#20007	25	14	109	345	13	158	3	116	9	18	284	20
contig#20008	3	4	16	22	11	10	1	6	1	7	4	6
contig#20009	3	9	29	69	11	81	1	51	2	8	62	3
contig#2001	73	74	238	340	87	344	15	160	39	81	243	77
contig#20010	3	0	10	12	0	9	2	8	1	2	21	2
contig#20011	8	10	33	49	18	47	6	31	8	14	49	4
contig#20012	23	45	93	154	62	142	12	106	25	60	126	33
contig#20013	10	10	12	14	19	38	5	24	5	19	19	12
contig#20014	105	30	124	419	33	130	9	107	38	99	555	112
contig#20015	76	69	98	168	78	200	35	103	34	77	101	80
contig#20016	140	11	179	161	24	227	123	200	28	117	180	134
contig#20017	9	16	8	12	13	2	1	6	7	8	5	7
contig#20018	2	2	11	14	3	16	3	12	6	5	21	2
contig#20019	5	14	18	52	8	49	0	47	4	5	43	6
contig#2002	26	23	98	197	29	89	10	75	20	30	110	30
contig#20020	9	17	16	49	11	30	2	28	7	6	54	5
contig#20021	4	8	35	128	9	107	2	20	3	4	50	38
contig#20022	8264	7257	5039	913	1101	1415	1866	430	2138	1798	719	6276
contig#20023	42	5	84	122	24	105	5	135	13	28	85	15
contig#20024	32	18	42	117	34	111	14	77	15	20	117	20
contig#20025	7	8	25	31	11	23	6	10	3	8	6	12
contig#20026	15	5	19	31	3	11	2	2	9	6	8	2
contig#20027	10	6	62	26	8	46	0	96	7	11	92	8
contig#20028	8	8	59	164	15	153	2	138	9	12	153	9
contig#20029	49	70	58	113	84	155	22	107	48	92	103	35
contig#2003	96	78	231	422	108	574	59	376	67	149	371	82
contig#20030	20	1	31	54	2	42	7	23	4	12	30	12
contig#20031	8	6	54	81	10	153	2	65	5	15	52	32
contig#20032	52	167	72	125	186	195	41	86	79	151	67	107
contig#20033	188	180	359	805	255	838	69	533	157	307	654	181
contig#20034	1	1	11	16	3	11	3	35	3	2	3	2
contig#20035	2	8	105	187	18	3	0	28	0	2	54	0
contig#20036	17	48	51	115	33	112	1	65	17	19	93	10
contig#20037	30	44	27	58	47	69	10	54	27	32	60	25
contig#20038	26	40	14	50	36	43	15	38	24	35	24	18
contig#20039	37	24	41	117	32	60	5	18	0	12	55	34
contig#2004	5503	3500	11094	27194	4871	26269	3069	15237	2582	6125	21304	5648
contig#20040	91	116	332	436	123	604	44	503	58	111	451	68
contig#20041	5	5	64	39	0	9	0	5	4	0	16	0
contig#20042	1	5	9	18	4	17	3	12	2	7	8	1
contig#20043	99	61	91	405	70	329	20	207	27	87	204	71
contig#20044	142	150	365	884	122	831	21	763	104	109	741	94
contig#20045	2	4	14	21	2	13	2	17	0	3	17	5
contig#20046	5	8	61	27	15	21	5	62	7	17	16	6
contig#20047	210	7	218	161	114	388	0	130	98	2	241	101
contig#20048	13	17	27	35	8	28	5	36	8	8	31	13
contig#20049	6	4	1	2	17	3	0	1	1	8	5	3
contig#2005	684	695	1793	4081	839	3853	204	2520	371	826	3318	529
contig#20050	1	17	184	79	9	109	1	101	16	12	145	3
contig#20051	3	0	14	5	7	36	1	47	4	4	31	3
contig#20052	73	97	100	179	89	181	17	136	35	73	169	51
contig#20053	2	3	17	11	5	0	0	0	22	12	0	0
contig#20054	6	0	32	36	5	35	5	27	2	8	28	15
contig#20055	99	47	81	149	75	241	98	165	28	183	108	83
contig#20056	44	74	107	186	77	158	21	90	46	93	114	45
contig#20057	2	2	28	21	1	37	1	15	5	14	53	1
contig#20058	3	3	115	89	6	91	2	74	9	8	50	7
contig#20059	325	52	174	1122	28	1301	123	789	30	109	722	217
contig#2006	1911	2807	10367	26217	3012	18652	625	19729	1750	2807	21435	2618
contig#20060	16	8	18	51	9	41	1	45	3	7	32	13
contig#20061	39	56	35	63	72	107	18	65	27	86	60	40
contig#20062	36	34	87	191	54	126	5	125	38	52	121	39
contig#20063	180	181	261	436	238	506	42	302	135	238	282	149
contig#20064	2	1	6	13	1	18	0	10	3	0	17	2
contig#20065	38	40	135	174	47	165	11	120	19	27	155	34
contig#20066	53	83	66	50	62	77	19	49	51	82	48	31
contig#20067	4	4	18	45	0	20	1	11	0	1	28	6
contig#20068	14	9	42	44	29	60	7	62	24	23	66	18
contig#20069	29	34	39	51	42	42	21	48	28	37	28	26
contig#2007	25	28	109	285	23	210	9	195	18	29	223	23
contig#20070	109	22	124	170	33	222	8	96	25	30	173	53
contig#20071	1	5	6	6	4	6	3	6	0	1	10	2
contig#20072	2	0	3	40	0	34	2	3	0	0	22	1
contig#20073	42	6	21	67	10	47	3	33	5	18	28	18
contig#20074	3	0	3	19	0	2	0	0	0	0	9	2
contig#20075	44	13	29	243	19	129	6	66	2	22	91	61
contig#20076	1	0	73	8	0	0	0	0	11	0	48	1
contig#20077	69	15	51	179	49	115	5	82	17	43	128	62
contig#20078	14	15	31	50	10	61	0	38	10	11	45	11
contig#20079	35	59	109	203	78	256	29	181	65	77	149	72
contig#2008	1	0	108	10	0	1	0	0	35	0	68	0
contig#20080	1	1	8	2	1	1	0	2	0	0	7	1
contig#20081	10	19	202	440	31	205	5	119	9	15	99	16
contig#20082	1	4	2	7	4	8	2	5	0	4	11	4
contig#20083	34	142	58	56	276	84	28	29	71	292	21	41
contig#20084	13	14	26	33	31	61	5	45	15	15	25	15
contig#20085	54	61	36	35	54	32	9	38	63	26	30	40
contig#20086	22	74	36	25	79	35	6	34	25	66	14	26
contig#20087	42	24	37	125	12	59	22	52	10	25	100	41
contig#20088	6	4	10	40	5	24	1	19	2	2	26	6
contig#20089	49	26	107	162	25	119	9	90	18	41	138	50
contig#2009	157	317	1079	3197	440	1848	97	463	71	276	979	377
contig#20090	9	10	15	33	2	23	1	19	10	3	22	4
contig#20091	50	54	87	146	48	103	15	96	33	49	158	36
contig#20092	1	1	11	41	2	28	1	13	3	2	19	4
contig#20093	21	23	9	14	18	20	4	18	8	20	12	14
contig#20094	60	47	176	439	72	441	30	412	31	78	376	40
contig#20095	12	14	62	119	11	94	1	99	10	4	128	4
contig#20096	6	4	11	17	1	25	1	17	3	7	17	4
contig#20097	60	65	135	180	65	224	32	157	50	64	164	44
contig#20098	33	40	50	76	33	115	8	59	17	32	66	37
contig#20099	4	7	15	28	3	27	0	7	4	2	15	3
contig#201	10428	6791	21212	53826	9073	51774	6639	31705	4926	11994	39849	10255
contig#2010	26	16	108	299	42	200	7	72	23	31	196	59
contig#20101	13	25	11	36	34	31	3	22	18	29	20	12
contig#20102	2	14	81	194	20	156	2	74	5	13	130	14
contig#20103	101	65	87	158	92	223	11	201	46	88	109	79
contig#20104	61	29	171	526	57	401	23	345	35	27	450	71
contig#20105	4	0	45	6	12	3	1	3	2	12	21	8
contig#20106	10	5	25	42	1	74	0	93	1	3	34	2
contig#20107	2	3	10	25	4	15	0	22	2	13	21	3
contig#20108	13	3	20	20	18	23	3	12	5	33	11	14
contig#20109	84	93	140	205	132	183	50	126	64	135	150	84
contig#2011	425	385	884	2047	607	1930	173	1310	269	652	1421	399
contig#20110	30	59	71	157	63	210	13	133	22	47	126	52
contig#20111	3	2	14	21	2	34	1	46	0	2	16	2
contig#20112	70	40	154	603	58	455	16	286	13	40	375	121
contig#20113	6	11	27	19	23	26	5	13	8	23	11	4
contig#20114	11	17	38	85	11	104	17	80	19	23	100	13
contig#20115	25	55	110	255	59	167	17	227	24	50	184	69
contig#20116	33	16	75	265	11	86	2	87	17	15	279	29
contig#20117	1	0	5	4	0	2	0	1	0	0	2	0
contig#20118	30	29	71	116	25	150	13	105	12	26	103	17
