"logFC"	"logCPM"	"PValue"	"FDR"
"contig#30258"	-5.23637645484544	3.63598244314051	4.4091347148913e-12	1.69615003347153e-07
"contig#18830"	-4.37791327478255	2.66814326907618	4.62599744621989e-11	8.89787478793165e-07
"contig#23006"	-5.55706215687907	1.17629959217086	6.98420341257584e-11	8.955844035946e-07
"contig#23350"	-2.95636523990077	3.03090460401843	6.94107389516445e-10	6.67540429182703e-06
"contig#11186"	-5.16909229024718	5.23374599713774	1.07492873313652e-09	7.40435936520591e-06
"contig#22638"	-4.56227273657475	1.76625617145931	1.15485601890445e-09	7.40435936520591e-06
"contig#26623"	-6.26616800298649	0.940095877364836	1.80324398180654e-09	9.90985610515941e-06
"contig#47100"	-3.56944604610068	0.959832410232093	2.44203240293115e-09	1.17428180635448e-05
"contig#29424"	-3.76143211074064	2.93767432322857	3.3941827208371e-09	1.4507868343098e-05
"contig#24502"	-5.86506223900064	5.52391663984475	4.69230586075217e-09	1.71876182916468e-05
"contig#10302"	-4.33072800722695	5.92454560159221	5.59188330017888e-09	1.71876182916468e-05
"contig#48183"	-4.72869259460564	0.118283700436295	5.71515480678686e-09	1.71876182916468e-05
"contig#24428"	-4.30257440495769	4.22753971781249	5.80828817467074e-09	1.71876182916468e-05
"contig#23665"	-5.50776085636204	4.4159228810224	6.51556357807544e-09	1.7903372520356e-05
"contig#36748"	-4.92919098539006	2.06138570389294	7.45462490303187e-09	1.91181310263155e-05
"contig#42921"	-4.05440238416592	2.53863673750699	8.42066950686667e-09	2.02459209537284e-05
"contig#51283"	-5.26210486921596	-0.16237581039654	1.10510391697708e-08	2.50072015189361e-05
"contig#56938"	-9.87747997593112	1.87179945415591	1.6113801353816e-08	3.44378791266638e-05
"contig#5533"	-3.48544477436943	3.11092901192526	2.39334232339011e-08	4.84576241255232e-05
"contig#9563"	-5.03525239144128	4.08962790186644	2.69324473862155e-08	5.18032159250162e-05
"contig#38785"	-6.74799153628779	4.5930080225965	4.24319805971795e-08	7.77293267425189e-05
"contig#50069"	-3.12857575904336	2.94209607721908	4.74836931402308e-08	8.302955415507e-05
"contig#58428"	-3.968753278995	0.529773853757496	6.33972163142629e-08	0.000106035978886669
"contig#1996"	-3.91594051465603	3.81509267819093	7.69220542997091e-08	0.000123296437785646
"contig#37085"	-3.39788011516893	2.94495868126771	8.38745492199463e-08	0.000124390520512725
"contig#44393"	-4.15732938319453	1.80027603130626	8.40716819603017e-08	0.000124390520512725
"contig#40310"	-4.87561531023634	2.0196269017933	8.80444535017341e-08	0.00012544378080586
"contig#9231"	-5.59516594842154	8.01249570877623	1.01035031732548e-07	0.00013881130841855
"contig#32563"	-3.42231537310952	2.63481671120138	1.18509756760006e-07	0.000157205235613816
"contig#55843"	-5.87327893480441	-0.625546907833101	1.35421300228963e-07	0.0001736507332836
"contig#20794"	-3.8342545487045	2.01612963445879	1.90008726852241e-07	0.000231182280054386
"contig#4342"	-4.25576754191621	4.58632967746187	1.92306349573432e-07	0.000231182280054386
"contig#22124"	-4.45141520517633	5.2040675521323	2.06540106935221e-07	0.000240769435566394
"contig#9502"	-3.86679363951822	0.232941119296222	2.44990255588105e-07	0.000271229941157419
"contig#46631"	-7.56483614506115	3.06357423692522	2.5113958105346e-07	0.000271229941157419
"contig#30197"	-4.25923766549607	2.45490651552101	2.53821983458553e-07	0.000271229941157419
"contig#25714"	-3.80495423999777	2.62116167275561	2.6157383894745e-07	0.000271959027309985
"contig#20842"	-4.46286840451284	4.4337272605329	2.73726709695204e-07	0.0002771050735596
"contig#52156"	-3.69159810693073	0.976557122806987	2.97598694000237e-07	0.000293546773320388
"contig#19066"	-2.92199462896602	4.33204216275091	3.36273689644842e-07	0.000323402814173686
"contig#26045"	-5.2744652702332	1.65483261615823	3.72492424541408e-07	0.000349497831211791
"contig#19484"	-4.07623085214822	5.13091977669326	3.85513509664851e-07	0.000353102838173742
"contig#23275"	-3.46608419967316	5.19945153805423	4.40882146877993e-07	0.000394425472284873
"contig#48711"	-3.4252131229148	1.95631859050733	5.02843330767822e-07	0.000439633638438803
"contig#20237"	-4.92806403972326	1.98836859677234	5.43294186092266e-07	0.000464444089884076
"contig#24688"	-4.34700978015894	3.89736737487955	5.71567273077436e-07	0.000477991770174259
"contig#36966"	-3.29978408017515	4.17586005662696	5.96634249831835e-07	0.000488338786314486
"contig#21059"	-3.16709254978246	2.6891608828358	6.92694087642924e-07	0.000545976042154073
"contig#3739"	-2.46961609714634	6.98982222149405	6.9757208372928e-07	0.000545976042154073
"contig#21946"	-2.96286633036685	3.34816074473728	7.09631186350143e-07	0.000545976042154073
"contig#11856"	-2.77951100241441	3.27310104387747	7.28817170579129e-07	0.00054974250460801
"contig#20746"	1.75645737891523	1.28385211592091	7.46430055962269e-07	0.000552200342746395
"contig#45384"	-2.49210516444261	0.647765631676733	7.64285284179327e-07	0.000554741332020651
"contig#13532"	-2.75985203627718	3.09497797375761	8.18055251394359e-07	0.000580174251278341
"contig#5897"	-3.55747787122082	6.28237135334316	8.29488258605858e-07	0.000580174251278341
"contig#59212"	-3.20634955978101	3.21203821024983	8.57797202248958e-07	0.000589260724523485
"contig#53740"	-5.20029256670522	0.961916001146905	9.0909125027153e-07	0.000613540900117464
"contig#10643"	-5.17759440136296	8.22753681796707	9.68465916429483e-07	0.000642343367915961
"contig#17071"	-3.05924607635334	2.63005252977135	1.0302047113597e-06	0.000671710932903324
"contig#49666"	-4.04553763333962	2.29674982486514	1.08815352589516e-06	0.000697477696210229
"contig#24659"	-5.50482110251556	4.17551472089006	1.1059850650868e-06	0.000697477696210229
"contig#9115"	-5.73741939026194	3.86128908201435	1.17699157548009e-06	0.000730285305115222
