"logFC"	"logCPM"	"F"	"PValue"
"contig#1"	-0.0724928661359303	3.08653347285522	0.0464750538882664	0.832580299343495
"contig#10"	0.25888827195923	3.39702849570483	1.53178541055807	0.236980231047462
"contig#100"	0.0740061213724694	4.46229442817	0.233427335292662	0.636750731557884
"contig#1000"	0.0798409380255623	5.99047529407013	0.128821713266679	0.725218994345732
"contig#10000"	0.14849529779854	2.44918569338268	0.0451069677907734	0.835022783178153
"contig#10001"	0.230171403970442	2.55342787461475	0.384681547189747	0.545572812265723
"contig#10002"	0.505469197433503	2.47505223407735	3.15433425068453	0.098302981807462
"contig#10004"	0.0885568556966731	2.53450197504451	0.0851156542059412	0.774933644606618
"contig#10005"	0.147024856794664	1.74854513581096	0.237053062435244	0.634167862531647
"contig#10006"	-0.160235739124355	3.94908568451229	0.423145757603249	0.526315097314207
"contig#10007"	0.591778695336595	1.60023995807378	0.303645511994287	0.590728690587802
"contig#10008"	0.646043170606485	1.08356870741516	0.653013998452307	0.433231344896884
"contig#10009"	0.484021554121315	1.79050326468726	1.61142505395598	0.226008070721486
"contig#1001"	0.109689516012342	4.2116225601102	0.0902633070107769	0.768480111041214
"contig#10010"	0.221926965688351	3.38659378394778	1.61213822939276	0.225684383863865
"contig#10011"	0.381408217841455	2.26144936539328	1.13747924391998	0.305116288423031
"contig#10012"	0.0335906816766176	5.99459251104362	0.0150113997403625	0.904308728499511
"contig#10013"	-0.241071154422747	5.29810773317208	0.282554172727798	0.603783464097264
"contig#10014"	-0.198029147286919	4.34007542561319	0.206687947537774	0.656695825759268
"contig#10015"	-0.585845493506534	6.82817001858313	2.92323897056075	0.11048895649254
"contig#10016"	0.127771745978108	0.620157426330717	0.154914736571267	0.700040389655751
"contig#10017"	0.244049643906194	1.27959263293258	0.325360406274179	0.577898663158237
"contig#10021"	0.294709667966348	1.80291042523167	0.309658970278262	0.58711626152473
"contig#10022"	0.17207709951215	5.22429581755415	0.306535444680697	0.588986791936835
"contig#10023"	0.228900968504547	4.44477289099699	0.202964625396558	0.659583564783277
"contig#10024"	-0.326593146529292	3.19962250277852	0.176006670090426	0.681514594385159
"contig#10025"	0.234706433563586	-0.188584879521648	0.195750729294976	0.665271393311886
"contig#10027"	-0.220733585320395	2.46698627197443	0.88332823144867	0.36383750701066
"contig#10028"	0.10717744962048	2.3699833532641	0.108427222366242	0.747031234004452
