"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"contig#5010"	6.51955603476667	6.51224926085879	50.3629335922033	6.04382737103107e-17	2.09064642298757e-14	28.0124744283696
"contig#4811"	5.86816800934284	5.75542050485384	50.3930523321582	5.99478526745162e-17	2.09064642298757e-14	27.9996592580571
"contig#1303"	6.75119485008922	6.60328854121508	50.3342975535708	6.09085447042268e-17	2.09064642298757e-14	27.999638489879
"contig#315"	9.59675588624603	9.44833796834508	53.3604628573448	2.74814801699701e-17	1.73039960106258e-14	27.9947370647779
"contig#7669"	6.24390796718371	6.14045079870357	50.2722066916909	6.19417587110425e-17	2.09064642298757e-14	27.9937996243931
"contig#4738"	6.54217147832404	6.42066579184488	50.1755796470797	6.35872414723237e-17	2.09064642298757e-14	27.9749374637532
"contig#316"	9.7023675972317	9.55349332814442	53.5545859207285	2.61538582535662e-17	1.73039960106258e-14	27.9748335619162
"contig#704"	7.9668329437809	7.84629370074215	50.6327729022263	5.61933752999648e-17	2.0774690848397e-14	27.9374598248051
"contig#1635"	7.29053170848401	7.20782691225183	50.1737681152757	6.36185346459566e-17	2.09064642298757e-14	27.9335806187272
"contig#61"	9.78735366972227	9.72011581512472	53.7238902081242	2.50520768433834e-17	1.73039960106258e-14	27.9284407692447
"contig#361"	8.42134242648307	8.48179165466759	51.0585992884248	5.01318074768987e-17	2.04822091600882e-14	27.9238883522777
"contig#3303"	6.94229273909613	6.89506186894598	49.8776432684166	6.89629294974523e-17	2.17443347221281e-14	27.8996421862422
"contig#6784"	6.42637449570666	6.40090994846729	49.7091357403191	7.22174958093859e-17	2.19628008585505e-14	27.8827690575228
"contig#3036"	5.87576082357817	5.80177504690688	49.785352730119	7.07254803758085e-17	2.17893417457803e-14	27.8794276709283
"contig#2120"	6.50295673795002	6.435108388611	49.6441525500371	7.35162728224404e-17	2.19628008585505e-14	27.8688516565707
"contig#3176"	8.22828480684058	8.14207874643778	50.3661421496597	6.03858248036115e-17	2.09064642298757e-14	27.8486163825567
"contig#153"	10.3399185153726	10.1882070706494	54.8474209970694	1.88912371539003e-17	1.73039960106258e-14	27.8182434185453
"contig#377"	9.14148803571377	8.96630010150066	51.1550063338417	4.88592913148784e-17	2.04822091600882e-14	27.7792063228437
"contig#3820"	6.30360451419209	6.4089967467698	49.1960807047259	8.31829096037135e-17	2.29591730756916e-14	27.7781207493971
"contig#2592"	8.3671597144036	8.23695570785362	50.0847099923671	6.51775172456252e-17	2.09531548919197e-14	27.7717727264136
"contig#1545"	7.0626158771865	6.98023614761771	49.1999160828235	8.30946041719837e-17	2.29591730756916e-14	27.754931230577
"contig#741"	6.91375829810632	6.82192288515385	49.1273575786691	8.47823648753851e-17	2.29591730756916e-14	27.7499575621504
"contig#64"	10.1528900137092	9.9978298048535	53.5878699988215	2.59332184294814e-17	1.73039960106258e-14	27.7499421167095
"contig#1821"	7.88595236108222	7.64918092568297	49.5523487436838	7.53939717816896e-17	2.20777436575767e-14	27.7469659661306
"contig#1911"	6.97335625330036	6.88160463302133	49.1209699488568	8.4932696775742e-17	2.29591730756916e-14	27.7453285053371
"contig#2450"	8.64723061937316	8.50290684326955	50.2243635196966	6.27507068768387e-17	2.09064642298757e-14	27.7447020707645
"contig#842"	8.21842171605864	8.09871215104588	49.8311864414762	6.98441911888751e-17	2.17443347221281e-14	27.7388357434202
"contig#1138"	9.82157437547876	9.59365334726785	52.267146171739	3.64436019985616e-17	1.87881748357085e-14	27.7228295495544
"contig#213"	9.37983429628193	9.25499270683126	51.3079211858383	4.69114332640051e-17	2.04822091600882e-14	27.7161981259
"contig#655"	9.08738099980826	8.91897795322816	50.4847723539916	5.8480493732512e-17	2.09064642298757e-14	27.681403764837
"contig#1096"	8.66887880768823	8.48707656252062	49.8507525695612	6.94715683625813e-17	2.17443347221281e-14	27.6656946661353
"contig#1052"	7.24010514448318	7.14895301621017	48.6032412297829	9.81220477690672e-17	2.5456646358052e-14	27.6183214663668
"contig#1175"	9.83685936353108	9.71110031402873	51.7799730841884	4.14059618536517e-17	1.94384559965651e-14	27.5837260832351
"contig#3210"	6.65310494149399	6.40035373366056	48.2454585027929	1.08511973338883e-16	2.76668114092311e-14	27.5764624649364
"contig#87"	8.61981227151179	8.80352317023432	49.4011442328761	7.85996718142223e-17	2.26723236097406e-14	27.5708898275764
"contig#335"	10.0773552970161	9.92701294409131	52.0364401596326	3.87090178248275e-17	1.90809651864516e-14	27.538883757651
"contig#1453"	7.12973997350122	6.95472709899258	48.1751356109445	1.10689607368743e-16	2.77436934537115e-14	27.5379972557189
"contig#2936"	8.39095354931683	8.24245794276317	48.8682400116766	9.11162523378812e-17	2.42779664787854e-14	27.5289607755262
"contig#874"	7.44204145163161	7.46987904253889	48.2457739202219	1.08502310201678e-16	2.76668114092311e-14	27.5249015146166
"contig#2004"	9.06033705009311	8.95882242427971	49.6664186455991	7.3068455290402e-17	2.19628008585505e-14	27.518686062854
"contig#2475"	6.42974530647172	6.32799813230365	47.9140622540663	1.19193340535348e-16	2.86606686152314e-14	27.5096360757246
"contig#5885"	5.77057777021392	5.70179991302497	48.0170119818758	1.15759189482048e-16	2.85307815676753e-14	27.5061590926363
"contig#2224"	7.24902546162624	7.18945962144531	48.0509477933705	1.14650555535592e-16	2.8494998575804e-14	27.5014419761444
"contig#983"	9.7614263785468	9.57421976309746	50.7836018362868	5.39609526860021e-17	2.04822091600882e-14	27.489257217066
"contig#5391"	5.58581623048128	5.52068087236776	47.9598891080365	1.1765136223471e-16	2.86606686152314e-14	27.4758979552762
"contig#4358"	6.51048885043796	6.35900741271411	47.7422520908887	1.25170238081985e-16	2.89681364315321e-14	27.4721213252104
"contig#22486"	10.3247756850607	10.2371219099685	52.5774115240838	3.3618511748206e-17	1.87881748357085e-14	27.4688111167774
"contig#5008"	5.9871327587138	6.11487733176566	47.7475587848652	1.24980894208601e-16	2.89681364315321e-14	27.4636979679035
"contig#723"	9.49883074234403	9.30708753929778	50.1180106504659	6.45898374821798e-17	2.09531548919197e-14	27.4630253976224
"contig#5035"	5.76621474065025	5.71445197545327	47.7675523232596	1.24270275311578e-16	2.89681364315321e-14	27.4518712866096
"contig#3001"	5.79640057630391	5.91049851260165	47.7517830147798	1.2483039247097e-16	2.89681364315321e-14	27.4518479978184
"contig#139"	9.08112176897636	8.9113215242224	49.3125195874119	8.0546328209378e-17	2.29061365684669e-14	27.4508202695188
"contig#4673"	6.01042221646491	5.98929255388162	47.467482176704	1.35407168039316e-16	3.0571010701762e-14	27.4043527407413
"contig#255"	9.81193752616723	9.68916772601609	50.4909526472637	5.83830150814983e-17	2.09064642298757e-14	27.3901544960635
"contig#1158"	6.08743102975609	6.03155088023985	47.2635846218739	1.43582915193518e-16	3.13060913993025e-14	27.3629278189693
"contig#803"	7.6803660310955	7.65729232889484	47.4925723098931	1.34436151761051e-16	3.0571010701762e-14	27.3455798043305
"contig#2418"	6.57004046298217	6.42028331942229	47.1569072094806	1.48070007609941e-16	3.16824288387174e-14	27.3436993613487
"contig#6392"	6.3509110429871	6.25029021619489	47.1375619829284	1.48899702751613e-16	3.16824288387174e-14	27.34117775654
"contig#2594"	7.61983111478685	7.22175396441538	47.427074028475	1.36986857375781e-16	3.06933582859554e-14	27.3319023310795
"contig#2500"	7.47094396620509	7.33666639839264	47.3332251780813	1.40732504208807e-16	3.12332826969621e-14	27.3274848541136
"contig#1134"	9.12609600495849	8.95257607033113	48.6456487355514	9.69631471047713e-17	2.5456646358052e-14	27.311211869989
"contig#1057"	6.60667452129597	6.49848165138108	47.0114825297685	1.54430767844408e-16	3.26246027840444e-14	27.3106793017793
"contig#119"	9.63854462627884	9.50033711393461	49.5578513029995	7.52799886635262e-17	2.20777436575767e-14	27.3025780314716
"contig#285"	7.739055735168	7.65637633563137	47.3141136706251	1.4150865165651e-16	3.12332826969621e-14	27.2933286355383
"contig#6101"	6.08816523368389	6.24695606941507	46.9197759441433	1.58592189733409e-16	3.30318493208119e-14	27.2878649820045
"contig#1296"	7.78257565942079	7.61271076882226	47.2545909863336	1.43955519012211e-16	3.13060913993025e-14	27.27772692658
"contig#2641"	5.72085705203055	5.59956327995323	46.9732651100046	1.56150569665644e-16	3.27539663009297e-14	27.2761465010328
"contig#715"	6.89544104401338	6.70688046438981	46.8485887492664	1.61905383198925e-16	3.32271954726089e-14	27.2654593519226
"contig#6734"	6.28632493188285	6.27174778944529	46.7969381471188	1.64355748658313e-16	3.32271954726089e-14	27.2654401221657
"contig#238"	5.86186107474813	5.77090528557205	46.7972333282545	1.64341632433586e-16	3.32271954726089e-14	27.2478771161521
"contig#2490"	5.85490931049297	6.02348099659795	46.7807441020267	1.65132180617831e-16	3.32271954726089e-14	27.2444276643862
"contig#247"	9.13674722317545	8.92602382300195	48.2132713516806	1.09502929853819e-16	2.76808431910817e-14	27.228724430089
"contig#7019"	5.77619926527063	5.6925615151568	46.6703524355307	1.70530928240925e-16	3.40785319841459e-14	27.2129686875676
"contig#5596"	5.93059154438281	5.9250125766345	46.6140720647086	1.7335593439709e-16	3.41811674381889e-14	27.2118418026035
"contig#1914"	5.74385976588555	5.72040377401498	46.6429748663606	1.71898933716131e-16	3.41213615005925e-14	27.2052454036101
"contig#789"	9.69803822103573	9.49589243492878	49.1015928039921	8.53904868246578e-17	2.29591730756916e-14	27.2019330832749
"contig#526"	7.65128476010181	7.61608586678376	46.7804287314324	1.65147340224287e-16	3.32271954726089e-14	27.186601901189
"contig#1915"	7.03096760295179	7.07805099772071	46.5140186008481	1.78502839620431e-16	3.49629138053899e-14	27.1834032394716
"contig#4335"	6.74147482695848	6.83371390551205	46.4033512988091	1.84387281472686e-16	3.54119366028321e-14	27.1713762396181
"contig#1439"	8.94806490444764	8.83944983339506	47.6323267765305	1.29162395637405e-16	2.96132326617976e-14	27.1635788014864
"contig#5346"	5.6506374468004	5.55422010787727	46.4471109499357	1.82035977518793e-16	3.51888632097767e-14	27.1541822223692
"contig#4364"	7.38328327775922	7.25557038856682	46.4654657404727	1.81059325530022e-16	3.51888632097767e-14	27.1505535033898
"contig#118"	6.74338247198143	6.76013324532727	46.2872324080694	1.90785959377598e-16	3.59006794204624e-14	27.1448985529474
"contig#1051"	6.40209859290868	6.26007898851315	46.2002510561904	1.95734922813372e-16	3.6409157717788e-14	27.1321001048789
"contig#7190"	7.20750277427445	6.98006558936422	46.2694356664885	1.91787508399819e-16	3.59006794204624e-14	27.1193437098301
"contig#2018"	6.73440568538402	6.78185482362991	46.1302432954413	1.99818148059267e-16	3.67277957464212e-14	27.109549487097
"contig#5162"	5.80393242249315	5.89586627100446	46.1283211890266	1.9993153621767e-16	3.67277957464212e-14	27.0945210225427
"contig#16"	10.0516873836132	9.95228483807365	49.3846745529434	7.89575781648391e-17	2.26723236097406e-14	27.0854486649407
"contig#126"	9.25452437845335	9.19253093914618	47.7366832093871	1.25369267758862e-16	2.89681364315321e-14	27.0695903548705
"contig#1711"	6.47427616919645	6.29703995414599	45.9094354935837	2.13306641960711e-16	3.79969731048508e-14	27.0657192387122
"contig#373"	8.97606625996346	8.77475867760157	47.1603068270077	1.47924714792707e-16	3.16824288387174e-14	27.0565441234018
"contig#3079"	6.95187221351542	6.91980699926914	45.934208331736	2.11745822888805e-16	3.79969731048508e-14	27.0552910861458
"contig#9258"	5.66511581095594	5.64014754775909	45.9383752210026	2.11484492627915e-16	3.79969731048508e-14	27.0405565311304
"contig#1525"	5.68538661001078	5.67701729276934	45.9019442285678	2.13781057598202e-16	3.79969731048508e-14	27.0321683932868
"contig#9014"	5.86150338231115	5.78878722549371	45.8291562551364	2.18450027595396e-16	3.80184478640659e-14	27.0303523162644
"contig#3387"	5.76972007414579	5.74690197998948	45.827979892017	2.18526377363105e-16	3.80184478640659e-14	27.0234501513208
"contig#1133"	7.47903765686211	7.40643387118784	45.7842508045564	2.21384942222403e-16	3.80679130881964e-14	26.9884113785235
"contig#6303"	5.8337937446226	5.82550470938711	45.6411938257788	2.31020247194628e-16	3.87853496948126e-14	26.9852448033582
"contig#1485"	5.60830976038244	5.5138247564859	45.7148999808913	2.26000955364432e-16	3.86370188199911e-14	26.984514436173
"contig#68"	10.2398066676625	10.0306491970745	49.2027941929751	8.3028404839287e-17	2.29591730756916e-14	26.9844430233429
"contig#2893"	6.08704009629787	6.08829548441788	45.5520031443748	2.37254435965895e-16	3.942155729285e-14	26.9778076064278
"contig#201"	10.0128496205236	9.90187698759556	48.6340413729933	9.72788834574414e-17	2.5456646358052e-14	26.9627764579558
"contig#3099"	5.54815532039199	5.56995600841917	45.6363353207292	2.31355279136612e-16	3.87853496948126e-14	26.9578909179811
"contig#4357"	7.99854972653101	7.86687022873355	45.8898593046167	2.14548772941239e-16	3.79969731048508e-14	26.9532234051367
"contig#1411"	7.04157749536185	6.88425772966112	45.4860695919546	2.41978928320994e-16	3.99350300413297e-14	26.9489101567239
"contig#298"	7.9951640551259	8.01519161900806	45.8319095369168	2.18271442535649e-16	3.80184478640659e-14	26.9398835756225
"contig#747"	6.96793119264971	6.89383052449934	45.4269215609757	2.46303122022923e-16	4.01562156769956e-14	26.9380205220157
"contig#1629"	7.94120965015328	7.85267259260915	45.8018606169182	2.20228996537546e-16	3.80679130881964e-14	26.9372832460156
"contig#357"	6.92514293290196	6.67398755882562	45.3903520351729	2.49018055067616e-16	4.01562156769956e-14	26.9322013886122
"contig#4795"	5.88222064425179	5.86449614385744	45.3087206227585	2.55194883316484e-16	4.01562156769956e-14	26.910963267257
"contig#91"	6.90702090686456	6.69804481869212	45.25872910967	2.59058589682458e-16	4.01562156769956e-14	26.9038785735877
"contig#6119"	5.39681350408203	5.31213795684578	45.4713797400834	2.43045219348098e-16	3.99350300413297e-14	26.9035825257604
"contig#12506"	5.61716500723262	5.52268817423086	45.337577694106	2.52992772634519e-16	4.01562156769956e-14	26.8966344017624
"contig#7935"	5.73271010389045	5.6729180304224	45.270776764561	2.58121755964599e-16	4.01562156769956e-14	26.8919704637718
"contig#137"	6.72038233870173	6.77258156448351	45.1415933517126	2.68359612719285e-16	4.0555766472249e-14	26.8829450219255
"contig#5671"	5.72144243718762	5.62317107488187	45.2148169768984	2.62504218674135e-16	4.02605746186984e-14	26.8787747784968
"contig#1458"	5.9201350474036	5.76159481440417	45.1366138802007	2.68762855983257e-16	4.0555766472249e-14	26.8738761642677
"contig#2011"	5.49657166030631	5.39504698795505	45.2759127482454	2.57723483731136e-16	4.01562156769956e-14	26.8717518356838
"contig#66"	9.99451379139427	9.80796509912523	47.9275975810789	1.18735661597613e-16	2.86606686152314e-14	26.8642208333924
"contig#5470"	5.32753246027913	5.33438684850236	45.3156976233603	2.54660583890708e-16	4.01562156769956e-14	26.858387257618
"contig#1163"	5.38938945643693	5.28462647698805	45.2120516088966	2.62722846274303e-16	4.02605746186984e-14	26.8466345752913
"contig#2216"	5.69371366292391	5.81728247081	45.0413709590146	2.76602154713489e-16	4.15268290751581e-14	26.8357985984119
"contig#2355"	5.75110688324517	5.76772376955788	45.0072814826844	2.79467309148674e-16	4.15353021878451e-14	26.8324176777815
"contig#5642"	8.02634545352284	7.83131724578969	45.3359932268335	2.53113154521021e-16	4.01562156769956e-14	26.8275360570613
"contig#458"	5.67007757036536	5.46116206413242	45.0089305567788	2.79327977461798e-16	4.15353021878451e-14	26.8260876869183
"contig#2131"	6.149035926221	6.00726905726736	44.8601031019612	2.92207865529196e-16	4.25249630624716e-14	26.8184227781879
"contig#1856"	5.8522358273603	5.90839603532709	44.8720675079283	2.91149252053563e-16	4.25249630624716e-14	26.8064276155754
"contig#551"	7.40880462615557	7.24777051489043	44.9612955194072	2.83382880355597e-16	4.19066603469857e-14	26.8031996202766
"contig#1089"	6.54830726730557	6.3454097816801	44.7862951069497	2.98830384851612e-16	4.26966544075906e-14	26.8028564337919
"contig#4496"	7.32940678894524	7.18517803887994	44.9295402750118	2.86121070269989e-16	4.21010784791303e-14	26.8000617558344
"contig#2609"	9.29283676622043	9.12112836791056	46.3227689812437	1.88802809116908e-16	3.57950761694979e-14	26.7995172388485
"contig#57"	5.77412748200661	5.95039207816735	44.8476368977964	2.93315271326217e-16	4.25249630624716e-14	26.7954173072088
"contig#4529"	6.73606747831713	6.68728243338643	44.7485567507247	3.02278546398388e-16	4.27883628330499e-14	26.7887192215813
"contig#916"	9.15117173292066	8.97390359390404	45.9918959523724	2.08158474221628e-16	3.79969731048508e-14	26.7621796501224
"contig#8627"	5.75209124445669	5.64609922841724	44.6419050556805	3.12256107003047e-16	4.36290122851365e-14	26.745647465767
"contig#331"	8.63705566042889	8.58112206818961	45.4022796670192	2.48129033515203e-16	4.01562156769956e-14	26.7360758443214
"contig#6696"	5.5382834772908	5.45962540170931	44.6734654386744	3.09267251561239e-16	4.35566106294057e-14	26.7350166424303
"contig#15793"	7.62951956548043	7.45934459279746	44.7476089321506	3.02365696243827e-16	4.27883628330499e-14	26.7331510348978
"contig#2726"	6.93700180155712	6.9501199068143	44.5480802369359	3.21325995595823e-16	4.42299437510341e-14	26.7326422525967
"contig#1265"	8.85438239911925	8.80332356193541	45.6388257842142	2.31183477138902e-16	3.87853496948126e-14	26.7321773193604
"contig#149"	6.65961589147739	6.44073816893618	44.4708592616038	3.29002827469147e-16	4.42299437510341e-14	26.7255708168645
"contig#1872"	7.85577340577322	7.82865797508838	44.8040739352131	2.97220570229672e-16	4.26727941024892e-14	26.7179687503554
"contig#956"	5.86420956391384	5.82629450724376	44.4815533295682	3.27928054949653e-16	4.42299437510341e-14	26.7152913787713
"contig#1463"	6.06334006898554	6.08594608888486	44.4258425435016	3.3356868811133e-16	4.44548849715725e-14	26.712174658072
"contig#6652"	5.12362588631349	5.12132208901824	44.8052131512707	2.9711773553155e-16	4.26727941024892e-14	26.7116979420139
"contig#713"	8.66792907914467	8.49254822157472	45.2552938424318	2.59326386066613e-16	4.01562156769956e-14	26.7106525886675
"contig#7604"	5.39644550032778	5.44378857648036	44.6065119050781	3.15644831038837e-16	4.3828692595327e-14	26.7019983547209
"contig#3220"	6.87202007885848	6.77716679121333	44.3865177228883	3.37612876317935e-16	4.44548849715725e-14	26.6986929605927
"contig#3841"	7.40088887271637	7.36003250667218	44.5014163585672	3.25941765587703e-16	4.42299437510341e-14	26.6937184689315
"contig#4017"	6.88991074198531	6.78929363617048	44.3664731143646	3.39694482133331e-16	4.44548849715725e-14	26.6927220106357
"contig#1475"	7.4666993377334	7.31366643651516	44.5027217816842	3.25811676841447e-16	4.42299437510341e-14	26.6924078992593
"contig#454"	9.10724927243814	8.97024419267541	45.625358901552	2.32114109277178e-16	3.87853496948126e-14	26.6841733696215
"contig#4733"	6.80848825551584	6.67427466147876	44.2901271382175	3.47749865582461e-16	4.51611334414383e-14	26.675839505871
"contig#581"	5.56154251873032	5.54659071271635	44.367658663707	3.39570982194405e-16	4.44548849715725e-14	26.6624989451753
"contig#4951"	7.50345313404071	7.29076609748368	44.2864305376467	3.48145064398429e-16	4.51611334414383e-14	26.6357021104242
"contig#4300"	7.28981223236951	7.23352613760714	44.2101546207697	3.56408070064006e-16	4.57964946145344e-14	26.6304521237882
"contig#477"	6.94306273017681	6.80164258596881	44.0590757053294	3.73402042636391e-16	4.71954650128799e-14	26.6166839489518
"contig#3291"	5.49501564883473	5.35520684372961	44.0083654352166	3.79299298804794e-16	4.75345595824177e-14	26.5698914820838
"contig#540"	8.53983391440909	8.3281754961975	44.5397413191351	3.2214566946566e-16	4.42299437510341e-14	26.5695215002345
"contig#3679"	5.29013495842999	5.17845914881003	44.0944799670856	3.69343104834446e-16	4.69560851271766e-14	26.5673728515884
