"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"contig#1023"	8.6534014497086	8.63731425432512	64.4929447802182	2.0706541186387e-18	1.73039960106258e-14	29.8913617452742
"contig#1143"	7.73408527398577	7.66039374536414	61.8366209474184	3.67702476157344e-18	1.73039960106258e-14	29.7892101144015
"contig#924"	8.73908008705208	8.65099955270355	63.0177127798141	2.84001777573895e-18	1.73039960106258e-14	29.6959551603716
"contig#3156"	7.24214463285833	7.15113231913924	59.2634620184332	6.56809414080287e-18	1.73039960106258e-14	29.4985128628757
"contig#969"	8.521329492332	8.42137337350643	60.4205484579253	5.04463058240863e-18	1.73039960106258e-14	29.4228786863513
"contig#1448"	8.49015559652478	8.36655226471086	60.3328744492013	5.14561033152065e-18	1.73039960106258e-14	29.4121843950068
"contig#960"	8.24050854382226	8.29768417432356	59.2630674060229	6.56869100992706e-18	1.73039960106258e-14	29.3228045592083
"contig#148"	6.63219721062167	6.47080506200265	56.4403719398847	1.27838684567807e-17	1.73039960106258e-14	29.1018091472241
"contig#1360"	7.37766725699333	7.24514588524229	56.6828639294791	1.20576277186291e-17	1.73039960106258e-14	29.0853886940653
"contig#1008"	8.09533343894021	7.96671688435026	57.290152341782	1.0426054741285e-17	1.73039960106258e-14	29.0646870533674
"contig#113"	7.05892700311335	7.03391832021488	56.2419088380736	1.34131718421913e-17	1.73039960106258e-14	29.0437116549583
"contig#610"	7.91241480771561	7.76026967079153	56.8389594757114	1.16136363912407e-17	1.73039960106258e-14	29.0280816145745
"contig#1948"	7.29231315421863	7.2266851398662	55.9069761610016	1.45518171598299e-17	1.73039960106258e-14	28.9676746142154
"contig#63"	8.39314309478716	8.30703193758872	57.1463563151063	1.07897344854048e-17	1.73039960106258e-14	28.9664559942849
"contig#2656"	7.10346056746788	6.97015355149416	55.7565228878082	1.50966698517327e-17	1.73039960106258e-14	28.9611484328604
"contig#681"	8.50347045680805	8.36201611630944	56.8588076722292	1.15584500867567e-17	1.73039960106258e-14	28.8971215002749
"contig#157"	6.80923256996842	6.70773221513796	55.2168379736982	1.72384539158259e-17	1.73039960106258e-14	28.8906242660227
"contig#346"	7.09414302067907	6.99648641133774	55.2925592217785	1.69192326012998e-17	1.73039960106258e-14	28.8818470765671
"contig#927"	8.85456221095786	8.70029578859316	57.3110039326836	1.03744193633561e-17	1.73039960106258e-14	28.8813865927069
"contig#520"	8.43944461876879	8.2239384149375	56.4131283610204	1.28683466356929e-17	1.73039960106258e-14	28.8587736973145
"contig#359"	7.21007884634046	7.05066953509392	55.1076677856195	1.77101112085392e-17	1.73039960106258e-14	28.8432224954847
"contig#780"	6.28177643757285	6.19950354345062	54.6181623448129	2.00018580672787e-17	1.73039960106258e-14	28.7991120186779
"contig#5325"	8.48762879000114	8.32599041613403	56.0674695552254	1.39937751206772e-17	1.73039960106258e-14	28.7858177396612
"contig#2272"	6.74355864334391	6.90347254360451	54.5617241476597	2.02858782309566e-17	1.73039960106258e-14	28.7811783211742
"contig#5502"	7.12874414745726	6.9885725754422	54.6485607393514	1.98506509443081e-17	1.73039960106258e-14	28.7728787898533
"contig#5773"	7.69667281312347	7.5418424501866	54.90545472279	1.86207173343773e-17	1.73039960106258e-14	28.7526178610182
"contig#1484"	7.72620104792027	7.59289222857361	54.7960858581458	1.91340474466393e-17	1.73039960106258e-14	28.7293121664796
"contig#1368"	8.09878452936242	7.83789014465989	55.0675350722018	1.78869639726431e-17	1.73039960106258e-14	28.7060959885592
"contig#5573"	6.63468341863457	6.45253080859441	54.0093225987113	2.33057124921165e-17	1.73039960106258e-14	28.6897966945765
"contig#2672"	7.40155373551308	7.25196201731624	54.3313378387867	2.14909565857733e-17	1.73039960106258e-14	28.689473096938
"contig#19"	7.74879605810917	7.63386650436123	54.2292325779704	2.20493958443772e-17	1.73039960106258e-14	28.6254773597947
"contig#641"	8.06207271037524	7.96128424162749	54.4224280258004	2.1005556150503e-17	1.73039960106258e-14	28.6079798699705
"contig#1845"	6.53875863087067	6.4511177466786	53.4957103708512	2.65490903066024e-17	1.73039960106258e-14	28.6008315566969
"contig#2522"	7.56216096950561	7.44253131064173	53.9088845149778	2.39048533509784e-17	1.73039960106258e-14	28.5976443190271
"contig#2453"	7.23315100252454	7.22320407684259	53.3580776638125	2.74982354780704e-17	1.73039960106258e-14	28.5340243204065
"contig#145"	7.00203938278664	6.98103850463912	52.8826376718588	3.10673473569233e-17	1.87881748357085e-14	28.468358711712
"contig#6794"	6.43151699778886	6.33733217863458	52.6632613913422	3.28789837124191e-17	1.87881748357085e-14	28.4516278145842
"contig#485"	9.10097528055711	8.86240143788727	55.1155953026584	1.76753993980084e-17	1.73039960106258e-14	28.4513569414849
"contig#1278"	8.3122810539609	8.19061463379679	53.7532494998184	2.4866133746619e-17	1.73039960106258e-14	28.4476735596106
"contig#1921"	5.77375114221012	5.70041223904515	52.7916962178845	3.18050135203765e-17	1.87881748357085e-14	28.4447695119947
"contig#1789"	8.32453845965739	8.07567430127022	53.6618824703086	2.54497143144403e-17	1.73039960106258e-14	28.4276455759675
"contig#1010"	6.67984501121322	6.64094164337889	52.4835343725479	3.44476612847359e-17	1.87881748357085e-14	28.4132171080162
"contig#4919"	6.3363633194202	6.33445837332962	52.2737764061961	3.63806364952601e-17	1.87881748357085e-14	28.3795078319679
"contig#2197"	7.23683943608815	7.05596827711875	52.313244767372	3.60082231049348e-17	1.87881748357085e-14	28.3479462521515
"contig#2324"	6.31599875927311	6.28107919390871	52.0965802104628	3.810427442202e-17	1.90809651864516e-14	28.3462776547406
"contig#1751"	6.38867654749578	6.37869668058407	51.8672699607143	4.04660083532956e-17	1.93035913396302e-14	28.303525480555
"contig#1103"	8.24323112610432	8.12904052330511	52.815179698081	3.16127464779516e-17	1.87881748357085e-14	28.2962295348961
"contig#1868"	7.26589352431672	7.13325415844852	51.9385203851771	3.97157954192552e-17	1.92563010708179e-14	28.2737151819612
"contig#694"	8.08360483035849	8.03670995694902	52.5213521166634	3.41110355234006e-17	1.87881748357085e-14	28.2639669791516
"contig#332"	6.84969641086778	6.77262010446946	51.6310641867124	4.3063788874124e-17	1.99008534334545e-14	28.2470282618874
"contig#67"	9.74890270690838	9.60101731162218	55.4651235448233	1.62151928877156e-17	1.73039960106258e-14	28.2430363907876
"contig#2971"	5.83891271860845	5.86416434896879	51.5507768500192	4.39870639668856e-17	2.0014790828994e-14	28.2209274939387
"contig#348"	9.34439134150566	9.2055009638976	53.785927677516	2.46609103620186e-17	1.73039960106258e-14	28.1556273419618
"contig#1713"	6.28223445398158	6.36682890485806	50.9666372393418	5.1378828868404e-17	2.04822091600882e-14	28.1308379172154
"contig#2804"	6.99334204428085	6.89491093298358	51.0480405416822	5.02733218175477e-17	2.04822091600882e-14	28.1277142070655
"contig#493"	7.26860326851339	7.14729073325928	51.1124937865319	4.94161087373296e-17	2.04822091600882e-14	28.1202224384891
"contig#1082"	7.12105953276247	7.00962535676272	51.0441624968442	5.03254051238106e-17	2.04822091600882e-14	28.1184018420824
"contig#7373"	6.58302239902986	6.52114938129974	50.8865762808449	5.24915778766768e-17	2.04822091600882e-14	28.1137259978194
"contig#7903"	6.04223235077984	5.97744493261949	50.907672518418	5.21958796932944e-17	2.04822091600882e-14	28.1113131444454
"contig#5259"	6.60058581957951	6.59674663945318	50.8372125135175	5.31905363706976e-17	2.04822091600882e-14	28.1038652931573
"contig#532"	6.57886898357452	6.49068130732262	50.7797208983234	5.40171867218987e-17	2.04822091600882e-14	28.0930859075585
"contig#490"	6.19954188353535	6.1014183145938	50.7808609406405	5.40006612128507e-17	2.04822091600882e-14	28.09293389726
"contig#209"	6.10185032927208	6.13176091681277	50.7063481813682	5.50922571431218e-17	2.06254252818351e-14	28.0745900843977
"contig#590"	10.0689289260595	9.96495716679797	55.4757950858464	1.61726987164308e-17	1.73039960106258e-14	28.0741982209289
"contig#351"	8.79579011324242	8.7009475891206	52.2252136586471	3.68445408598558e-17	1.87881748357085e-14	28.06532663663
"contig#120"	10.0163075263104	9.95638790195398	55.3214171473217	1.6799248921453e-17	1.73039960106258e-14	28.0533471733938
