	logFC	AveExpr	t	P.Value	adj.P.Val	B
contig#23317	2.524430089	1.98140603	4.44380806	0.000571507	0.269752158	-0.060570085
contig#11046	1.700545007	4.299542097	4.420498576	0.000597498	0.269752158	-0.072915552
contig#11856	2.703963754	2.381541849	4.419586891	0.000598538	0.269752158	-0.086675049
contig#39520	4.03519997	2.383212809	4.424558749	0.000592884	0.269752158	-0.095427361
contig#26134	3.372551061	1.416081607	4.44755778	0.000567436	0.269752158	-0.116331878
contig#11097	3.162180522	1.531311051	4.435264719	0.000580895	0.269752158	-0.117697384
contig#23552	1.017867329	3.905908771	4.387752159	0.000636081	0.271895073	-0.127615298
contig#42404	3.410999601	1.156336544	4.437027917	0.000578945	0.269752158	-0.162893948
contig#15668	2.955212285	-0.072567218	4.563625549	0.000455142	0.264821522	-0.18598215
contig#30826	1.681128613	1.131522584	4.391864722	0.000631098	0.271895073	-0.191880402
contig#55843	2.541293041	1.708906941	4.371963902	0.00065559	0.274669036	-0.195920204
contig#13006	2.349754715	0.997798539	4.399373983	0.000622102	0.271895073	-0.206876391
contig#11415	3.670517168	2.439291167	4.351622175	0.000681637	0.281954825	-0.209166368
contig#45384	2.338160736	-0.640566168	4.629894752	0.000401571	0.248512382	-0.211001955
contig#55593	3.862436011	0.366913343	4.508597986	0.000505208	0.269752158	-0.223989385
contig#25917	2.464027903	1.252883807	4.337446127	0.000700416	0.281954825	-0.282089716
contig#11186	4.441194713	4.212854115	4.292913256	0.000762942	0.294972861	-0.289905021
contig#41469	2.639257066	0.301363599	4.389306268	0.000634193	0.271895073	-0.316959512
contig#21578	2.931841013	0.922936962	4.341728856	0.000694687	0.281954825	-0.321575358
contig#3243	3.460816473	4.475252334	4.266330598	0.000802969	0.294972861	-0.342610749
contig#31933	3.60347134	0.600301727	4.371781461	0.000655819	0.274669036	-0.367526929
contig#50151	-0.999692924	3.411601677	-4.243170472	0.000839599	0.294972861	-0.378169692
contig#43397	2.052082194	0.994017118	4.278012265	0.00078512	0.294972861	-0.39248223
contig#5237	-0.815015233	5.664125728	-4.255478346	0.000819924	0.294972861	-0.393677101
contig#7243	1.7277869	6.68236821	4.257347384	0.000816978	0.294972861	-0.402809046
contig#9231	5.190790506	5.495037167	4.230524088	0.00086032	0.296805212	-0.411985483
contig#48346	2.315570507	1.41482495	4.238874011	0.000846581	0.294972861	-0.428995845
contig#56911	1.658115927	1.932030396	4.199473137	0.00091345	0.296805212	-0.464979851
