"logFC"	"logCPM"	"PValue"
"contig#1"	-0.0719904839233465	3.08653347285522	0.850026036969893
"contig#10"	0.262486771542127	3.39702849570483	0.331765795339587
"contig#100"	0.0722269899230954	4.46229442817	0.743912915136026
"contig#1000"	0.0795660344077573	5.99047529407013	0.774808439212187
"contig#10000"	0.144610600607915	2.44918569338268	0.842343164207353
"contig#10001"	0.227007501075858	2.55342787461475	0.570400696650473
"contig#10002"	0.483226544987231	2.47505223407735	0.127302987371075
"contig#10004"	0.101059564360555	2.53450197504451	0.806863389348473
"contig#10005"	0.146955875278175	1.74854513581096	0.671649407127005
"contig#10006"	-0.156167747206685	3.94908568451229	0.590615911578005
"contig#10007"	0.602237272226036	1.60023995807378	0.606141925528391
"contig#10008"	0.643759038165243	1.08356870741516	0.44628979613061
"contig#10009"	0.498436613065041	1.79050326468726	0.250148326447507
"contig#1001"	0.109980199920406	4.2116225601102	0.78560081315267
"contig#10010"	0.21686116620707	3.38659378394778	0.359519067029951
"contig#10011"	0.374310811747424	2.26144936539328	0.331318535682524
"contig#10012"	0.0338121564461132	5.99459251104362	0.916730656502341
"contig#10013"	-0.240096119200447	5.29810773317208	0.615673100783897
"contig#10014"	-0.19880259483339	4.34007542561319	0.660940457661598
"contig#10015"	-0.586255098554483	6.82817001858313	0.121022976534444
"contig#10016"	0.139905616518569	0.620157426330717	0.718358135964146
"contig#10017"	0.246213695278001	1.27959263293258	0.612677545334064
"contig#10021"	0.294355673644343	1.80291042523167	0.596346036108913
"contig#10022"	0.172548015832448	5.22429581755415	0.623100921964973
"contig#10023"	0.22842056966457	4.44477289099699	0.663752746984381
"contig#10024"	-0.317903120126296	3.19962250277852	0.681816475947411
"contig#10025"	0.234908399145454	-0.188584879521648	0.670481001500289
"contig#10027"	-0.207989841836227	2.46698627197443	0.446590571294267
"contig#10028"	0.114748620287711	2.3699833532641	0.777355393887994
"contig#10029"	0.927638782298253	2.45262064241254	0.291049174409871
"contig#1003"	-0.192838184129955	4.32507757052395	0.751923247596557
"contig#10030"	0.224733990517833	2.63497954411665	0.733928186233144
"contig#10031"	-0.0328496819124632	3.37558582204856	0.959494656980621
"contig#10032"	0.558928094373425	2.62327104094466	0.0826932723942673
"contig#10033"	-0.0176395781164246	0.0923794452483073	0.920150984097765
"contig#10034"	-0.728738888936638	3.02676945349186	0.0622490068320225
"contig#10035"	-0.0121380368212748	4.41477724862724	0.986196263469928
"contig#10037"	0.20134283544262	4.07260841266342	0.537653181196812
"contig#10038"	-0.138676457286006	3.14660014076868	0.666948716566503
"contig#10039"	0.241491169584451	1.54935271557675	0.664033694171811
"contig#1004"	0.651089741299517	2.71269421532679	0.0265060091545522
"contig#10040"	0.213993453277348	3.20340392282709	0.720826233610411
"contig#10041"	-0.0788896856172931	2.20266600277875	0.884468401261972
"contig#10042"	0.317778617485186	0.472991600742072	0.486446346839202
"contig#10043"	-0.150736287961867	4.13948818868103	0.529612597763503
"contig#10044"	0.464852589495982	3.41148258775612	0.0523896881099687
"contig#10045"	-0.151769069601464	4.68551820158351	0.519181638627015
"contig#10046"	-0.268575312713458	5.1259478873493	0.530832913676825
"contig#10048"	0.126626489357707	0.839499996869124	0.765689239430786
"contig#10049"	-0.133323166913001	-0.268964622211887	0.86134890124525
"contig#1005"	0.309179652150858	3.65821223994666	0.195092958784976
"contig#10050"	-0.404820712336329	4.07716139047389	0.182201855388966
"contig#10051"	-0.162932199563648	1.27614883017254	0.799165337650211
"contig#10052"	0.104523831561335	0.255657931256255	0.838339649690804
"contig#10053"	0.459217654431265	4.39996617470282	0.15885924855993
"contig#10054"	-0.10726154299782	2.69353155845584	0.6898484682401
"contig#10055"	-0.451100901771347	1.27905730682336	0.16722101129998
"contig#10056"	0.648988605232646	4.04350090951386	0.0451907508282422
"contig#10057"	0.329704015454369	3.92825616385611	0.330067019601592
"contig#10058"	0.0446921026038291	3.6054247659986	0.948497575153097
"contig#10059"	0.265362101087436	2.47715699262211	0.319084177566208
"contig#1006"	0.232316177519051	4.44780131844699	0.558968820302621
"contig#10060"	-1.90335455051482	1.16210318447767	0.0406247839055301
"contig#10061"	-0.590248605625496	1.6445612781226	0.0711675008962016
"contig#10062"	0.2199792034029	3.19047847398439	0.556574705396165
"contig#10063"	-0.184990994481973	2.81990290417535	0.697945640490089
"contig#10064"	-0.502679502583639	0.526360221026685	0.205365833662795
"contig#10065"	-0.144010514601444	0.735460782676981	0.76354299738196
"contig#10067"	0.530493134859349	1.65261099345155	0.126385129485482
"contig#10068"	0.0658324766524054	3.19391861793842	0.89268766249706
"contig#10069"	0.0715607832951354	2.1733230532719	0.919809073824663
"contig#1007"	-1.29556445684196	5.24471937371502	0.000824843168852692
"contig#10070"	-0.0476487289286672	3.12212268098136	0.933552489826855
"contig#10071"	0.381550751119995	2.62889420334945	0.212637690213721
"contig#10072"	-0.202503482088291	1.73540536474306	0.687338577070229
"contig#10073"	0.0528879859925548	2.92661778182717	0.87027729498533
"contig#10074"	1.21281965676005	0.814351629698549	0.126934570660747
"contig#10075"	0.350586538889147	4.2395935003303	0.165908533750656
"contig#10076"	0.0909085596537111	2.67659372538466	0.809567844098688
"contig#10077"	0.153016842711122	3.38392827683325	0.583751140946412
"contig#10078"	0.125652454278544	4.24588596215281	0.778740106457385
"contig#10079"	-0.638576985141033	1.76156769720748	0.0789984926921265
"contig#1008"	0.140583263016839	7.96452959354879	0.598323681806404
"contig#10080"	-0.00967392730508319	5.0901744620644	0.990153862626118
"contig#10081"	0.263696713681175	3.37977108530985	0.721542043183901
"contig#10082"	0.0424203468604422	4.621421169792	0.870969637099384
"contig#10083"	-0.377627230257731	3.41121054098654	0.305335089048198
"contig#10085"	0.145057265473356	2.60201496743537	0.562076563551845
"contig#10086"	-0.199698331741808	0.760030181145914	0.677317901442608
"contig#10087"	0.0607533114422223	1.8951612204008	0.793303884413887
"contig#10088"	0.0316156085200803	-0.362630785189183	0.999999999999999
"contig#10089"	-0.463664345282382	4.23560734207466	0.0765075651405609
"contig#1009"	-0.474947835124585	0.486032845872795	0.566619125174096
"contig#10090"	-0.0437305742145546	3.82903667150424	0.886763773863752
"contig#10091"	0.0407912081331894	1.06895656703362	0.922133114631427
"contig#10092"	0.25526948514727	0.282877618190831	0.49192936893171
"contig#10093"	-0.0368966000427821	5.21711215317374	0.901183784137356
"contig#10094"	0.0550729549971749	4.40031971465168	0.948230939783016
"contig#10095"	0.137497854183126	3.06534280876749	0.66110200263623
"contig#10096"	0.379239108203084	2.68251048384716	0.4437250932795
"contig#10097"	-0.137407645311868	-0.0928098808624433	0.668716956756741
"contig#10098"	0.408368744219101	1.82466820541038	0.36105279917316
"contig#10099"	-0.201081522971526	2.66283241704785	0.670721936258004
"contig#101"	-0.393365543190585	0.755362477898838	0.232058925675073
"contig#1010"	0.0136219729467946	6.63222347149521	0.955037550861445
"contig#10100"	-0.0550703898174339	0.781637087036793	0.928309955341682
"contig#10101"	0.789741558365457	9.37011760003371	0.379865314634473
"contig#10102"	0.0749659264625518	5.20928197701945	0.8246976749029
"contig#10103"	0.112677574863572	0.620684589269225	0.858193656707748
"contig#10104"	0.126900985939998	2.2945233685859	0.828128990418806
"contig#10106"	-0.0953958634376926	1.50864855004988	0.826608181244079
"contig#10107"	0.52409664387929	0.826235213253824	0.489687876779616
"contig#10108"	0.272066216169023	3.19539054423285	0.268229190438499
"contig#10109"	-1.80266150823588	4.25917325530814	9.06460668450078e-05
"contig#1011"	0.185413633941467	3.09191370610768	0.720417546581478
"contig#10112"	-0.451915656987527	0.566532575586769	0.320881400786742
"contig#10113"	0.516724785427073	1.28607867197904	0.490177642671824
"contig#10114"	-0.0704197931809168	0.323191714907075	0.845377282282055
"contig#10115"	-1.81983222111983	2.46536435758154	0.000695980981937266
"contig#10116"	1.43736239960811	1.92144023032084	0.0167491014100001
"contig#10117"	-0.3674157469587	1.11771930448495	0.284725217557675
"contig#10118"	-1.59532207430245	4.63433596645626	2.78053982970392e-05
"contig#10119"	-0.153315504950609	1.19849483668598	0.543091448282563
"contig#1012"	0.507415405187956	1.35411920475048	0.150287688243842
"contig#10120"	1.06625308412142	3.94836122925704	0.108005759053833
"contig#10121"	0.173912725100709	0.793060355561175	0.650843346706043
"contig#10122"	0.140731743365929	2.09730870804948	0.669069662144917
"contig#10123"	-0.628829215869138	2.63234619744456	0.063773406601608
"contig#10124"	-0.0252343204808314	5.32509082084159	0.925477205835845
"contig#10125"	-0.331882705434959	3.0325976796391	0.592501651365416
"contig#10126"	0.802117143232742	1.87411240498263	0.288449581557348
"contig#10127"	-0.0765161860174882	1.55972160073918	0.921343321916435
"contig#10128"	0.171129675561006	4.36194765340341	0.487736834402369
"contig#10129"	0.86318651207889	13.6437594979655	0.371155725609639
"contig#1013"	-0.492596026279714	5.98283746730305	0.23962148903664
"contig#10130"	0.221415676340534	3.37845046074581	0.737952537769049
"contig#10131"	0.142677904154141	3.60079013603126	0.7402131221813
"contig#10132"	0.172464432053292	2.66258804121046	0.755115491091636
"contig#10133"	-0.511217087798662	2.88477207516851	0.127011110274912
"contig#10134"	0.0979713505430011	0.787977001130908	0.818946033064643
"contig#10136"	0.0157997731564015	3.77967115001623	0.980256681176765
"contig#10137"	-0.176236206195734	1.84568446955559	0.752336108485705
"contig#10138"	0.258214392695181	3.09006753863034	0.602629083248682
"contig#10139"	0.656586857257863	-0.424835479115109	0.264180570121093
"contig#1014"	-0.554704402110909	0.553396599386418	0.180873133908373
"contig#10140"	0.081218227055333	4.21001637100509	0.721396410964285
"contig#10141"	-0.498658151583265	3.51858812517274	0.205785346119497
"contig#10142"	-0.0321329612674237	2.93069448259945	0.923739782378812
"contig#10145"	0.136620121947738	2.34023173607833	0.734354658388444
"contig#10146"	0.0926253375358933	2.5041919031823	0.822499992681406
"contig#10147"	-0.125134925250428	2.30941960133054	0.802603982312408
"contig#10148"	0.241252755068592	4.15445093607841	0.714786766977822
"contig#10149"	-0.188219024184509	4.68802312662275	0.533473786974147
"contig#1015"	-0.0941758083862613	3.44720445037481	0.701838656446037
"contig#10151"	0.244389122926503	3.12696582312156	0.497233315771257
"contig#10152"	-0.0776989460088756	2.57203808756336	0.931160995334264
"contig#10153"	0.0956481385439459	4.10630831985871	0.691230923108022
"contig#10154"	0.162418310395441	1.72723682220188	0.541272445403786
"contig#10155"	0.223345357778102	5.22907094127197	0.763449545140394
"contig#10156"	0.242491227518777	2.6451127900488	0.557701741583922
"contig#10157"	-0.529235343952745	2.93072503811794	0.338868724997614
"contig#10158"	0.0719946737161388	3.66622574072583	0.844814745479885
"contig#10159"	-0.0387681843164896	2.18790686657314	0.928082389938893
"contig#1016"	0.302008034819736	9.23211505934933	0.423069486777457
"contig#10160"	0.0184662025272333	1.86410272458128	0.990475619870782
"contig#10161"	-0.0163202643839106	3.78088087405539	0.957358516807527
"contig#10162"	-0.823845068375905	2.42050755099475	0.0496130290766539
"contig#10163"	0.104176432527214	2.31853229272891	0.729351009536216
"contig#10164"	0.977685468668383	2.62083440014134	0.246588185087693
"contig#10165"	0.520434436010963	4.12515357790126	0.537378015481739
"contig#10166"	-0.454820085286475	2.70022560572631	0.231307290315011
"contig#10169"	0.508530852328351	2.30363727211595	0.0854035117639363
"contig#1017"	0.0939635270139073	3.03971580602227	0.893382852895082
"contig#10170"	0.20383704935783	2.07939269602753	0.755496645690926
"contig#10171"	-0.11277667356461	0.754918101475069	0.690441817467678
"contig#10172"	-0.121992272462406	2.2408447601101	0.822128918013732
