"logFC"	"logCPM"	"PValue"
"contig#1"	0.116620334202067	3.26246497050013	0.789761859742287
"contig#2"	0.619955955894285	2.39475547863108	0.22962856618066
"contig#3"	-0.347269734501651	2.22553481277956	0.346685624884031
"contig#4"	-0.614204572074953	2.07160894832044	0.227813275245991
"contig#5"	-0.567831719237795	-1.5733288007748	0.571775926031289
"contig#6"	-0.244955111421357	12.4094700038418	0.590192221173397
"contig#7"	-0.0364419581556907	7.01679218937674	0.932265532368593
"contig#8"	0.0321739483337778	9.09733171912719	0.962294575041559
"contig#9"	-0.252047365508985	12.2992556640646	0.565290186697577
"contig#10"	-0.282299457324677	3.40635603291019	0.445822357232689
"contig#11"	0.0650904210149035	2.36345087364502	0.904585047465171
"contig#12"	-0.198622409723883	1.23405791369974	0.682132441555237
"contig#13"	-0.269132803307474	4.46945259077703	0.509325699733654
"contig#14"	-0.23485670126086	2.24841589324896	0.50599417129881
"contig#15"	0.314101874813869	3.96723557660565	0.372064426109955
"contig#16"	-0.183981547805923	10.0320722918306	0.621238165990232
"contig#17"	0.0448466031398698	5.55050835655886	0.897967635736001
"contig#18"	-0.150825249044229	8.82057718223025	0.707861941856681
"contig#19"	-0.158402216995508	7.68292872738677	0.634724009469882
"contig#20"	-0.86255566972761	13.2725138582537	0.277269932444562
"contig#21"	1.5886822234862	6.88511510656101	0.0135667024449053
"contig#22"	-0.903175707867553	3.58440890770925	0.271298836215298
"contig#23"	-0.12950980903048	7.00502088694584	0.827225227298405
"contig#24"	-0.203339732663286	3.9543427354861	0.672688162687562
"contig#25"	-0.274826920574983	2.7319558546714	0.42103887888165
"contig#26"	-0.101608415552288	12.3703345157191	0.863411810551775
"contig#27"	0.359791465722947	0.881943668100482	0.479000883555397
"contig#28"	0.0433881115798686	11.8485172184654	0.94094976970017
"contig#29"	0.116154471652351	4.51969688910988	0.769582983187796
"contig#30"	0.627508074800939	5.37668229768169	0.0807868024999677
"contig#31"	-0.792423832519582	14.5253866980706	0.314818012901195
"contig#32"	-0.399425288933417	2.89465522941043	0.542993163814296
"contig#33"	-0.228280354149417	4.87951749727622	0.580645993674226
"contig#34"	0.553769074643543	2.3154504316074	0.209404148725134
"contig#35"	0.147868429556757	0.0972254131562932	0.782190415598883
"contig#36"	-0.150290559456713	13.5920496751903	0.791988973966994
"contig#37"	-0.790278572273874	13.7064143101464	0.314582149734028
"contig#38"	-0.70723299333658	3.61622218945171	0.33497911679336
"contig#39"	-0.73542394363078	12.8474889389811	0.348430058117022
"contig#40"	-0.331470876864127	4.42262351720325	0.360137736460176
"contig#41"	-0.0257824043074973	4.04565414142951	0.947522737201619
"contig#42"	-0.0616913144308406	2.78951892504909	0.905095782459736
"contig#43"	-0.151703685192892	2.7406433406052	0.787353250330078
"contig#44"	0.0136650224552427	6.25645205699355	0.974745219904738
"contig#45"	-0.272097134389169	7.66876040403815	0.571229637570365
"contig#46"	-0.0487801869166302	5.63978801433867	0.925053771875682
"contig#47"	-0.291599213263902	4.58762931094084	0.41249055110463
"contig#48"	0.377490810215197	-1.07306399333392	0.580344610563723
"contig#49"	-0.460796221731787	6.34363981089547	0.272031878737811
"contig#50"	-0.0757825224112725	5.63238437759977	0.835438453395343
"contig#51"	0.0109253746968244	8.55543919903302	0.979874958419928
"contig#52"	0.0296034255436459	12.9166522120806	0.950635787325812
"contig#53"	0.309923677160771	3.02257429746159	0.377157949429614
"contig#54"	-0.247542204175946	0.747701586307745	0.568233550786719
"contig#55"	-0.0897008588757131	4.20923016650202	0.838637313838575
"contig#56"	-0.104108859590336	8.06890366945802	0.798199140073895
"contig#57"	0.440078815624381	5.95072680728254	0.189380725909225
"contig#58"	-0.11606412161069	7.81158099746065	0.750138882352356
"contig#59"	-0.212363796656937	5.09566768863807	0.626520860003104
"contig#60"	0.314985712950824	1.27563255431583	0.638058649212822
"contig#61"	-0.141778029929138	9.74694257987199	0.694105759026646
"contig#62"	1.67554026836405	5.78122567813071	0.000381467898606275
"contig#63"	-0.174363191799605	8.34806084637282	0.618438127539524
"contig#64"	-0.232000294322786	10.0849883671198	0.52153639962417
"contig#65"	0.62263651936226	3.55902452882608	0.135111393873428
"contig#66"	-0.30299337076417	9.90431498110519	0.415779234507055
"contig#67"	-0.230900833124779	9.66700488012962	0.509346863281344
"contig#68"	-0.32890427801815	10.143631212356	0.372427646834958
"contig#69"	0.0110709259461373	4.70126250292975	0.971058478288423
"contig#70"	-0.322016977901301	1.64548435050764	0.481056244791761
"contig#71"	0.46673053800305	3.94218207247093	0.238137439205816
"contig#72"	-0.128715234458849	0.906980035012853	0.878095336056409
"contig#73"	-0.26097328051596	2.11895424674573	0.539691256121491
"contig#74"	-0.160278334608776	4.61999042300991	0.828695368867944
"contig#75"	-0.305326255915904	4.96564682699052	0.439108540628418
"contig#76"	-0.227774009282687	9.44604773422638	0.537894592355721
"contig#77"	-0.125005321098231	6.97154013750927	0.837671718559897
"contig#78"	-0.0196166925082904	5.59996884527738	0.956031466637326
"contig#79"	-0.29315106196153	6.45654665956165	0.696367997519648
"contig#80"	-0.0767786920883948	9.81796144129313	0.847517099857664
"contig#81"	-0.276592950762067	4.52092866339884	0.585710505833485
"contig#82"	0.0611112498375508	4.7935754341493	0.861071929645216
"contig#83"	-0.239491946142702	4.62553347801751	0.535778393007864
"contig#84"	-0.279515834377648	2.36052667368502	0.436570775144846
"contig#85"	-0.106314133629997	3.93142273503855	0.795670381629468
"contig#86"	-0.207787544892699	5.0017850188227	0.65597013822959
"contig#87"	0.395058790970165	8.87750586215855	0.297887951112585
"contig#88"	0.0629055370213732	5.75992285165079	0.870908355034822
"contig#89"	-0.247726393879899	5.26287153305033	0.481693739364269
"contig#90"	-1.03227798547619	2.77316114999856	0.351067905141105
"contig#91"	-0.306194584044508	6.77478222081449	0.365200601731253
"contig#92"	-0.560635729892574	6.30171456905974	0.235314374202943
"contig#93"	0.352016605873401	2.33617340630342	0.458658763794842
"contig#94"	0.725249266723753	4.87301245728771	0.05872380260667
"contig#95"	0.583698505602383	7.54501776876184	0.483348631315397
"contig#96"	-0.209797239015723	6.1412085003708	0.594388374028768
"contig#97"	0.150196511690109	2.70021433333232	0.763791357888926
"contig#98"	-0.662233992091367	1.6492172941948	0.107348161464084
"contig#99"	0.12130605480692	3.81224811793784	0.735861638711778
"contig#100"	-0.0771299495409042	4.48092170699157	0.818001414383295
"contig#101"	0.39137769735389	0.799274532986119	0.341839133894093
"contig#102"	0.107867897814349	0.308554717006445	0.775246880010347
"contig#103"	-0.781912178137937	11.4892723049018	0.329470499498334
"contig#104"	0.414032101129561	8.01931672666709	0.387191671919773
"contig#105"	-0.12285789588878	4.15576319904648	0.800486861757626
"contig#106"	0.0127083170502344	3.29576089199394	0.977060676329181
"contig#107"	0.0283691820584915	8.69522055752498	0.948342948310903
